Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Bijan Robinson (44132656),Bijan Robinson,44132656,RB/FLEX,8200,CAR@ATL 09/20/2026 01:00PM ET,ATL,31.3,
WR,Jaxon Smith-Njigba (44132962),Jaxon Smith-Njigba,44132962,WR/FLEX,8100,SEA@ARI 09/20/2026 04:25PM ET,SEA,29.2,
RB,Christian McCaffrey (44132658),Christian McCaffrey,44132658,RB/FLEX,8000,MIA@SF 09/20/2026 04:25PM ET,SF,13.8,
WR,Justin Jefferson (44132964),Justin Jefferson,44132964,WR/FLEX,7800,MIN@CHI 09/20/2026 01:00PM ET,MIN,31.2,
WR,Ja'Marr Chase (44132966),Ja'Marr Chase,44132966,WR/FLEX,7600,CIN@HOU 09/20/2026 01:00PM ET,CIN,3.2,
QB,Lamar Jackson (44132567),Lamar Jackson,44132567,QB,7300,NO@BAL 09/20/2026 01:00PM ET,BAL,29,
WR,CeeDee Lamb (44132968),CeeDee Lamb,44132968,WR/FLEX,7300,WAS@DAL 09/20/2026 04:25PM ET,DAL,15.4,
RB,Derrick Henry (44132660),Derrick Henry,44132660,RB/FLEX,7200,NO@BAL 09/20/2026 01:00PM ET,BAL,38.3,
WR,Chris Olave (44132970),Chris Olave,44132970,WR/FLEX,7200,NO@BAL 09/20/2026 01:00PM ET,NO,31.2,Q
RB,Saquon Barkley (44132662),Saquon Barkley,44132662,RB/FLEX,7000,PHI@TEN 09/20/2026 01:00PM ET,PHI,9,
WR,Nico Collins (44132972),Nico Collins,44132972,WR/FLEX,7000,CIN@HOU 09/20/2026 01:00PM ET,HOU,21.2,OUT
RB,Chase Brown (44132664),Chase Brown,44132664,RB/FLEX,6900,CIN@HOU 09/20/2026 01:00PM ET,CIN,18.8,
TE,Trey McBride (44133442),Trey McBride,44133442,TE/FLEX,6900,SEA@ARI 09/20/2026 04:25PM ET,ARI,24.5,
QB,Caleb Williams (44132568),Caleb Williams,44132568,QB,6800,MIN@CHI 09/20/2026 01:00PM ET,CHI,37.3,
RB,Ashton Jeanty (44132666),Ashton Jeanty,44132666,RB/FLEX,6800,LV@LAC 09/20/2026 04:05PM ET,LV,35.7,
WR,DeVonta Smith (44132974),DeVonta Smith,44132974,WR/FLEX,6800,PHI@TEN 09/20/2026 01:00PM ET,PHI,8.3,
QB,Jalen Hurts (44132569),Jalen Hurts,44132569,QB,6700,PHI@TEN 09/20/2026 01:00PM ET,PHI,24.7,
RB,De'Von Achane (44132668),De'Von Achane,44132668,RB/FLEX,6700,MIA@SF 09/20/2026 04:25PM ET,MIA,10.6,
WR,Zay Flowers (44132976),Zay Flowers,44132976,WR/FLEX,6700,NO@BAL 09/20/2026 01:00PM ET,BAL,29,OUT
QB,Joe Burrow (44132570),Joe Burrow,44132570,QB,6600,CIN@HOU 09/20/2026 01:00PM ET,CIN,15.2,Q
RB,Omarion Hampton (44132670),Omarion Hampton,44132670,RB/FLEX,6600,LV@LAC 09/20/2026 04:05PM ET,LAC,9.3,
WR,Mike Evans (44132978),Mike Evans,44132978,WR/FLEX,6600,MIA@SF 09/20/2026 04:25PM ET,SF,16.9,
TE,Brock Bowers (44133444),Brock Bowers,44133444,TE/FLEX,6600,LV@LAC 09/20/2026 04:05PM ET,LV,0,D
RB,David Montgomery (44132672),David Montgomery,44132672,RB/FLEX,6500,CIN@HOU 09/20/2026 01:00PM ET,HOU,28.9,
WR,Jaylen Waddle (44132980),Jaylen Waddle,44132980,WR/FLEX,6500,JAX@DEN 09/20/2026 04:05PM ET,DEN,1.2,
QB,Dak Prescott (44132571),Dak Prescott,44132571,QB,6400,WAS@DAL 09/20/2026 04:25PM ET,DAL,15.4,
RB,Javonte Williams (44132674),Javonte Williams,44132674,RB/FLEX,6400,WAS@DAL 09/20/2026 04:25PM ET,DAL,24.2,
WR,Emeka Egbuka (44132982),Emeka Egbuka,44132982,WR/FLEX,6400,CLE@TB 09/20/2026 01:00PM ET,TB,11.3,
QB,Jayden Daniels (44132572),Jayden Daniels,44132572,QB,6300,WAS@DAL 09/20/2026 04:25PM ET,WAS,17.7,
RB,D'Andre Swift (44132676),D'Andre Swift,44132676,RB/FLEX,6300,MIN@CHI 09/20/2026 01:00PM ET,CHI,35.4,
RB,Josh Jacobs (44132678),Josh Jacobs,44132678,RB/FLEX,6300,GB@NYJ 09/20/2026 01:00PM ET,GB,0,OUT
WR,George Pickens (44132984),George Pickens,44132984,WR/FLEX,6300,WAS@DAL 09/20/2026 04:25PM ET,DAL,5.8,
QB,Brock Purdy (44132573),Brock Purdy,44132573,QB,6200,MIA@SF 09/20/2026 04:25PM ET,SF,22.1,
RB,Breece Hall (44132680),Breece Hall,44132680,RB/FLEX,6200,GB@NYJ 09/20/2026 01:00PM ET,NYJ,22.8,
WR,Christian Watson (44132986),Christian Watson,44132986,WR/FLEX,6200,GB@NYJ 09/20/2026 01:00PM ET,GB,35.7,
WR,Ladd McConkey (44132988),Ladd McConkey,44132988,WR/FLEX,6200,LV@LAC 09/20/2026 04:05PM ET,LAC,19.2,Q
QB,Drake Maye (44132574),Drake Maye,44132574,QB,6100,PIT@NE 09/20/2026 01:00PM ET,NE,12.8,
