QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Lamar Jackson (44132567),Derrick Henry (44132660),Javonte Williams (44132674),Justin Jefferson (44132964),Cooper Kupp (44133070),Demarcus Robinson (44133088),T.J. Hockenson (44133480),D'Andre Swift (44132676),Ravens (44133747)
Jordan Love (44132576),Derrick Henry (44132660),Javonte Williams (44132674),Mike Evans (44132978),Emeka Egbuka (44132982),Brian Thomas Jr. (44133032),T.J. Hockenson (44133480),D'Andre Swift (44132676),Panthers (44133757)
Dak Prescott (44132571),Derrick Henry (44132660),D'Andre Swift (44132676),Christian Watson (44132986),Rome Odunze (44133006),Jalen Coker (44133022),T.J. Hockenson (44133480),Bucky Irving (44132682),Eagles (44133743)
Jalen Hurts (44132569),Derrick Henry (44132660),Javonte Williams (44132674),George Pickens (44132984),Jalen Coker (44133022),Cooper Kupp (44133070),Mike Gesicki (44133476),D'Andre Swift (44132676),Eagles (44133743)
Lamar Jackson (44132567),Derrick Henry (44132660),Javonte Williams (44132674),CeeDee Lamb (44132968),Cooper Kupp (44133070),Jerry Jeudy (44133084),Michael Mayer (44133474),D'Andre Swift (44132676),Broncos (44133754)
C.J. Stroud (44132580),Chase Brown (44132664),Tony Pollard (44132706),Jaxon Smith-Njigba (44132962),CeeDee Lamb (44132968),Christian Watson (44132986),Hunter Henry (44133460),Xavier Hutchinson (44133116),Bears (44133751)
Baker Mayfield (44132579),Derrick Henry (44132660),D'Andre Swift (44132676),CeeDee Lamb (44132968),Emeka Egbuka (44132982),Jayden Reed (44133046),Brenton Strange (44133464),Jerry Jeudy (44133084),Packers (44133746)
C.J. Stroud (44132580),Derrick Henry (44132660),Chase Brown (44132664),Mike Evans (44132978),Emeka Egbuka (44132982),Xavier Hutchinson (44133116),Tucker Kraft (44133448),Tyjae Spears (44132732),49ers (44133742)
Dak Prescott (44132571),D'Andre Swift (44132676),Bucky Irving (44132682),Mike Evans (44132978),George Pickens (44132984),Stefon Diggs (44133012),Dallas Goedert (44133450),Jayden Reed (44133046),Ravens (44133747)
Dak Prescott (44132571),Derrick Henry (44132660),D'Andre Swift (44132676),Mike Evans (44132978),George Pickens (44132984),Jerry Jeudy (44133084),Mike Gesicki (44133476),Rachaad White (44132722),49ers (44133742)
