player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Elijah Jones,ARZ,2025,defense,28,CB,1,37,17,0,20,82.4,67.0,76.7,-,83.0,0,0,0,0,0,2,1,0,0.0,0,0,3,1,33.3,21,21.0,0,21,0,0,2,59.0,0 (0),0,11,0,0,26,0,0,0,0
Channing Tindall,ARZ,2025,defense,47,LB,2,4,1,1,2,75.7,65.0,73.2,59.4,60.5,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0 (0),0,4,0,0,0,0,0,0,0,,,
Josh Sweat,ARZ,2025,defense,10,ED,17,540,168,355,17,74.3,69.8,69.3,73.6,43.4,47,12,6,29,0,11,7,2,10.0,20,3,5,4,80.0,51,12.8,11,32,1,0,0,148.8,2 (0),540,0,0,0,0,0,6,31,503
Walter Nolen,ARZ,2025,defense,97,DI,6,169,70,99,0,74.2,57.4,73.8,80.3,60.0,15,2,2,11,2,6,2,1,11.1,5,0,0,0,0,0,0,0,0,0.0,0 (0),169,0,0,0,0,2,102,57,8,,,
Zach Carter,ARZ,2025,defense,90,DI,4,100,58,42,0,73.5,81.2,47.9,47.8,60.0,0,0,0,0,0,10,4,1,6.7,4,1,0,0,0,0,0,0,0,0.0,0 (0),100,0,0,0,0,1,45,47,7,,,
Calais Campbell,ARZ,2025,defense,93,DI,17,524,183,339,2,72.3,69.2,35.5,65.1,69.2,33,6,9,18,2,26,9,7,16.7,24,0,0,0,0,0,0,0,0,0.0,1 (1),521,3,0,0,0,6,258,217,40,,,
Zaven Collins,ARZ,2025,defense,25,ED,17,543,197,235,111,71.5,71.8,38.8,69.8,59.0,31,2,7,22,0,27,3,7,18.9,21,0,14,10,71.4,82,8.2,67,41,0,0,0,86.0,1 (0),471,28,0,44,0,0,1,0,470
Kitan Crawford,ARZ,2025,defense,36,S,12,142,55,2,85,70.8,58.1,69.9,56.5,71.8,0,0,0,0,0,9,4,1,7.1,3,0,4,3,75.0,16,5.3,6,9,1,0,1,120.8,0 (0),4,59,55,24,0,0,0,0,4
Jalen Thompson,ARZ,2025,defense,34,S,15,978,381,15,582,69.1,64.7,85.9,60.5,69.2,1,1,0,0,0,72,16,6,6.4,10,1,46,30,65.2,303,10.1,120,30,2,0,5,98.4,1 (0),17,319,389,249,4,0,0,0,17
Owen Pappoe,ARZ,2025,defense,44,LB,3,96,51,2,43,64.1,54.6,82.8,56.6,70.3,0,0,0,0,0,12,2,0,0.0,3,0,8,6,75.0,64,10.7,27,16,0,0,2,97.9,0 (0),9,80,1,6,0,0,0,0,9
Garrett Williams,ARZ,2025,defense,21,CB,10,553,222,9,322,62.5,56.1,29.1,48.5,64.2,3,0,0,3,0,37,5,12,22.2,11,1,36,26,72.2,368,14.2,187,67,6,1,3,132.9,2 (0),0,119,2,259,173,0,0,0,0
