player,team,season,side,jersey,pos,games,snaps,snap_a,snap_b,snap_c,snap_d,grade_off_def,grade_pass_recv,grade_runblock_rundef,grade_rush_passrush,grade_passblock_cov,penalties
Trey McBride,ARZ,2025,offense,85,TE,17,"1,033",737,12,0,284,81.7,84.8,34.4,-,54.1,5 (0)
Paris Johnson Jr.,ARZ,2025,offense,70,T,12,807,0,565,0,242,76.6,-,77.1,-,72.9,7 (1)
Michael Wilson,ARZ,2025,offense,14,WR,17,923,674,1,0,248,76.4,76.4,46.8,-,51.2,1 (0)
Matt Haack,ARZ,2025,offense,39,P,1,1,1,0,0,0,73.1,68.8,-,-,-,0 (0)
Kyler Murray,ARZ,2025,offense,01,QB,5,318,211,0,12,95,72.2,69.5,-,71.4,60.0,4 (0)
Michael Carter,ARZ,2025,offense,22,HB,13,394,247,47,95,5,71.4,67.6,69.2,71.2,71.3,0 (0)
Jacoby Brissett,ARZ,2025,offense,07,QB,14,812,581,0,16,215,71.1,69.1,-,68.9,60.8,3 (0)
Bam Knight,ARZ,2025,offense,20,HB,10,283,139,41,88,15,69.5,67.4,39.0,72.2,52.0,0 (0)
Hjalte Froholdt,ARZ,2025,offense,72,C,17,"1,121",0,788,0,333,69.4,-,72.0,-,66.9,5 (2)
Marvin Harrison Jr.,ARZ,2025,offense,18,WR,12,566,412,0,0,154,68.4,67.6,-,-,59.9,0 (0)
Hayden Conner,ARZ,2025,offense,58,G,3,29,0,18,0,11,65.8,-,68.9,-,62.9,0 (0)
Demontrey Jacobs,ARZ,2025,offense,66,T,4,65,0,37,0,28,63.7,-,49.0,-,69.6,0 (0)
James Conner,ARZ,2025,offense,06,HB,3,93,46,9,35,3,63.7,73.4,29.2,64.5,60.0,1 (1)
Trey Benson,ARZ,2025,offense,33,HB,4,124,77,7,30,10,62.3,62.7,57.0,62.1,57.9,0 (0)
Greg Dortch,ARZ,2025,offense,04,WR,12,292,226,0,8,58,62.3,61.4,-,74.4,45.6,1 (0)
Elijah Higgins,ARZ,2025,offense,84,TE,17,476,317,8,0,151,61.5,62.7,41.0,-,58.3,4 (1)
Jon Gaines II,ARZ,2025,offense,71,G,13,339,0,234,0,105,60.3,-,53.9,-,66.6,3 (1)
Owen Pappoe,ARZ,2025,offense,44,LB,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Zaven Collins,ARZ,2025,offense,25,ED,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Akeem Davis-Gaither,ARZ,2025,offense,27,LB,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Aaron Brewer,ARZ,2025,offense,46,LS,1,1,0,1,0,0,60.0,-,61.5,-,-,0 (0)
Jalen Brooks,ARZ,2025,offense,86,WR,5,107,76,0,0,31,59.8,59.7,-,-,55.9,0 (0)
Kedon Slovis,ARZ,2025,offense,19,QB,2,5,2,0,0,3,58.8,58.7,-,-,60.0,0 (0)
Darren Hall,ARZ,2025,offense,30,S,1,1,1,0,0,0,58.7,58.2,-,-,-,0 (0)
Tejhaun Palmer,ARZ,2025,offense,83,WR,1,4,1,0,0,3,58.6,59.8,-,-,60.2,0 (0)
Dadrion Taylor-Demerson,ARZ,2025,offense,42,S,1,1,1,0,0,0,58.5,58.2,-,-,-,0 (0)
Zay Jones,ARZ,2025,offense,17,WR,8,270,190,0,0,80,58.1,57.7,-,-,67.5,1 (0)
Pharaoh Brown,ARZ,2025,offense,49,TE,7,60,20,8,0,32,57.9,48.2,52.2,-,72.2,3 (0)
Isaiah Adams,ARZ,2025,offense,74,G,14,763,0,539,0,224,56.7,-,65.6,-,55.7,7 (1)
Corey Kiner,ARZ,2025,offense,37,HB,4,30,15,3,12,0,56.0,33.1,12.8,62.0,72.4,0 (0)
Jonah Williams,ARZ,2025,offense,73,T,9,592,0,391,0,201,55.4,-,53.5,-,56.9,5 (0)
Evan Brown,ARZ,2025,offense,63,G,11,770,0,539,0,231,54.3,-,60.2,-,49.0,4 (0)
Emari Demercado,ARZ,2025,offense,31,HB,12,197,122,27,44,4,53.8,54.0,46.0,57.6,29.6,1 (1)
Josh Fryar,ARZ,2025,offense,78,T,9,289,3,192,0,94,53.0,53.4,56.7,-,56.5,4 (0)
Trent Sherfield,ARZ,2025,offense,81,WR,2,23,15,0,0,8,52.8,53.0,-,-,60.3,0 (0)
Kelvin Beachum,ARZ,2025,offense,68,T,15,667,0,451,0,216,51.6,78.3,54.6,-,49.0,7 (0)
Simi Fehoko,ARZ,2025,offense,80,WR,5,37,25,0,0,12,50.7,50.7,-,-,61.1,0 (0)
Josiah Deguara,ARZ,2025,offense,45,TE,11,84,59,2,0,23,50.1,53.5,68.3,-,43.0,0 (0)
Xavier Weaver,ARZ,2025,offense,89,WR,9,272,211,0,0,61,49.2,49.8,-,-,45.5,0 (0)
D'Ernest Johnson,ARZ,2025,offense,37,HB,1,14,9,4,1,0,47.4,55.4,15.6,59.7,-,0 (0)
Tip Reiman,ARZ,2025,offense,87,TE,4,98,38,10,0,50,45.8,44.4,46.9,-,56.8,1 (0)
Andre Baccellia,ARZ,2025,offense,82,WR,4,92,72,0,0,20,45.6,46.2,-,-,51.5,0 (0)
Will Hernandez,ARZ,2025,offense,76,G,7,396,0,268,0,128,45.3,-,47.1,-,47.1,2 (0)
Travis Vokolek,ARZ,2025,offense,81,TE,3,32,7,1,0,24,41.6,51.4,42.8,-,46.5,0 (0)
Steven Sims,ARZ,2025,offense,80,WR,3,12,4,0,0,8,40.0,41.2,-,-,58.8,0 (0)
