player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Sam Roberts,ATL,2025,defense,99,DI,5,102,61,41,0,83.0,70.7,62.4,81.5,62.2,4,1,1,2,0,12,4,1,5.9,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),102,0,0,0,0,74,27,1,0
David Onyemata,ATL,2025,defense,90,DI,17,633,308,325,0,78.1,74.0,68.5,67.1,67.4,21,1,1,19,0,42,18,3,4.8,28,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),632,1,0,0,0,92,376,148,16
Divine Deablo,ATL,2025,defense,00,LB,13,750,270,50,430,77.8,71.3,70.6,65.0,78.6,9,1,0,8,0,64,14,7,8.2,31,0,34,23,67.6,197,8.6,125,21,0,0,7,82.6,2 (1),17,665,0,66,2,0,0,0,17
Arnold Ebiketie,ATL,2025,defense,17,ED,17,384,179,183,22,74.9,65.2,57.5,73.4,64.5,25,2,4,19,0,24,7,4,11.4,17,0,2,2,100.0,0,0.0,4,0,0,0,0,79.2,0 (0),381,3,0,0,0,0,0,0,381
Xavier Watts,ATL,2025,defense,31,S,17,"1,093",427,4,662,72.1,68.6,76.8,52.0,72.7,1,0,0,1,0,71,26,8,7.6,15,0,30,21,70.0,341,16.2,152,50,3,5,4,101.5,1 (0),7,544,406,133,3,0,0,0,7
Jalon Walker,ATL,2025,defense,11,ED,15,492,160,282,50,71.6,81.1,66.2,67.0,43.8,29,6,4,19,1,24,6,3,9.1,17,2,8,7,87.5,87,12.4,33,19,1,0,0,151.6,1 (0),483,8,0,1,0,0,0,0,483
LaCale London,ATL,2025,defense,94,DI,13,270,139,131,0,70.7,71.7,46.8,65.7,60.0,12,4,0,8,1,13,10,3,11.5,15,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (1),270,0,0,0,0,115,146,9,0
Kaden Elliss,ATL,2025,defense,55,LB,17,"1,102",432,174,496,67.8,56.9,60.1,83.7,61.8,30,4,5,21,1,80,26,14,11.7,41,1,60,46,76.7,370,8.0,267,24,4,1,4,106.9,0 (0),280,751,1,69,1,0,0,1,279
Khalid Kareem,ATL,2025,defense,92,ED,4,71,33,36,2,67.5,59.4,58.6,68.2,61.6,6,0,1,5,0,5,2,1,12.5,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),70,0,0,1,0,0,0,5,65
Zach Harrison,ATL,2025,defense,96,DI,7,239,125,114,0,65.1,48.7,53.2,78.0,60.0,16,5,0,11,1,12,4,3,15.8,9,2,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),239,0,0,0,0,0,80,85,74
