player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Chris Lindstrom,ATL,2025,offense,63,G,17,"1,086",0,623,0,463,88.3,-,62.3,-,91.7,6 (1)
Drake London,ATL,2025,offense,05,WR,12,709,417,4,0,288,88.0,89.9,75.3,-,54.9,3 (1)
Bijan Robinson,ATL,2025,offense,07,HB,17,860,460,83,291,26,86.7,88.1,30.4,83.5,41.9,1 (0)
Jovaughn Gwyn,ATL,2025,offense,52,G,5,11,0,5,0,6,81.2,-,79.0,-,77.6,0 (0)
Feleipe Franks,ATL,2025,offense,84,TE,7,15,0,0,2,13,80.1,-,-,70.6,60.9,0 (0)
Ryan Neuzil,ATL,2025,offense,64,C,17,"1,096",0,627,0,469,77.4,-,59.3,-,82.1,4 (1)
Kirk Cousins,ATL,2025,offense,18,QB,10,543,302,0,12,229,76.0,75.0,-,66.3,60.1,5 (0)
Kyle Pitts,ATL,2025,offense,08,TE,17,961,573,23,0,365,73.6,82.0,81.3,-,43.0,7 (0)
Tyler Allgeier,ATL,2025,offense,25,HB,17,328,114,35,146,33,71.5,56.3,70.7,72.2,52.2,0 (0)
Matthew Bergeron,ATL,2025,offense,65,G,15,912,0,519,0,393,70.8,-,65.7,-,71.3,3 (0)
Jake Matthews,ATL,2025,offense,70,T,17,"1,062",1,609,0,452,69.8,42.0,82.4,-,54.7,7 (0)
Deven Thompkins,ATL,2025,offense,83,WR,4,22,9,0,1,12,66.6,66.6,-,62.8,43.8,1 (0)
Elijah Wilkinson,ATL,2025,offense,71,T,17,"1,096",0,627,0,469,62.9,-,61.0,-,68.3,12 (1)
Nate Carter,ATL,2025,offense,38,HB,4,12,0,0,9,3,60.9,-,-,60.4,60.0,0 (0)
Jack Nelson,ATL,2025,offense,69,T,2,4,0,0,0,4,60.1,-,-,-,60.1,0 (0)
Jamal Agnew,ATL,2025,offense,14,WR,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Michael Penix Jr.,ATL,2025,offense,09,QB,9,553,325,0,8,220,59.3,58.0,-,66.2,60.1,7 (0)
Casey Washington,ATL,2025,offense,82,WR,7,181,109,0,0,72,58.5,57.2,-,-,65.9,0 (0)
Charlie Woerner,ATL,2025,offense,89,TE,17,565,134,93,0,338,56.4,47.6,58.3,-,59.2,1 (1)
Ray-Ray McCloud III,ATL,2025,offense,34,WR,4,139,87,1,0,51,54.5,58.1,65.1,-,38.0,1 (0)
Kyle Hinton,ATL,2025,offense,68,G,5,185,0,108,0,77,53.9,-,71.0,-,50.1,1 (1)
David Sills V,ATL,2025,offense,87,WR,17,565,349,5,0,211,53.0,52.8,70.6,-,51.7,2 (0)
KhaDarel Hodge,ATL,2025,offense,04,WR,10,73,41,0,0,32,52.6,55.8,-,-,38.4,0 (0)
Darnell Mooney,ATL,2025,offense,01,WR,15,778,486,0,0,292,52.5,52.4,-,-,49.0,0 (0)
Teagan Quitoriano,ATL,2025,offense,85,TE,15,133,8,15,0,110,49.0,50.1,79.8,-,52.6,1 (0)
Dylan Drummond,ATL,2025,offense,81,WR,8,122,82,0,0,40,47.5,50.8,-,-,39.7,1 (0)
Chris Blair,ATL,2025,offense,19,WR,2,12,6,0,0,6,45.1,55.2,-,-,58.4,1 (0)
Mike Jerrell,ATL,2025,offense,72,T,1,32,0,17,0,15,24.2,-,10.0,-,29.1,0 (0)
