player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
DeAndre Hopkins,BAL,2025,offense,10,WR,17,334,216,0,0,118,81.3,82.3,-,-,48.8,0 (0)
Derrick Henry,BAL,2025,offense,22,HB,17,555,161,46,309,39,80.4,59.1,65.9,79.4,56.4,1 (0)
Tyler Linderbaum,BAL,2025,offense,64,C,17,"1,007",0,536,0,471,79.8,-,63.3,-,83.2,5 (2)
Zay Flowers,BAL,2025,offense,04,WR,17,878,511,0,10,357,79.6,81.6,-,52.8,60.1,5 (2)
Tyler Huntley,BAL,2025,offense,05,QB,5,197,85,0,18,94,79.1,68.8,-,86.5,60.3,1 (0)
Charlie Kolar,BAL,2025,offense,88,TE,17,402,105,22,0,275,77.5,75.0,48.4,-,71.5,3 (1)
Devontez Walker,BAL,2025,offense,81,WR,10,163,67,0,0,96,76.3,77.6,-,-,63.0,1 (0)
Roger Rosengarten,BAL,2025,offense,70,T,17,"1,014",0,536,0,478,74.4,-,73.3,-,74.8,6 (1)
Lamar Jackson,BAL,2025,offense,08,QB,13,702,394,0,37,271,74.0,69.0,-,78.6,60.7,4 (0)
Carson Vinson,BAL,2025,offense,71,T,2,7,0,1,0,6,73.2,-,74.7,-,74.6,0 (0)
Ronnie Stanley,BAL,2025,offense,79,T,16,857,0,447,0,410,70.9,-,72.8,-,68.0,7 (2)
Patrick Ricard,BAL,2025,offense,42,FB,11,274,31,48,2,193,68.5,62.2,50.8,65.6,70.4,2 (1)
Mark Andrews,BAL,2025,offense,89,TE,17,630,371,19,10,230,64.4,61.6,50.2,82.9,67.1,7 (1)
Justice Hill,BAL,2025,offense,43,HB,10,219,135,39,19,26,63.7,62.1,37.5,69.6,74.7,0 (0)
Corey Bullock,BAL,2025,offense,67,C,5,13,0,1,0,12,59.3,-,69.6,-,58.0,0 (0)
Cooper Rush,BAL,2025,offense,15,QB,4,115,57,0,4,54,59.3,59.8,-,52.9,60.2,0 (0)
Rasheen Ali,BAL,2025,offense,26,HB,10,119,76,25,7,11,58.3,58.2,31.0,62.5,70.8,0 (0)
Keaton Mitchell,BAL,2025,offense,34,HB,13,132,51,6,62,13,57.5,53.4,22.2,60.4,59.2,0 (0)
Daniel Faalele,BAL,2025,offense,77,G,17,"1,011",0,535,0,476,56.7,-,59.9,-,53.5,5 (2)
Isaiah Likely,BAL,2025,offense,80,TE,14,487,254,15,0,218,56.4,57.0,46.1,-,66.5,5 (0)
Rashod Bateman,BAL,2025,offense,07,WR,13,550,335,0,0,215,55.5,54.6,-,-,70.0,2 (0)
Andrew Vorhees,BAL,2025,offense,72,G,17,969,0,513,0,456,54.5,-,53.0,-,54.3,3 (0)
Joe Noteboom,BAL,2025,offense,68,T,7,151,0,88,0,63,54.5,-,34.1,-,68.2,0 (0)
LaJohntay Wester,BAL,2025,offense,83,WR,14,58,27,0,0,31,52.8,52.2,-,-,63.5,0 (0)
Ben Cleveland,BAL,2025,offense,66,G,3,3,0,1,0,2,52.1,-,66.4,-,51.4,0 (0)
Emery Jones Jr.,BAL,2025,offense,51,G,5,48,0,24,0,24,50.1,-,67.5,-,45.6,1 (0)
Tylan Wallace,BAL,2025,offense,16,WR,14,185,94,0,0,91,49.5,54.3,-,-,39.2,2 (0)
Zaire Mitchell-Paden,BAL,2025,offense,84,TE,6,74,10,14,0,50,39.2,53.8,54.2,-,44.7,1 (0)
