player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Josh Allen,BUF,2025,offense,17,QB,17,"1,034",592,0,61,381,87.4,78.8,-,91.3,60.0,4 (0)
Jackson Hawes,BUF,2025,offense,85,TE,17,487,103,43,0,341,85.2,84.1,78.7,-,74.1,0 (0)
James Cook,BUF,2025,offense,04,HB,17,639,275,21,314,29,83.1,63.1,35.7,84.1,55.4,1 (0)
Dalton Kincaid,BUF,2025,offense,86,TE,12,302,221,2,0,79,81.8,81.9,22.6,-,63.8,2 (0)
Mitch Trubisky,BUF,2025,offense,11,QB,4,98,39,0,7,52,79.8,77.7,-,66.6,60.3,0 (0)
Spencer Brown,BUF,2025,offense,79,T,14,846,0,493,0,353,76.6,-,61.3,-,85.2,4 (0)
Ryan Van Demark,BUF,2025,offense,74,T,9,312,0,147,0,165,74.1,-,65.6,-,74.4,3 (1)
Dion Dawkins,BUF,2025,offense,73,T,15,957,0,564,0,393,74.1,-,81.8,-,65.9,10 (0)
Keleki Latu,BUF,2025,offense,83,TE,5,85,39,5,0,41,73.6,65.3,70.5,-,79.8,0 (0)
Alec Anderson,BUF,2025,offense,70,G,15,189,0,70,0,119,72.9,-,41.3,-,82.8,2 (0)
David Edwards,BUF,2025,offense,76,G,16,"1,035",0,594,0,441,71.4,-,73.0,-,69.0,3 (0)
Ray Davis,BUF,2025,offense,22,HB,17,168,64,14,61,29,71.3,69.9,51.8,69.9,61.1,0 (0)
Reggie Gilliam,BUF,2025,offense,41,FB,17,235,37,24,2,172,70.7,52.6,88.7,61.3,73.3,0 (0)
Khalil Shakir,BUF,2025,offense,10,WR,16,635,451,2,0,182,70.4,70.5,73.8,-,61.5,2 (0)
Tylan Grable,BUF,2025,offense,68,T,1,72,0,30,0,42,70.0,-,83.3,-,62.7,0 (0)
Connor McGovern,BUF,2025,offense,66,C,16,"1,037",0,593,0,444,69.0,-,73.4,-,65.2,5 (1)
Dawson Knox,BUF,2025,offense,88,TE,17,653,330,16,0,307,68.6,67.0,70.4,60.0,66.7,1 (0)
Keon Coleman,BUF,2025,offense,00,WR,13,576,336,1,0,239,66.1,64.0,60.9,-,75.6,3 (1)
Ty Johnson,BUF,2025,offense,26,HB,17,335,233,29,48,25,64.9,64.5,26.4,69.8,62.1,0 (0)
Elijah Moore,BUF,2025,offense,18,WR,9,186,113,0,7,66,63.0,60.4,-,61.8,74.1,0 (0)
Brandin Cooks,BUF,2025,offense,18,WR,5,115,73,0,0,42,62.9,62.3,-,-,60.5,0 (0)
Gabe Davis,BUF,2025,offense,13,WR,6,238,139,0,0,99,61.2,59.1,-,-,80.0,1 (1)
Curtis Samuel,BUF,2025,offense,01,WR,6,151,95,0,1,55,61.0,61.8,-,59.2,61.9,1 (0)
Tyrell Shavers,BUF,2025,offense,14,WR,17,441,220,6,0,215,60.2,61.1,82.9,-,51.3,2 (0)
Chase Lundt,BUF,2025,offense,77,T,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
O'Cyrus Torrence,BUF,2025,offense,64,G,17,"1,129",0,631,0,498,59.8,-,64.0,-,54.5,1 (0)
Sedrick Van Pran-Granger,BUF,2025,offense,62,C,4,97,0,37,0,60,58.6,-,85.1,-,53.6,1 (0)
Joshua Palmer,BUF,2025,offense,05,WR,12,393,256,0,0,137,58.4,61.5,-,-,40.6,5 (1)
Mecole Hardman Jr.,BUF,2025,offense,16,WR,1,4,3,0,0,1,57.0,57.7,-,-,60.0,0 (0)
