player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Mike Jackson,CAR,2025,defense,02,CB,17,"1,041",450,5,586,79.1,67.2,53.3,53.1,80.9,2,0,0,2,0,61,8,12,14.8,22,1,90,50,55.6,610,12.2,191,46,4,4,9,72.9,3 (1),5,81,0,8,947,0,0,0,5
Derrick Brown,CAR,2025,defense,95,DI,17,808,354,450,4,74.6,66.4,70.2,72.0,67.0,35,6,6,23,7,46,20,2,2.9,41,1,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),808,0,0,0,0,20,443,308,37
Demani Richardson,CAR,2025,defense,36,S,4,29,19,0,10,71.5,73.4,81.7,-,61.7,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,5,23,1,0,0,0,0,0
Boogie Basham,CAR,2025,defense,54,ED,3,41,23,16,2,68.9,57.8,49.8,63.1,79.5,3,0,0,3,0,1,3,1,20.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,0,0,0,41
Corey Thornton,CAR,2025,defense,31,CB,8,127,46,3,78,68.5,60.3,70.8,72.8,67.6,1,0,0,1,0,8,4,1,7.7,3,1,14,7,50.0,69,9.9,40,22,0,0,2,64.3,1 (1),2,19,14,65,27,0,0,0,2
Nic Scourton,CAR,2025,defense,11,ED,17,717,305,351,61,68.0,63.3,43.7,60.7,81.0,34,8,3,23,0,28,12,10,20.0,23,1,3,3,100.0,11,3.7,17,6,0,0,0,81.9,1 (1),701,12,0,4,0,0,5,19,677
Nick Scott,CAR,2025,defense,21,S,17,"1,035",445,2,588,67.8,69.4,68.4,74.8,67.3,1,0,0,1,0,82,26,15,12.2,20,0,27,21,77.8,338,16.1,127,54,1,1,1,115.7,3 (0),1,194,762,77,1,0,0,0,1
A'Shawn Robinson,CAR,2025,defense,94,DI,17,658,308,348,2,65.5,62.5,57.8,63.8,73.1,31,3,6,22,3,45,17,5,7.5,34,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),658,0,0,0,0,101,420,110,27
Jaden Crumedy,CAR,2025,defense,96,DI,3,44,24,20,0,64.8,62.6,68.7,62.1,-,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),44,0,0,0,0,0,39,5,0
Tre'von Moehrig,CAR,2025,defense,07,S,16,990,426,52,512,64.3,73.7,56.6,77.4,55.3,15,3,4,8,0,78,23,19,15.8,41,0,64,51,79.7,383,7.5,179,30,1,1,2,90.3,2 (1),94,442,143,310,1,0,0,0,94
Pat Jones II,CAR,2025,defense,91,ED,4,161,51,101,9,62.4,73.4,63.5,61.3,31.4,10,1,1,8,0,7,1,1,11.1,7,0,2,2,100.0,39,19.5,29,27,0,0,0,118.8,0 (0),158,2,0,1,0,0,3,28,127
Lathan Ransom,CAR,2025,defense,22,S,16,336,102,5,229,61.3,79.4,86.8,66.9,55.8,1,1,0,0,0,28,13,2,4.7,7,1,14,9,64.3,172,19.1,89,35,1,1,1,100.9,1 (0),5,40,267,24,0,0,0,0,5
Isaiah Simmons,CAR,2025,defense,27,LB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,1,0,0,0,0,0,0
Claudin Cherelus,CAR,2025,defense,53,LB,7,207,117,6,84,59.2,74.8,57.7,73.0,40.2,1,0,0,1,0,17,8,3,10.7,11,0,16,14,87.5,181,12.9,81,41,0,0,0,113.8,0 (0),12,176,0,16,3,0,0,0,12
Chau Smith-Wade,CAR,2025,defense,26,CB,16,626,223,10,393,58.1,59.9,76.3,53.2,57.2,2,0,0,2,0,50,8,5,7.9,20,0,50,41,82.0,405,9.9,206,25,1,1,1,98.8,3 (3),7,117,99,366,37,0,0,0,7
Jaycee Horn,CAR,2025,defense,08,CB,16,955,403,9,543,57.9,51.0,28.3,37.9,61.6,1,0,0,1,0,29,8,16,30.2,9,0,59,35,59.3,498,14.2,177,62,5,5,2,79.6,9 (2),6,104,0,8,837,0,0,0,6
Trevis Gipson,CAR,2025,defense,52,ED,9,164,89,70,5,56.7,54.4,29.5,60.7,51.0,8,1,1,6,0,7,3,3,23.1,5,0,2,1,50.0,8,8.0,7,8,0,0,0,60.4,0 (0),163,0,0,1,0,0,0,0,163
Trevin Wallace,CAR,2025,defense,32,LB,12,624,254,49,321,56.4,43.3,57.5,64.2,64.5,5,2,2,1,0,42,12,8,12.9,16,0,39,31,79.5,237,7.6,171,32,2,0,2,109.1,0 (0),18,544,1,59,2,0,0,0,18
DJ Johnson,CAR,2025,defense,52,ED,4,53,34,17,2,54.8,55.0,72.8,54.6,61.2,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),53,0,0,0,0,0,0,0,53
D.J. Wonnum,CAR,2025,defense,98,ED,16,688,271,364,53,54.5,60.6,48.3,49.4,56.4,29,3,1,25,2,26,15,9,18.0,22,0,7,4,57.1,42,10.5,33,19,0,1,0,35.1,0 (0),684,0,0,4,0,0,0,0,684
Bobby Brown III,CAR,2025,defense,97,DI,17,351,194,156,1,54.2,57.8,53.9,51.1,66.9,5,1,0,4,1,18,8,4,13.3,12,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),350,1,0,0,0,114,185,33,18
Thomas Incoom,CAR,2025,defense,48,ED,8,25,11,13,1,54.0,53.7,71.9,55.8,60.8,2,0,0,2,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),25,0,0,0,0,0,0,1,24
Akayleb Evans,CAR,2025,defense,29,CB,5,51,24,0,27,53.8,66.3,74.6,-,50.0,0,0,0,0,0,2,0,0,0.0,0,0,4,3,75.0,28,9.3,9,15,1,0,0,133.3,0 (0),0,3,0,1,47,0,0,0,0
