player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
James Mitchell,CAR,2025,offense,85,TE,5,46,13,3,0,30,80.5,75.7,73.3,-,68.2,0 (0)
Taylor Moton,CAR,2025,offense,72,T,15,901,0,558,0,343,80.5,-,76.5,-,81.8,5 (0)
Tetairoa McMillan,CAR,2025,offense,04,WR,17,924,588,0,0,336,78.7,78.7,-,-,57.2,1 (0)
Damien Lewis,CAR,2025,offense,68,G,16,987,0,591,0,396,75.7,-,78.5,-,73.1,6 (1)
Jalen Coker,CAR,2025,offense,18,WR,11,439,304,1,0,134,72.5,72.5,62.3,-,55.9,1 (0)
Brady Christensen,CAR,2025,offense,70,G,5,285,0,152,0,133,72.5,-,74.7,-,69.8,1 (0)
Ikem Ekwonu,CAR,2025,offense,79,T,15,942,0,550,0,392,70.6,-,67.3,-,70.5,7 (2)
Bryce Young,CAR,2025,offense,09,QB,16,963,579,0,20,364,70.5,68.2,-,69.8,60.2,6 (1)
Yosh Nijman,CAR,2025,offense,77,T,7,278,0,150,0,128,70.3,-,47.0,-,86.1,1 (0)
Trevor Etienne,CAR,2025,offense,23,HB,14,63,21,1,19,22,69.7,54.4,69.2,73.1,62.3,0 (0)
Mitchell Evans,CAR,2025,offense,84,TE,17,392,139,24,1,228,69.7,66.8,65.2,62.6,69.5,3 (0)
Brandon Walton,CAR,2025,offense,73,G,2,24,0,15,0,9,68.3,-,22.8,-,78.6,1 (0)
Austin Corbett,CAR,2025,offense,63,G,12,673,0,405,0,268,67.8,-,62.7,-,66.8,1 (0)
Chuba Hubbard,CAR,2025,offense,30,HB,15,432,233,47,138,14,67.5,59.5,46.8,70.8,57.4,0 (0)
Jimmy Horn Jr.,CAR,2025,offense,15,WR,13,148,87,0,7,54,65.2,64.5,-,64.1,57.6,0 (0)
Robert Hunt,CAR,2025,offense,50,G,2,126,0,86,0,40,64.7,-,64.7,-,61.6,0 (0)
Rico Dowdle,CAR,2025,offense,05,HB,17,590,271,52,239,28,64.4,55.9,24.6,71.5,43.2,3 (0)
Brycen Tremayne,CAR,2025,offense,87,WR,16,263,122,1,0,140,62.5,62.3,61.6,-,58.2,0 (0)
Cade Mays,CAR,2025,offense,64,C,13,726,0,429,0,297,62.4,-,69.4,-,58.4,2 (0)
Jake Curhan,CAR,2025,offense,74,G,6,158,0,76,0,82,62.3,-,56.0,-,61.6,0 (0)
Tommy Tremble,CAR,2025,offense,82,TE,17,636,293,31,0,312,61.6,54.2,59.5,-,72.4,3 (0)
Dan Chisena,CAR,2025,offense,88,WR,1,4,0,0,0,4,57.3,-,-,-,54.3,0 (0)
Hunter Renfrow,CAR,2025,offense,13,WR,6,210,165,0,0,45,56.9,57.6,-,-,55.2,1 (1)
Andy Dalton,CAR,2025,offense,14,QB,4,97,50,0,4,43,55.0,59.6,-,35.1,60.3,0 (0)
Dalevon Campbell,CAR,2025,offense,81,WR,1,9,6,0,0,3,53.8,54.5,-,-,60.0,0 (0)
Xavier Legette,CAR,2025,offense,17,WR,15,642,428,0,1,213,52.6,54.7,-,56.6,48.3,9 (2)
David Moore,CAR,2025,offense,83,WR,4,81,41,1,1,38,51.8,49.5,65.4,63.1,54.5,0 (0)
Ja'Tavion Sanders,CAR,2025,offense,00,TE,13,393,242,18,0,133,51.6,50.2,75.2,-,58.8,1 (0)
Chandler Zavala,CAR,2025,offense,62,G,6,212,0,135,0,77,43.4,-,32.0,-,54.7,3 (0)
DeeJay Dallas,CAR,2025,offense,20,HB,2,16,8,3,1,4,42.0,52.2,17.7,56.5,60.0,0 (0)
