player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Darnell Wright,CHI,2025,offense,58,T,16,"1,074",0,638,0,436,81.4,-,74.3,-,85.6,12 (0)
Colston Loveland,CHI,2025,offense,84,TE,16,702,406,27,1,268,81.1,83.3,46.0,59.2,68.6,5 (0)
D'Andre Swift,CHI,2025,offense,04,HB,16,621,309,63,225,24,81.0,61.6,49.2,86.5,56.5,3 (1)
Joe Thuney,CHI,2025,offense,62,G,17,"1,149",0,686,0,463,79.4,-,88.6,-,71.0,2 (0)
Luther Burden III,CHI,2025,offense,10,WR,15,402,256,0,6,140,79.3,79.9,-,60.9,56.5,0 (0)
Drew Dalman,CHI,2025,offense,52,C,17,"1,154",0,687,0,467,77.4,-,69.0,-,78.8,3 (0)
Caleb Williams,CHI,2025,offense,18,QB,17,"1,143",683,0,35,425,75.4,71.1,-,79.5,60.2,10 (0)
Jonah Jackson,CHI,2025,offense,73,G,17,"1,133",0,670,0,463,71.4,-,63.5,-,72.4,5 (1)
Rome Odunze,CHI,2025,offense,15,WR,12,732,440,2,0,290,70.8,72.0,67.6,-,55.1,2 (0)
Ozzy Trapilo,CHI,2025,offense,75,T,11,491,1,282,0,208,69.9,59.9,71.4,-,63.6,2 (0)
Roschon Johnson,CHI,2025,offense,23,HB,2,4,1,0,2,1,68.9,59.9,-,67.0,60.0,0 (0)
Devin Duvernay,CHI,2025,offense,12,WR,6,40,26,0,0,14,68.7,69.4,-,-,50.1,0 (0)
Jahdae Walker,CHI,2025,offense,20,WR,7,86,67,0,0,19,67.3,66.7,-,-,58.5,0 (0)
Kyle Monangai,CHI,2025,offense,25,HB,17,478,234,46,174,24,67.0,40.1,29.4,75.8,59.4,1 (1)
Brittain Brown,CHI,2025,offense,38,HB,2,15,9,0,5,1,66.5,52.1,-,69.3,60.0,0 (0)
Luke Newman,CHI,2025,offense,65,G,2,25,1,16,0,8,66.4,60.0,38.3,-,74.6,0 (0)
DJ Moore,CHI,2025,offense,02,WR,17,979,597,2,13,367,65.8,65.5,74.7,70.7,62.7,8 (0)
Cole Kmet,CHI,2025,offense,85,TE,16,769,362,76,0,331,65.1,62.4,69.3,-,64.8,3 (0)
Tyson Bagent,CHI,2025,offense,17,QB,3,14,5,0,1,8,60.3,62.3,-,58.3,60.0,0 (0)
Daniel Hardy,CHI,2025,offense,92,ED,2,2,0,1,0,1,60.0,-,66.3,-,60.0,0 (0)
Jordan McFadden,CHI,2025,offense,74,G,2,2,0,1,0,1,60.0,-,66.5,-,60.0,0 (0)
Maurice Alexander,CHI,2025,offense,13,WR,1,1,1,0,0,0,57.7,59.3,-,-,-,0 (0)
Theo Benedet,CHI,2025,offense,79,T,15,576,4,329,0,243,57.4,50.6,55.4,-,65.6,7 (0)
Braxton Jones,CHI,2025,offense,70,T,4,210,0,136,0,74,55.5,-,62.7,-,47.2,1 (0)
Olamide Zaccheaus,CHI,2025,offense,14,WR,16,580,358,5,4,213,54.8,55.4,76.5,60.8,43.1,1 (0)
Travis Homer,CHI,2025,offense,21,HB,2,6,4,1,1,0,52.8,56.0,75.0,56.7,-,0 (0)
Stephen Carlson,CHI,2025,offense,88,TE,2,14,6,2,0,6,49.8,53.7,45.9,-,55.1,0 (0)
Durham Smythe,CHI,2025,offense,81,TE,17,292,84,33,0,175,43.8,37.4,58.3,-,53.0,1 (0)
