player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Joe Burrow,CIN,2025,offense,09,QB,8,478,303,0,5,170,91.8,91.3,-,59.0,60.0,4 (0)
Ja'Marr Chase,CIN,2025,offense,01,WR,16,987,669,0,2,316,90.1,90.1,-,59.5,65.6,2 (2)
Tee Higgins,CIN,2025,offense,05,WR,15,768,553,1,0,214,80.1,80.2,67.5,-,49.0,1 (1)
Chase Brown,CIN,2025,offense,30,HB,17,737,420,56,241,20,75.1,71.9,27.7,77.2,56.1,1 (0)
Joe Flacco,CIN,2025,offense,16,QB,9,417,279,0,13,125,73.8,71.8,-,78.5,60.4,4 (0)
Tanner Hudson,CIN,2025,offense,87,TE,13,148,115,1,0,32,73.1,73.6,64.9,-,58.1,0 (0)
Mike Gesicki,CIN,2025,offense,88,TE,13,321,267,1,0,53,70.8,71.7,26.0,-,51.0,1 (0)
Dalton Risner,CIN,2025,offense,66,G,14,767,0,503,0,264,69.4,-,71.5,-,69.0,4 (0)
Amarius Mims,CIN,2025,offense,71,T,17,"1,050",0,694,0,356,67.6,-,66.6,-,64.8,4 (1)
Samaje Perine,CIN,2025,offense,34,HB,15,346,193,48,85,20,66.6,60.3,39.1,71.3,57.7,0 (0)
Lucas Patrick,CIN,2025,offense,62,G,5,23,0,8,0,15,63.9,-,65.9,-,62.0,0 (0)
Ted Karras,CIN,2025,offense,64,C,17,"1,110",0,733,0,377,63.1,-,70.7,-,59.4,6 (0)
Orlando Brown Jr.,CIN,2025,offense,75,T,17,"1,110",0,733,0,377,60.3,-,62.0,-,59.8,10 (0)
Brett Rypien,CIN,2025,offense,11,QB,1,3,1,0,0,2,59.2,60.0,-,-,60.0,0 (0)
Dylan Fairchild,CIN,2025,offense,63,G,15,961,0,629,0,332,59.1,-,67.5,-,54.3,6 (0)
Ke'Shawn Williams,CIN,2025,offense,12,WR,3,14,6,0,2,6,56.6,56.0,-,60.1,60.3,0 (0)
Mitchell Tinsley,CIN,2025,offense,82,WR,17,287,156,2,0,129,56.5,56.7,67.6,-,52.2,1 (0)
Noah Fant,CIN,2025,offense,86,TE,15,379,226,8,0,145,56.4,56.6,32.0,-,58.9,3 (0)
Cody Ford,CIN,2025,offense,61,T,7,73,1,43,0,29,55.8,78.5,53.0,-,41.7,0 (0)
Drew Sample,CIN,2025,offense,89,TE,17,593,236,74,0,283,53.9,45.9,67.8,-,57.3,2 (1)
Andrei Iosivas,CIN,2025,offense,80,WR,17,851,581,3,3,264,53.7,53.8,74.8,46.6,53.4,1 (0)
Jake Browning,CIN,2025,offense,06,QB,5,212,150,0,7,55,51.9,51.5,-,62.2,60.0,3 (1)
Tahj Brooks,CIN,2025,offense,25,HB,7,47,20,3,16,8,48.7,59.6,2.9,56.8,60.0,0 (0)
Kendall Milton,CIN,2025,offense,36,HB,1,4,0,0,3,1,47.7,-,-,51.3,60.0,0 (0)
Charlie Jones,CIN,2025,offense,15,WR,5,20,12,0,0,8,47.6,53.2,-,-,34.6,0 (0)
Cam Grandy,CIN,2025,offense,85,TE,5,28,5,2,0,21,38.8,28.2,77.0,-,61.0,0 (0)
Jalen Rivers,CIN,2025,offense,74,G,11,476,0,328,0,148,31.0,-,23.8,-,34.8,1 (0)
