player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Teven Jenkins,CLE,2025,offense,74,G,16,323,0,186,0,137,77.8,-,60.8,-,79.1,0 (0)
Raheim Sanders,CLE,2025,offense,35,HB,4,59,20,4,28,7,73.6,74.0,77.5,69.9,59.7,0 (0)
Joel Bitonio,CLE,2025,offense,75,G,17,"1,081",0,686,0,395,70.8,-,75.8,-,64.4,1 (0)
Malachi Corley,CLE,2025,offense,83,WR,13,194,82,0,12,100,70.3,65.1,-,78.5,61.0,0 (0)
Harold Fannin Jr.,CLE,2025,offense,44,TE,16,786,465,28,6,287,67.9,76.4,54.1,37.1,49.8,6 (0)
Garrett Dellinger,CLE,2025,offense,52,G,1,29,0,23,0,6,67.0,-,73.3,-,62.2,0 (0)
Quinshon Judkins,CLE,2025,offense,10,HB,14,451,170,25,240,16,66.6,64.2,19.1,68.7,69.3,0 (0)
Dylan Sampson,CLE,2025,offense,22,HB,15,250,155,18,63,14,65.8,80.6,23.0,61.1,31.2,1 (1)
Ethan Pocic,CLE,2025,offense,55,C,13,826,0,518,0,308,63.8,-,62.3,-,63.2,2 (0)
Wyatt Teller,CLE,2025,offense,77,G,13,765,0,488,0,277,62.3,-,53.1,-,65.7,4 (0)
Trayveon Williams,CLE,2025,offense,38,HB,4,62,44,10,7,1,61.4,64.1,52.7,60.1,60.0,0 (0)
Kaden Davis,CLE,2025,offense,89,WR,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Andre Szmyt,CLE,2025,offense,25,K,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
Rex Sunahara,CLE,2025,offense,50,LS,1,1,0,1,0,0,60.0,-,50.1,-,-,0 (0)
Corey Bojorquez,CLE,2025,offense,13,P,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
Joe Flacco,CLE,2025,offense,16,QB,4,272,187,0,4,81,59.9,60.3,-,65.6,60.2,4 (1)
Jerry Jeudy,CLE,2025,offense,03,WR,17,921,628,0,1,292,58.5,57.9,-,63.1,62.0,3 (1)
Jamari Thrash,CLE,2025,offense,80,WR,9,216,147,0,0,69,57.5,57.7,-,-,51.3,0 (0)
Jack Conklin,CLE,2025,offense,78,T,8,383,0,224,0,159,57.4,-,44.8,-,67.1,3 (0)
Isaiah Bond,CLE,2025,offense,16,WR,16,494,367,0,5,122,57.1,57.3,-,61.8,49.3,1 (1)
Easton Mascarenas-Arnold,CLE,2025,offense,42,LB,2,2,1,0,0,1,56.8,57.7,-,-,60.0,0 (0)
David Njoku,CLE,2025,offense,85,TE,12,515,296,38,0,181,55.9,61.6,47.7,-,43.1,0 (0)
Cedric Tillman,CLE,2025,offense,19,WR,13,515,335,0,0,180,55.8,57.4,-,-,42.9,2 (0)
Jerome Ford,CLE,2025,offense,34,HB,13,269,179,65,24,1,55.4,49.4,52.9,59.5,60.0,0 (0)
KT Leveston,CLE,2025,offense,72,T,13,653,1,413,0,239,54.3,59.9,43.3,-,67.7,10 (1)
Adin Huntington,CLE,2025,offense,98,DI,10,25,1,4,0,20,51.8,60.0,51.0,-,63.5,1 (1)
Sal Cannella,CLE,2025,offense,87,TE,2,29,21,1,0,7,51.3,51.8,71.6,-,54.1,0 (0)
Gage Larvadain,CLE,2025,offense,84,WR,13,186,137,0,0,49,50.6,52.3,-,57.9,49.8,2 (1)
Zak Zinter,CLE,2025,offense,70,G,4,46,0,24,0,22,49.1,-,53.8,-,48.5,0 (0)
Dillon Gabriel,CLE,2025,offense,08,QB,10,372,233,0,3,136,49.0,49.6,-,58.8,60.0,5 (0)
Brenden Bates,CLE,2025,offense,82,TE,6,118,28,16,0,74,48.2,46.6,73.8,-,50.2,0 (0)
Luke Wypler,CLE,2025,offense,56,C,11,272,2,165,0,105,46.4,54.9,74.3,-,46.1,6 (1)
Cam Robinson,CLE,2025,offense,68,T,13,696,0,436,0,260,46.2,-,55.8,-,45.9,12 (4)
Blake Whiteheart,CLE,2025,offense,86,TE,16,246,102,23,0,121,44.8,38.8,59.3,-,59.0,1 (0)
Shedeur Sanders,CLE,2025,offense,12,QB,8,428,265,0,4,159,44.1,42.3,-,67.9,60.1,7 (0)
Cornelius Lucas,CLE,2025,offense,71,T,9,293,1,193,0,99,42.8,59.7,36.9,-,54.5,4 (2)
Dawand Jones,CLE,2025,offense,79,T,3,143,0,99,0,44,32.8,-,47.1,-,30.6,5 (2)
