player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Quinnen Williams,DAL,2025,defense,92,DI,7,275,79,195,1,85.7,86.9,35.4,75.9,70.7,32,2,7,23,0,14,5,6,24.0,10,0,0,0,0,0,0,1,0,0.0,0,0,0,3 (1),275,0,0,0,0,16,176,78,5
Jadeveon Clowney,DAL,2025,defense,42,ED,13,372,141,227,4,79.2,70.6,54.1,80.6,62.9,40,9,2,29,4,26,3,5,14.7,27,1,0,0,0,0,0,0,0,0.0,0,0,0,4 (1),371,1,0,0,0,0,3,9,359
Dante Fowler Jr.,DAL,2025,defense,13,ED,17,358,101,248,9,77.6,67.8,53.2,72.8,64.1,30,3,7,20,1,9,4,3,18.8,8,0,2,1,50.0,18,18.0,10,18,0,0,1,81.3,0 (0),356,2,0,0,0,0,6,3,347
Donovan Ezeiruaku,DAL,2025,defense,41,ED,17,603,229,343,31,73.2,62.9,37.9,66.8,88.7,36,2,12,22,0,29,13,11,20.8,24,1,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),595,6,0,2,0,0,11,4,580
James Houston,DAL,2025,defense,53,ED,17,305,107,182,16,69.1,67.4,63.2,69.5,66.5,25,6,10,9,0,15,4,3,13.6,12,1,1,0,0.0,0,0,0,0,0,39.6,0,0,3 (0),302,2,0,1,0,0,0,4,298
Perrion Winfrey,DAL,2025,defense,99,DI,1,34,18,16,0,69.0,65.2,25.2,64.9,-,2,0,0,2,0,1,1,1,33.3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,1,30,3,0
Kenny Clark,DAL,2025,defense,95,DI,17,746,282,462,2,67.6,53.7,51.7,72.4,61.3,44,4,6,34,0,18,12,6,16.7,19,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),746,0,0,0,0,109,449,182,6
DeMarvion Overshown,DAL,2025,defense,00,LB,6,218,70,8,140,67.4,63.4,53.9,77.7,64.5,2,0,0,2,0,22,7,5,14.7,12,0,18,17,94.4,156,9.2,112,29,1,0,0,121.3,0 (0),8,185,1,22,2,0,0,0,8
Osa Odighizuwa,DAL,2025,defense,97,DI,17,691,265,420,6,65.9,58.9,71.9,71.5,59.9,52,3,20,29,0,20,18,1,2.6,17,0,0,0,0,0,0,0,0,0.0,0,0,0,5 (2),691,0,0,0,0,19,415,246,11
DaRon Bland,DAL,2025,defense,26,CB,12,743,272,10,461,65.3,69.1,61.4,38.2,64.5,2,0,0,2,0,53,14,9,11.8,16,0,76,51,67.1,630,12.4,248,50,5,1,5,109.0,0 (0),7,93,2,200,441,0,0,0,7
Zion Childress,DAL,2025,defense,48,S,1,5,2,0,3,61.4,60.0,-,-,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,4,0,0,0,0,0,0
Malik Hooker,DAL,2025,defense,28,S,12,593,219,2,372,61.0,83.4,78.7,58.5,51.8,0,0,0,0,0,38,14,5,8.8,7,0,18,15,83.3,295,19.7,91,52,2,0,1,155.8,0 (0),8,115,424,45,1,0,0,0,8
Juanyeh Thomas,DAL,2025,defense,02,S,6,264,107,1,156,60.0,69.0,56.5,58.8,56.0,0,0,0,0,0,16,3,4,17.4,2,0,3,3,100.0,27,9.0,20,16,1,0,0,143.8,0 (0),5,52,187,18,2,0,0,0,5
Kaiir Elam,DAL,2025,defense,20,CB,9,458,173,2,283,59.6,53.5,74.6,58.5,60.0,0,0,0,0,0,23,4,2,6.9,6,0,41,26,63.4,330,12.7,108,65,3,0,1,112.9,3 (1),9,38,2,11,398,0,0,0,9
Solomon Thomas,DAL,2025,defense,90,DI,16,417,183,233,1,59.6,61.4,54.0,55.8,67.3,12,0,3,9,1,18,10,6,17.6,13,0,0,0,0,0,0,0,0,0.0,0,0,0,4 (1),417,0,0,0,0,4,288,118,7
Sam Williams,DAL,2025,defense,54,ED,17,474,184,270,20,57.5,54.7,52.7,55.0,85.0,24,1,3,20,1,25,9,5,12.8,21,1,2,0,0.0,0,0,0,0,1,39.6,0,0,5 (1),462,12,0,0,0,0,7,20,435
Josh Butler,DAL,2025,defense,31,CB,1,26,13,1,12,56.8,74.3,49.4,59.1,50.0,0,0,0,0,0,5,0,0,0.0,0,0,1,1,100.0,6,6.0,1,6,0,0,0,91.7,0 (0),0,2,0,0,24,0,0,0,0
Isaiah Land,DAL,2025,defense,91,ED,1,3,1,2,0,56.2,60.0,-,56.6,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),3,0,0,0,0,0,0,0,3
Caelen Carson,DAL,2025,defense,21,CB,6,211,56,0,155,56.1,76.3,74.3,-,54.2,0,0,0,0,0,15,2,1,5.6,6,0,17,11,64.7,188,17.1,42,58,0,0,1,102.1,2 (0),0,17,0,9,185,0,0,0,0
Trevon Diggs,DAL,2025,defense,07,CB,8,424,158,1,265,56.1,42.1,57.0,40.3,62.4,1,0,0,1,0,23,2,4,13.8,10,0,20,16,80.0,286,17.9,78,35,3,0,0,158.3,3 (1),2,28,0,11,383,0,0,0,2
Jack Sanborn,DAL,2025,defense,57,LB,5,229,106,2,121,56.0,54.3,39.8,55.0,58.6,1,0,0,1,0,22,8,7,18.9,8,0,12,11,91.7,117,10.6,56,25,0,0,1,107.3,0 (0),0,220,0,9,0,0,0,0,0
Logan Wilson,DAL,2025,defense,55,LB,7,224,83,6,135,52.4,54.7,66.8,59.3,52.3,1,0,0,1,0,20,3,2,8.0,6,1,19,14,73.7,125,8.9,97,22,1,0,1,108.4,0 (0),2,190,1,29,2,0,0,0,2
Marshawn Kneeland,DAL,2025,defense,94,ED,7,164,88,76,0,51.7,43.8,27.4,58.1,61.6,3,1,0,2,0,7,4,5,31.3,7,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),163,1,0,0,0,0,4,17,142
Reddy Steward,DAL,2025,defense,27,CB,15,519,182,25,312,50.9,35.8,45.3,48.5,58.3,5,2,0,3,0,44,9,11,17.2,18,0,52,45,86.5,410,9.1,328,28,0,0,3,99.5,4 (0),12,86,29,384,8,0,0,0,12
