player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Dak Prescott,DAL,2025,offense,04,QB,17,"1,135",712,0,28,395,86.9,85.4,-,61.3,60.2,5 (0)
George Pickens,DAL,2025,offense,03,WR,17,968,661,0,0,307,85.9,87.2,-,-,53.3,8 (1)
Ryan Flournoy,DAL,2025,offense,19,WR,15,479,292,0,4,183,80.3,78.8,-,61.8,74.4,1 (1)
CeeDee Lamb,DAL,2025,offense,88,WR,14,732,498,0,3,231,77.6,79.0,-,55.4,59.8,6 (2)
Javonte Williams,DAL,2025,offense,33,HB,16,769,367,124,255,23,75.3,45.7,66.3,81.7,56.9,1 (0)
Tyler Smith,DAL,2025,offense,73,G,16,"1,110",0,700,0,410,73.4,-,65.3,-,81.0,11 (3)
Brevyn Spann-Ford,DAL,2025,offense,89,TE,17,300,74,33,0,193,73.0,72.4,53.8,-,68.2,0 (0)
Tyler Booker,DAL,2025,offense,52,G,14,"1,003",0,631,0,372,72.0,-,62.3,-,76.9,7 (1)
Phil Mafah,DAL,2025,offense,37,HB,1,10,3,0,5,2,71.7,79.9,-,67.6,59.4,0 (0)
Brandon Aubrey,DAL,2025,offense,17,K,1,1,0,0,1,0,70.4,-,-,63.1,-,0 (0)
Cooper Beebe,DAL,2025,offense,56,C,11,767,0,484,0,283,67.8,-,63.6,-,68.3,1 (0)
T.J. Bass,DAL,2025,offense,66,G,9,352,0,209,0,143,67.6,-,62.9,-,65.8,0 (0)
Miles Sanders,DAL,2025,offense,24,HB,4,65,28,14,21,2,66.7,76.3,36.8,65.9,60.0,0 (0)
Terence Steele,DAL,2025,offense,78,T,17,"1,163",0,722,0,441,63.6,-,54.8,-,70.2,7 (3)
KaVontae Turpin,DAL,2025,offense,09,WR,15,380,266,1,17,96,61.6,64.7,67.1,46.7,48.9,1 (1)
Hunter Luepke,DAL,2025,offense,40,FB,17,252,92,38,16,106,60.5,70.6,54.3,65.3,45.4,0 (0)
Jalen Tolbert,DAL,2025,offense,01,WR,13,464,284,0,0,180,60.4,61.2,-,-,45.1,1 (0)
Malik Davis,DAL,2025,offense,43,HB,9,154,57,31,53,13,60.3,43.0,50.0,65.2,59.4,0 (0)
Parris Campbell,DAL,2025,offense,11,WR,1,2,0,0,0,2,60.0,-,-,-,59.9,0 (0)
Trent Sieg,DAL,2025,offense,44,LS,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Bryan Anger,DAL,2025,offense,05,P,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jake Ferguson,DAL,2025,offense,87,TE,17,786,546,35,0,205,59.4,60.0,54.4,-,57.6,5 (2)
Jalen Moreno-Cropper,DAL,2025,offense,16,WR,3,8,1,0,0,7,58.9,59.3,-,-,60.6,1 (0)
Jalen Brooks,DAL,2025,offense,83,WR,1,4,1,0,0,3,58.7,59.7,-,-,60.2,0 (0)
Trevor Keegan,DAL,2025,offense,76,G,1,6,0,4,0,2,58.2,-,77.3,-,57.7,0 (0)
Tyler Guyton,DAL,2025,offense,60,T,10,650,0,418,0,232,57.4,-,49.8,-,64.8,7 (0)
Jaydon Blue,DAL,2025,offense,23,HB,5,78,25,6,40,7,56.9,52.5,82.1,59.0,60.0,1 (0)
Brock Hoffman,DAL,2025,offense,67,C,10,475,0,285,0,190,56.0,-,58.4,-,56.9,2 (0)
Luke Schoonmaker,DAL,2025,offense,86,TE,17,392,143,44,0,205,55.1,58.6,54.1,-,54.2,2 (0)
Jonathan Mingo,DAL,2025,offense,81,WR,6,80,43,0,0,37,53.2,51.5,-,-,64.9,0 (0)
Joe Milton III,DAL,2025,offense,10,QB,4,51,30,0,2,19,52.7,52.7,-,57.4,60.0,0 (0)
Hakeem Adeniji,DAL,2025,offense,75,G,6,77,0,41,0,36,50.8,-,34.7,-,56.1,1 (0)
Nate Thomas,DAL,2025,offense,71,T,9,342,0,219,0,123,39.2,-,31.6,-,52.9,4 (0)
