player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Devon Key,DEN,2025,defense,26,S,10,75,12,0,63,80.1,63.1,78.8,-,76.6,0,0,0,0,0,2,0,0,0.0,1,0,2,1,50.0,6,6.0,0,6,0,0,0,56.3,0 (0),1,16,44,13,0,0,0,0,1
Karene Reid,DEN,2025,defense,47,LB,2,4,4,0,0,78.4,72.8,72.3,-,-,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,3,0,0,0,0,0,0,0
Ja'Quan McMillian,DEN,2025,defense,29,CB,17,742,169,39,534,78.3,72.3,75.6,82.9,75.0,8,4,1,3,1,46,8,5,8.5,26,2,75,52,69.3,503,9.7,238,61,2,2,3,85.6,2 (0),8,47,2,668,17,0,0,0,8
Nik Bonitto,DEN,2025,defense,15,ED,17,684,200,416,68,77.5,61.3,33.1,84.9,63.1,76,17,14,45,1,28,2,12,28.6,34,1,6,5,83.3,43,8.6,27,14,0,0,0,96.5,7 (0),676,5,0,2,0,0,0,0,676
Jonah Elliss,DEN,2025,defense,52,ED,13,319,112,174,33,75.8,62.5,74.4,64.0,91.4,23,3,3,17,0,12,6,0,0.0,13,0,7,7,100.0,40,5.7,49,22,0,0,0,90.5,0 (0),315,3,0,1,0,0,0,0,315
Justin Strnad,DEN,2025,defense,40,LB,15,575,197,77,301,75.3,64.7,73.1,72.5,73.8,17,5,4,8,0,28,15,5,10.4,23,0,22,19,86.4,231,12.2,158,47,0,1,1,91.5,0 (0),10,519,1,45,0,0,0,0,10
Dre Greenlaw,DEN,2025,defense,57,LB,8,324,118,29,177,74.8,82.3,65.8,50.6,67.1,3,1,1,1,0,25,15,4,9.1,11,0,19,13,68.4,118,9.1,62,23,1,1,0,80.6,0 (0),9,295,0,17,3,0,0,0,9
D.J. Jones,DEN,2025,defense,93,DI,16,431,210,218,3,74.8,74.5,27.9,63.6,57.0,22,3,3,16,0,27,7,10,22.7,27,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),431,0,0,0,0,162,264,5,0
Jordan Turner,DEN,2025,defense,55,LB,3,23,6,3,14,72.5,77.9,77.6,70.2,55.1,1,0,1,0,0,1,2,0,0.0,1,0,2,1,50.0,6,6.0,3,6,0,0,0,56.3,0 (0),0,22,0,1,0,0,0,0,0
Talanoa Hufanga,DEN,2025,defense,09,S,17,"1,084",363,32,689,72.0,76.1,68.5,66.1,69.3,8,2,1,5,1,80,19,14,12.4,30,1,36,21,58.3,262,12.5,118,63,2,0,6,99.5,4 (0),38,362,547,128,9,0,0,0,38
Pat Surtain II,DEN,2025,defense,02,CB,14,864,296,2,566,72.0,64.1,49.6,71.4,71.6,1,0,0,1,0,37,4,8,16.3,8,0,59,31,52.5,312,10.1,92,37,1,1,9,66.5,10 (1),0,59,0,71,734,0,0,0,0
Alex Singleton,DEN,2025,defense,49,LB,16,"1,029",355,87,587,70.5,83.2,72.2,64.9,56.7,15,1,3,11,0,85,49,12,8.2,50,1,60,49,81.7,463,9.4,324,47,2,0,4,109.9,0 (0),18,945,1,65,0,0,0,0,18
Dondrea Tillman,DEN,2025,defense,92,ED,17,419,162,218,39,68.5,72.4,52.3,62.3,58.4,24,5,4,15,1,16,10,6,18.8,14,0,8,4,50.0,40,10.0,20,13,0,2,0,25.0,1 (1),417,1,0,0,0,0,0,0,417
Jonathon Cooper,DEN,2025,defense,00,ED,17,682,207,408,67,66.4,66.1,58.7,66.0,62.5,51,10,8,33,3,28,10,5,11.6,22,0,7,5,71.4,47,9.4,36,13,0,0,0,89.6,5 (3),678,1,0,2,0,0,0,0,678
Riley Moss,DEN,2025,defense,21,CB,17,"1,089",359,3,727,65.9,70.9,64.4,87.9,63.4,1,1,0,0,0,71,9,11,12.1,26,0,114,65,57.0,795,12.2,151,52,6,1,15,92.5,12 (2),2,105,1,46,935,0,0,0,2
Sai'vion Jones,DEN,2025,defense,95,DI,3,33,5,28,0,64.7,65.5,26.3,60.0,-,3,1,0,2,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),33,0,0,0,0,0,22,8,3
Quandarrius Robinson,DEN,2025,defense,51,ED,6,151,66,74,11,64.3,63.8,54.1,60.4,58.5,9,1,2,6,1,7,2,2,18.2,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),150,0,0,0,0,0,0,0,150
Brandon Jones,DEN,2025,defense,22,S,14,871,281,27,563,64.3,75.7,71.0,62.9,60.6,6,1,1,4,0,55,23,9,10.3,13,0,32,18,56.3,222,12.3,62,44,1,1,3,75.3,3 (0),25,237,516,82,11,0,0,0,25
Levelle Bailey,DEN,2025,defense,56,LB,1,11,0,2,9,63.9,-,-,56.9,64.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),2,8,0,1,0,0,0,0,2
John Franklin-Myers,DEN,2025,defense,98,DI,16,516,133,378,5,62.5,65.4,32.7,68.9,52.6,39,8,8,23,0,10,5,5,25.0,18,0,2,1,50.0,17,17.0,4,17,0,0,0,79.2,6 (1),515,1,0,0,0,2,156,299,58
Zach Allen,DEN,2025,defense,99,DI,17,797,237,555,5,61.3,37.0,30.1,75.6,64.2,73,10,36,27,5,21,9,7,18.9,21,0,1,0,0.0,0,0,0,0,0,39.6,0,0,3 (1),780,17,0,0,0,5,465,297,13
Malcolm Roach,DEN,2025,defense,97,DI,12,402,181,218,3,60.1,58.2,31.2,60.7,64.1,16,5,1,10,0,23,13,8,18.2,22,0,1,0,0.0,0,0,0,0,0,39.6,0,0,2 (0),398,3,0,0,0,21,307,63,7
Marvin Mims Jr.,DEN,2025,defense,19,WR,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Garret Wallow,DEN,2025,defense,50,LB,1,1,0,1,0,59.6,-,-,59.3,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
Eyioma Uwazurike,DEN,2025,defense,96,DI,17,409,186,223,0,58.7,61.2,32.8,53.3,61.3,12,4,2,6,0,22,13,7,16.7,23,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),409,0,0,0,0,16,228,138,27
