player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Quinn Meinerz,DEN,2025,offense,77,G,17,"1,109",0,708,0,401,90.9,-,70.8,-,92.1,3 (2)
Garett Bolles,DEN,2025,offense,72,T,17,"1,126",1,713,0,412,89.3,60.0,90.8,-,80.7,7 (1)
Michael Bandy,DEN,2025,offense,83,WR,4,16,14,0,0,2,80.0,77.3,-,-,60.0,0 (0)
Mike McGlinchey,DEN,2025,offense,69,T,17,"1,129",0,716,0,413,76.9,-,67.2,-,82.7,6 (0)
J.K. Dobbins,DEN,2025,offense,27,HB,10,341,122,36,157,26,76.8,46.6,60.3,80.8,47.7,1 (0)
Courtland Sutton,DEN,2025,offense,14,WR,17,975,665,0,0,310,75.6,76.2,-,-,48.8,1 (1)
Calvin Throckmorton,DEN,2025,offense,76,G,4,34,0,14,0,20,75.5,-,35.4,-,79.6,1 (1)
Frank Crum,DEN,2025,offense,73,T,10,64,0,20,0,44,75.2,-,83.6,-,66.8,0 (0)
Bo Nix,DEN,2025,offense,10,QB,17,"1,137",720,0,50,367,75.0,74.4,-,63.0,60.3,8 (1)
Luke Wattenberg,DEN,2025,offense,60,C,15,"1,006",0,641,0,365,70.9,-,71.0,-,74.4,8 (2)
Jaleel McLaughlin,DEN,2025,offense,38,HB,8,85,34,3,37,11,70.7,53.1,77.1,72.2,60.1,0 (0)
RJ Harvey,DEN,2025,offense,12,HB,17,480,275,33,144,28,68.3,68.1,54.9,69.2,58.5,0 (0)
Alex Forsyth,DEN,2025,offense,54,C,5,136,0,77,0,59,65.3,-,68.1,-,62.8,0 (0)
Marvin Mims Jr.,DEN,2025,offense,19,WR,15,378,290,0,10,78,63.5,62.7,-,62.5,61.8,0 (0)
Troy Franklin,DEN,2025,offense,11,WR,17,671,519,0,4,148,62.6,63.9,-,63.4,42.8,5 (2)
Ben Powers,DEN,2025,offense,74,G,8,465,0,290,0,175,62.4,-,60.7,-,62.0,2 (0)
Pat Bryant,DEN,2025,offense,13,WR,15,477,324,1,0,152,60.9,64.4,64.9,-,39.7,5 (1)
Talanoa Hufanga,DEN,2025,offense,09,S,3,5,0,0,0,5,60.0,-,-,-,60.0,0 (0)
Jarrett Stidham,DEN,2025,offense,08,QB,1,4,0,0,1,3,60.0,-,-,60.0,60.0,0 (0)
Sam Mustipher,DEN,2025,offense,61,C,1,4,0,2,0,2,58.7,-,74.3,-,55.1,0 (0)
Lil'Jordan Humphrey,DEN,2025,offense,17,WR,7,169,87,1,0,81,58.6,58.8,75.4,-,53.0,0 (0)
Tyler Badie,DEN,2025,offense,28,HB,16,193,145,36,7,5,57.9,49.0,87.4,58.2,58.9,1 (0)
Adam Trautman,DEN,2025,offense,82,TE,17,652,224,91,0,337,57.4,60.0,68.4,-,54.6,7 (1)
Evan Engram,DEN,2025,offense,01,TE,16,458,381,9,1,67,56.9,58.3,74.2,57.2,44.2,2 (0)
Alex Palczewski,DEN,2025,offense,63,G,16,665,1,404,0,260,53.7,59.6,53.4,-,53.3,3 (1)
Nate Adkins,DEN,2025,offense,45,TE,9,199,70,15,0,114,52.0,41.2,73.5,-,63.6,0 (0)
Adam Prentice,DEN,2025,offense,46,FB,17,211,58,21,10,122,51.4,54.8,89.8,58.3,44.0,0 (0)
Marcedes Lewis,DEN,2025,offense,89,TE,5,81,2,15,0,64,51.2,55.7,50.3,-,57.9,2 (0)
Lucas Krull,DEN,2025,offense,85,TE,3,53,33,0,0,20,48.1,48.5,-,-,55.0,0 (0)
Trent Sherfield,DEN,2025,offense,05,WR,10,164,69,4,0,91,47.1,50.8,77.8,-,32.0,2 (0)
Matt Peart,DEN,2025,offense,79,G,2,64,0,36,0,28,29.9,-,25.2,-,41.3,3 (0)
