player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Aidan Hutchinson,DET,2025,defense,97,ED,17,"1,005",374,622,9,91.7,69.7,44.3,92.1,72.9,100,16,20,64,1,29,9,10,20.8,35,4,1,1,100.0,12,12.0,2,12,0,1,0,77.1,6 (1),998,6,1,0,0,0,1,6,991
Jack Campbell,DET,2025,defense,46,LB,17,"1,096",410,78,608,90.3,93.0,81.5,75.7,71.7,17,5,2,10,0,111,48,12,7.0,69,3,61,45,73.8,392,8.7,287,42,4,0,2,112.2,2 (0),39,989,1,46,21,0,0,0,39
Nick Whiteside,DET,2025,defense,38,CB,5,51,10,0,41,83.0,51.0,49.9,-,88.3,0,0,0,0,0,5,0,1,16.7,3,0,5,1,20.0,22,22.0,24,22,1,0,3,85.0,0 (0),0,6,0,4,41,0,0,0,0
Tyrus Wheat,DET,2025,defense,99,ED,11,66,18,47,1,82.3,62.4,73.1,80.5,60.0,3,2,1,0,1,1,0,0,0.0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),66,0,0,0,0,0,6,2,58
Avonte Maddox,DET,2025,defense,29,S,10,342,118,2,222,79.1,75.7,61.5,61.3,75.0,0,0,0,0,0,24,8,5,13.5,2,1,13,10,76.9,108,10.8,32,30,2,1,3,108.3,1 (0),7,67,248,18,2,0,0,0,7
Loren Strickland,DET,2025,defense,24,S,1,13,1,0,12,78.0,60.0,80.7,-,73.5,0,0,0,0,0,1,1,0,0.0,1,0,1,1,100.0,14,14.0,0,14,0,0,0,118.8,0 (0),0,2,10,1,0,0,0,0,0
Thomas Harper,DET,2025,defense,12,S,10,482,195,2,285,78.0,73.2,74.5,50.9,75.9,0,0,0,0,0,33,8,4,8.9,6,1,10,5,50.0,84,16.8,4,39,2,1,2,78.8,0 (0),1,90,385,5,1,0,0,0,1
Brian Branch,DET,2025,defense,32,S,12,746,292,18,436,77.8,82.6,88.1,83.0,74.3,7,3,3,1,0,60,19,4,4.8,26,1,37,21,56.8,301,14.3,73,41,4,0,6,119.3,9 (2),53,236,282,149,26,0,0,0,53
Daniel Thomas,DET,2025,defense,02,S,6,111,47,1,63,75.8,71.6,65.9,58.5,71.0,0,0,0,0,0,11,4,2,11.8,3,0,4,3,75.0,32,10.7,5,26,1,0,1,137.5,0 (0),6,34,61,7,3,0,0,0,6
Al-Quadin Muhammad,DET,2025,defense,96,ED,17,457,83,353,21,74.5,59.7,47.6,72.0,63.4,53,12,9,32,0,9,4,4,23.5,15,0,4,2,50.0,28,14.0,9,15,0,0,0,72.9,1 (1),456,1,0,0,0,4,35,96,321
DJ Reader,DET,2025,defense,98,DI,17,583,267,313,3,68.9,61.7,59.3,72.6,62.1,20,0,3,17,0,17,12,2,6.5,14,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),582,1,0,0,0,240,331,11,0
Roy Lopez,DET,2025,defense,51,DI,17,425,186,238,1,68.8,68.9,53.7,63.9,64.1,13,3,2,8,1,19,9,3,9.7,14,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),425,0,0,0,0,87,309,29,0
Alex Anzalone,DET,2025,defense,34,LB,16,"1,003",369,68,566,67.4,65.0,76.8,66.0,65.3,18,3,4,11,1,68,27,8,7.8,44,0,61,40,65.6,409,10.2,159,45,2,1,4,88.8,5 (3),82,706,3,174,38,0,0,0,82
Grant Stuard,DET,2025,defense,15,LB,4,13,10,0,3,66.8,63.5,33.4,-,62.6,0,0,0,0,0,3,0,1,25.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,13,0,0,0,0,0,0,0
