player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Penei Sewell,DET,2025,offense,58,T,16,998,0,601,0,397,95.1,-,80.3,-,96.6,2 (0)
Amon-Ra St. Brown,DET,2025,offense,14,WR,17,940,589,5,3,343,90.7,90.6,79.0,60.1,70.0,1 (0)
Jahmyr Gibbs,DET,2025,offense,00,HB,17,738,382,81,248,27,85.6,90.3,50.5,81.1,68.2,1 (0)
Sam LaPorta,DET,2025,offense,87,TE,9,517,254,33,0,230,82.0,83.2,60.6,-,64.8,1 (0)
Jared Goff,DET,2025,offense,16,QB,17,"1,084",653,0,13,418,77.7,76.8,-,52.6,60.7,5 (0)
Jameson Williams,DET,2025,offense,01,WR,17,993,626,0,6,361,75.6,76.7,-,48.0,67.2,5 (0)
David Montgomery,DET,2025,offense,05,HB,17,408,181,52,163,12,75.2,78.4,58.0,72.4,58.9,0 (0)
Kyle Allen,DET,2025,offense,08,QB,3,16,2,0,3,11,73.7,73.0,-,60.5,60.0,0 (0)
Tate Ratledge,DET,2025,offense,69,G,17,"1,088",0,648,0,440,70.3,-,58.5,-,73.4,7 (1)
Kalif Raymond,DET,2025,offense,11,WR,15,358,223,0,2,133,70.0,68.5,-,68.1,65.3,1 (0)
Taylor Decker,DET,2025,offense,68,T,14,894,0,551,0,343,67.9,-,69.5,-,62.1,5 (1)
Jacob Saylors,DET,2025,offense,25,HB,4,9,0,0,2,7,67.4,-,-,64.0,59.8,0 (0)
Tom Kennedy,DET,2025,offense,85,WR,4,48,31,0,0,17,66.6,66.8,-,-,54.2,0 (0)
Michael Niese,DET,2025,offense,62,C,2,12,0,5,0,7,65.8,-,75.3,-,65.1,0 (0)
Isaac TeSlaa,DET,2025,offense,18,WR,17,438,311,1,0,126,63.1,63.3,65.7,-,52.3,1 (0)
Jackson Meeks,DET,2025,offense,83,WR,2,5,0,0,0,5,60.2,-,-,-,60.3,0 (0)
Grant Stuard,DET,2025,offense,15,LB,1,1,0,0,1,0,60.1,-,-,60.0,-,0 (0)
Trevor Nowaske,DET,2025,offense,53,ED,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Hogan Hatten,DET,2025,offense,49,LS,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Derrick Barnes,DET,2025,offense,55,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Daniel Thomas,DET,2025,offense,02,S,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jack Fox,DET,2025,offense,03,P,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Ty Summers,DET,2025,offense,43,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Christian Mahogany,DET,2025,offense,73,G,11,699,0,407,0,292,59.1,-,40.7,-,67.2,2 (0)
Kayode Awosika,DET,2025,offense,74,G,8,287,0,168,0,119,57.9,-,52.5,-,60.5,1 (1)
Graham Glasgow,DET,2025,offense,60,C,14,873,0,517,0,356,56.8,-,61.3,-,54.2,2 (0)
Sione Vaki,DET,2025,offense,33,HB,2,2,0,0,1,1,56.3,-,-,59.0,60.0,0 (0)
Anthony Firkser,DET,2025,offense,86,TE,7,187,107,14,0,66,54.2,56.3,65.9,-,47.0,0 (0)
Malik Cunningham,DET,2025,offense,80,WR,1,1,0,0,1,0,53.5,-,-,56.7,-,0 (0)
Chris Hubbard,DET,2025,offense,64,T,1,73,0,45,0,28,52.7,-,59.2,-,46.5,0 (0)
Brock Wright,DET,2025,offense,89,TE,11,402,130,51,0,221,52.5,54.2,53.2,-,55.5,2 (0)
Dan Skipper,DET,2025,offense,70,T,12,228,4,115,0,109,50.5,34.2,69.3,-,47.5,3 (0)
Craig Reynolds,DET,2025,offense,13,HB,2,4,0,0,3,1,48.3,-,-,51.9,60.0,0 (0)
Trystan Colon,DET,2025,offense,57,G,7,183,0,103,0,80,47.5,-,34.4,-,51.1,0 (0)
Kingsley Eguakun,DET,2025,offense,65,C,3,138,0,93,0,45,46.5,-,62.7,-,43.2,2 (0)
Zach Horton,DET,2025,offense,40,TE,2,11,1,1,0,9,46.1,60.0,9.8,-,56.5,0 (0)
Dominic Lovett,DET,2025,offense,19,WR,7,14,0,0,0,14,44.5,-,-,-,56.9,1 (1)
Ross Dwelley,DET,2025,offense,82,TE,10,119,36,9,0,74,44.4,46.2,76.7,-,46.9,0 (0)
Shane Zylstra,DET,2025,offense,84,TE,5,164,85,18,0,61,44.0,49.7,42.6,-,41.0,1 (0)
Giovanni Manu,DET,2025,offense,59,T,3,69,0,28,0,41,43.6,-,17.5,-,55.9,0 (0)
Giovanni Ricci,DET,2025,offense,88,TE,3,58,9,6,0,43,37.8,49.4,18.3,-,54.9,2 (0)
Miles Frazier,DET,2025,offense,71,G,4,46,0,29,0,17,26.4,-,34.5,-,39.2,2 (0)
