player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Micah Parsons,GB,2025,defense,01,ED,14,707,264,436,7,91.9,69.3,79.7,92.9,74.8,79,14,14,51,0,19,12,2,6.1,28,2,0,0,0,0,0,0,0,0.0,0,0,0,6 (0),665,42,0,0,0,0,14,52,599
Trevon Diggs,GB,2025,defense,28,CB,1,33,15,0,18,88.2,29.9,80.5,-,91.7,0,0,0,0,0,2,1,0,0.0,1,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),0,2,0,0,31,0,0,0,0
Xavier McKinney,GB,2025,defense,29,S,16,"1,053",428,13,612,81.3,82.7,90.4,66.5,80.1,2,1,1,0,0,72,28,5,4.8,12,1,26,15,57.7,182,12.1,57,32,1,2,7,60.1,2 (0),40,386,579,46,2,0,0,0,40
Edgerrin Cooper,GB,2025,defense,56,LB,16,"1,046",427,66,553,75.8,69.1,55.8,66.7,76.5,12,1,2,9,0,86,35,19,13.6,45,2,75,62,82.7,493,8.0,350,44,0,0,5,94.1,0 (0),108,808,3,122,5,0,0,1,107
Lukas Van Ness,GB,2025,defense,90,ED,9,263,104,151,8,75.5,72.1,80.4,68.5,72.2,23,2,7,14,0,14,2,1,5.9,13,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),262,1,0,0,0,0,26,35,201
Isaiah McDuffie,GB,2025,defense,58,LB,17,505,274,23,208,69.4,69.1,75.8,71.4,63.0,8,2,2,4,0,59,28,5,5.4,28,0,28,22,78.6,172,7.8,100,26,1,1,0,89.3,1 (0),196,240,2,66,1,0,0,0,196
Evan Williams,GB,2025,defense,33,S,16,903,345,10,548,69.0,82.4,65.3,63.7,62.0,2,0,0,2,0,65,26,13,12.5,23,0,38,28,73.7,299,10.7,69,43,2,3,1,80.9,5 (1),28,280,467,126,2,0,0,0,28
Rashan Gary,GB,2025,defense,52,ED,16,653,230,415,8,68.3,71.9,66.7,60.7,62.7,54,7,12,35,0,23,10,5,13.2,25,1,1,1,100.0,5,5.0,4,5,0,0,0,87.5,1 (0),652,1,0,0,0,0,5,21,626
Kamal Hadden,GB,2025,defense,36,CB,2,37,17,0,20,67.6,79.0,37.7,-,60.8,0,0,0,0,0,3,0,1,25.0,2,0,2,2,100.0,12,6.0,9,7,0,0,0,91.7,0 (0),0,3,0,0,34,0,0,0,0
Johnathan Baldwin,GB,2025,defense,37,S,1,66,28,0,38,67.6,73.5,85.1,-,60.7,0,0,0,0,0,5,3,0,0.0,2,0,2,2,100.0,27,13.5,2,18,0,0,0,118.8,0 (0),0,20,40,6,0,0,0,0,0
Keisean Nixon,GB,2025,defense,25,CB,17,"1,014",409,2,603,66.4,66.6,76.3,74.2,67.8,1,0,1,0,0,62,10,4,5.3,18,0,82,50,61.0,570,11.4,97,46,7,1,13,105.2,12 (2),9,75,0,6,924,0,0,0,9
Kristian Welch,GB,2025,defense,54,LB,2,2,2,0,0,66.1,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,2,0,0,0,0,0,0,0
Carrington Valentine,GB,2025,defense,24,CB,16,780,323,5,452,65.7,59.4,37.2,68.6,66.4,1,0,0,1,0,28,6,10,22.7,5,0,55,31,56.4,397,12.8,117,28,5,0,4,109.4,4 (2),31,43,0,6,700,0,0,0,31
Javon Bullard,GB,2025,defense,20,S,17,724,250,12,462,64.5,54.1,54.7,60.5,67.4,1,0,1,0,0,59,22,13,13.8,27,0,61,46,75.4,318,6.9,227,20,1,0,3,92.1,3 (1),8,118,100,493,5,0,0,0,8
Kingsley Enagbare,GB,2025,defense,55,ED,16,468,203,243,22,63.6,61.0,54.2,58.6,71.0,24,3,5,16,0,31,7,7,15.6,20,0,3,3,100.0,37,12.3,36,20,0,0,0,118.1,2 (0),463,5,0,0,0,0,19,48,396
