player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Malik Willis,GB,2025,offense,02,QB,4,97,49,0,13,35,92.3,90.8,-,80.3,60.0,0 (0)
Jordan Love,GB,2025,offense,10,QB,15,894,523,0,22,349,88.5,88.7,-,52.1,60.4,2 (0)
Christian Watson,GB,2025,offense,09,WR,10,416,255,1,1,159,86.7,88.5,65.5,56.6,56.4,1 (0)
Josh Jacobs,GB,2025,offense,08,HB,15,552,229,57,237,29,86.1,90.0,37.6,82.8,46.2,1 (0)
Zach Bako-Bewele,GB,2025,offense,50,T,12,604,0,351,0,253,83.5,-,78.5,-,81.9,1 (1)
Tucker Kraft,GB,2025,offense,85,TE,8,440,222,33,1,184,78.1,82.9,53.5,57.2,62.0,1 (0)
Jacob Monk,GB,2025,offense,62,C,2,57,0,22,0,35,73.7,-,50.7,-,74.7,0 (0)
Jayden Reed,GB,2025,offense,11,WR,7,169,118,1,3,47,71.7,73.2,65.9,63.5,50.3,1 (0)
Romeo Doubs,GB,2025,offense,87,WR,16,779,448,0,0,331,71.0,73.7,-,-,32.6,1 (0)
Dontayvion Wicks,GB,2025,offense,13,WR,14,409,249,4,0,156,70.2,71.2,79.4,-,51.3,1 (1)
Chris Brooks,GB,2025,offense,30,HB,17,203,109,33,26,35,69.6,51.1,69.2,73.6,86.9,0 (0)
Darian Kinnard,GB,2025,offense,70,T,14,285,2,142,0,141,69.4,55.7,58.6,-,73.6,2 (0)
Matthew Golden,GB,2025,offense,00,WR,14,453,285,1,9,158,66.1,68.1,66.4,54.3,46.6,0 (0)
Lecitus Smith,GB,2025,offense,68,G,1,51,0,18,0,33,65.7,-,74.0,-,62.5,0 (0)
Rasheed Walker,GB,2025,offense,63,T,16,986,0,572,0,414,64.6,-,70.0,-,55.4,9 (2)
Emanuel Wilson,GB,2025,offense,23,HB,17,327,137,45,125,20,64.0,37.2,46.7,74.1,31.6,0 (0)
Bo Melton,GB,2025,offense,16,WR,13,96,52,1,5,38,62.6,60.5,68.8,57.4,77.0,1 (1)
Elgton Jenkins,GB,2025,offense,74,C,9,538,0,310,0,228,62.0,-,72.5,-,60.6,4 (0)
Ben Sims,GB,2025,offense,89,TE,1,1,0,0,0,1,61.0,72.7,70.4,-,36.0,0 (0)
Donovan Jennings,GB,2025,offense,67,G,1,6,0,4,0,2,60.9,-,77.0,-,59.1,0 (0)
Malik Heath,GB,2025,offense,18,WR,11,211,105,2,0,104,60.6,61.0,54.0,-,67.4,2 (0)
Savion Williams,GB,2025,offense,83,WR,12,91,44,0,10,37,60.2,62.5,-,55.7,56.9,0 (0)
Jordan Morgan,GB,2025,offense,77,G,14,748,0,424,0,324,59.0,-,64.3,-,57.8,5 (0)
Sean Rhyan,GB,2025,offense,75,C,15,808,0,462,0,346,58.5,-,36.8,-,66.7,5 (1)
Luke Musgrave,GB,2025,offense,88,TE,17,426,220,19,0,187,57.1,60.9,76.6,-,48.1,1 (0)
John FitzPatrick,GB,2025,offense,86,TE,15,335,128,26,0,181,56.3,47.5,73.6,-,66.0,6 (2)
Josh Whyle,GB,2025,offense,81,TE,8,175,77,14,0,84,56.1,57.1,60.3,-,53.1,1 (0)
Jakobie Keeney-James,GB,2025,offense,84,WR,1,48,17,0,0,31,55.2,55.2,-,-,56.0,0 (0)
Aaron Banks,GB,2025,offense,65,G,14,746,0,435,0,311,53.5,-,52.2,-,54.6,4 (0)
Drake Dabney,GB,2025,offense,49,TE,2,52,10,8,0,34,52.2,53.6,23.8,-,61.7,0 (0)
Anthony Belton,GB,2025,offense,71,G,11,487,0,258,0,229,49.7,-,43.3,-,51.9,2 (0)
Clayton Tune,GB,2025,offense,06,QB,2,59,23,0,3,33,37.7,29.5,-,65.1,60.0,0 (0)
