player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Will Anderson Jr.,HOU,2025,defense,51,ED,17,694,217,476,1,92.6,79.8,51.8,92.0,76.3,93,13,10,70,1,28,14,9,17.6,33,3,1,1,100.0,-10,-10.0,-2,-10,0,0,0,79.2,6 (0),689,5,0,0,0,0,0,10,679
Alijah Huzzie,HOU,2025,defense,36,CB,1,23,10,1,12,90.6,74.1,79.0,57.2,91.1,0,0,0,0,0,3,0,0,0.0,3,0,2,2,100.0,8,4.0,6,4,0,1,0,43.8,0 (0),0,3,1,18,0,0,0,0,0
Danielle Hunter,HOU,2025,defense,55,ED,17,728,225,500,3,89.1,63.3,49.8,90.1,54.0,83,16,8,59,2,22,14,9,20.0,31,3,1,1,100.0,10,10.0,0,10,0,0,0,108.3,1 (0),728,0,0,0,0,0,2,8,718
Jalen Pitre,HOU,2025,defense,05,S,14,751,264,40,447,85.6,72.8,60.2,66.8,86.9,10,0,0,10,1,58,16,12,14.0,22,0,60,45,75.0,450,10.0,232,33,0,4,6,68.1,2 (0),27,185,47,486,6,0,0,0,27
Jake Hansen,HOU,2025,defense,35,LB,3,9,6,0,3,77.1,69.4,-,-,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,8,0,1,0,0,0,0,0
Kamari Lassiter,HOU,2025,defense,04,CB,16,958,336,8,614,75.9,83.0,71.6,63.4,72.9,3,0,1,2,0,73,19,7,7.1,33,0,86,49,57.0,538,11.0,167,39,5,4,10,75.6,6 (2),3,96,2,53,804,0,0,0,3
Tommy Togiai,HOU,2025,defense,72,DI,15,459,207,251,1,73.3,63.9,60.8,71.5,65.5,25,2,3,20,3,47,10,5,8.1,34,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),458,1,0,0,0,5,340,107,6
Sheldon Rankins,HOU,2025,defense,90,DI,17,623,208,415,0,73.2,70.4,59.7,63.6,67.1,38,3,5,30,0,23,11,5,12.8,22,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),623,0,0,0,0,9,349,245,20
Tim Settle,HOU,2025,defense,98,DI,12,383,166,215,2,71.5,61.3,27.5,78.2,60.9,17,1,0,16,3,10,2,5,29.4,10,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),383,0,0,0,0,21,337,24,1
Xavier Hutchinson,HOU,2025,defense,19,WR,1,1,0,0,1,70.6,-,-,-,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
