player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Brenden Bates,HOU,2025,offense,82,TE,3,20,3,4,0,13,88.0,93.1,37.0,-,59.8,0 (0)
Nico Collins,HOU,2025,offense,12,WR,15,778,518,1,2,257,87.4,87.0,68.1,68.5,58.0,3 (1)
Jawhar Jordan,HOU,2025,offense,26,HB,4,79,27,7,43,2,79.2,74.5,80.5,75.3,60.0,0 (0)
British Brooks,HOU,2025,offense,44,FB,12,71,2,11,17,41,78.3,58.1,80.2,74.5,59.9,0 (0)
Dalton Schultz,HOU,2025,offense,86,TE,17,827,544,45,0,238,73.6,76.7,53.3,-,63.5,5 (0)
C.J. Stroud,HOU,2025,offense,07,QB,14,868,515,0,22,331,72.9,70.0,-,73.0,61.2,4 (0)
Ed Ingram,HOU,2025,offense,69,G,14,929,0,546,0,383,71.5,-,55.2,-,75.7,3 (0)
Nick Chubb,HOU,2025,offense,21,HB,15,326,137,50,130,9,70.5,53.4,40.7,74.6,60.0,0 (0)
Jaylin Noel,HOU,2025,offense,14,WR,17,304,214,0,7,83,68.8,69.6,-,60.3,46.4,0 (0)
Woody Marks,HOU,2025,offense,27,HB,16,571,261,84,204,22,68.8,61.4,49.0,69.6,77.6,0 (0)
Trent Brown,HOU,2025,offense,77,T,7,479,0,288,0,191,68.6,-,64.2,-,71.3,5 (0)
Jayden Higgins,HOU,2025,offense,81,WR,17,671,388,3,0,280,68.4,70.9,34.7,-,54.2,4 (1)
Blake Fisher,HOU,2025,offense,57,T,15,337,0,115,0,222,67.4,-,61.8,-,69.3,5 (0)
Cam Robinson,HOU,2025,offense,74,T,1,59,0,36,0,23,67.4,-,61.0,-,68.8,2 (0)
Xavier Hutchinson,HOU,2025,offense,19,WR,17,672,433,3,2,234,64.0,63.1,60.3,75.0,58.5,3 (1)
Davis Mills,HOU,2025,offense,10,QB,6,292,184,0,7,101,64.0,67.6,-,43.6,60.0,3 (0)
Jared Wayne,HOU,2025,offense,89,WR,1,35,15,0,0,20,63.5,63.2,-,-,59.5,0 (0)
Tytus Howard,HOU,2025,offense,71,T,16,"1,021",0,609,0,412,62.8,-,77.1,-,50.8,8 (3)
Jake Andrews,HOU,2025,offense,60,C,16,"1,093",0,656,0,437,61.6,-,67.2,-,59.5,6 (1)
Braxton Berrios,HOU,2025,offense,17,WR,3,60,47,0,0,13,60.9,63.6,-,-,31.3,1 (0)
Jakob Johnson,HOU,2025,offense,43,FB,7,86,11,13,0,62,60.9,48.5,67.3,-,62.1,0 (0)
Tommy Togiai,HOU,2025,offense,72,DI,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Aireontae Ersery,HOU,2025,offense,79,T,16,"1,082",0,664,0,418,59.3,-,64.9,-,51.8,11 (3)
Cade Stover,HOU,2025,offense,87,TE,9,263,76,13,6,168,57.5,52.8,63.9,70.7,55.1,1 (0)
Jarrett Patterson,HOU,2025,offense,54,G,7,334,0,206,0,128,57.4,-,59.2,-,54.5,1 (0)
Jarrett Kingston,HOU,2025,offense,63,G,2,32,0,8,0,24,56.4,-,64.1,-,55.9,0 (0)
Christian Kirk,HOU,2025,offense,13,WR,13,433,300,0,0,133,56.2,55.8,-,-,63.6,2 (2)
Laken Tomlinson,HOU,2025,offense,75,G,7,284,0,186,0,98,55.9,-,55.4,-,57.1,1 (0)
Justin Watson,HOU,2025,offense,84,WR,3,68,36,0,0,32,55.7,56.3,-,-,52.1,0 (0)
Harrison Bryant,HOU,2025,offense,88,TE,12,173,49,29,0,95,49.0,39.3,41.7,-,61.8,0 (0)
Dare Ogunbowale,HOU,2025,offense,33,HB,16,129,68,50,11,0,48.6,46.3,52.5,49.7,-,0 (0)
Juice Scruggs,HOU,2025,offense,70,G,10,351,0,218,0,133,44.9,-,57.6,-,40.5,3 (0)
Dameon Pierce,HOU,2025,offense,31,HB,2,23,7,2,10,4,43.5,27.5,7.1,60.0,60.0,0 (0)
Sidy Sow,HOU,2025,offense,62,G,1,9,0,7,0,2,38.8,-,18.2,-,52.4,0 (0)
