player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Laiatu Latu,IND,2025,defense,97,ED,16,755,253,437,65,84.1,72.4,61.6,77.0,88.3,61,11,9,41,1,29,8,6,14.0,27,1,5,5,100.0,54,10.8,27,14,0,3,0,72.1,4 (1),741,14,0,0,0,0,19,18,704
Sauce Gardner,IND,2025,defense,01,CB,4,196,76,2,118,77.5,77.5,84.0,53.7,78.7,0,0,0,0,0,14,0,0,0.0,3,0,13,7,53.8,51,7.3,27,17,0,0,3,63.3,1 (0),2,10,0,15,169,0,0,0,2
Charvarius Ward,IND,2025,defense,07,CB,7,458,168,1,289,77.1,73.7,45.7,60.0,77.4,1,0,0,1,0,21,2,5,17.9,4,0,37,21,56.8,286,13.6,116,39,0,0,7,81.6,2 (0),9,17,1,19,412,0,0,0,9
Chris Lammons,IND,2025,defense,38,CB,4,133,42,4,87,74.3,41.5,57.3,69.2,80.6,0,0,0,0,0,8,1,2,18.2,3,0,13,9,69.2,34,3.8,21,11,0,1,1,40.2,0 (0),3,13,2,113,2,0,0,0,3
DeForest Buckner,IND,2025,defense,99,DI,10,469,150,317,2,74.0,56.3,70.7,74.9,69.4,36,4,11,21,0,33,10,2,4.4,22,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),452,17,0,0,0,8,286,122,36
Rodney Thomas II,IND,2025,defense,25,S,17,150,21,3,126,73.5,69.0,88.9,64.7,69.5,1,0,1,0,0,8,2,0,0.0,1,0,5,4,80.0,41,10.3,22,22,0,0,0,100.8,0 (0),0,17,125,8,0,0,0,0,0
Camryn Bynum,IND,2025,defense,00,S,17,"1,104",406,23,675,70.8,77.0,89.2,57.8,67.7,6,1,0,5,0,65,14,5,6.0,11,1,31,22,71.0,252,11.5,124,32,1,4,3,66.3,0 (0),29,175,815,83,2,0,0,0,29
Kenny Moore II,IND,2025,defense,23,CB,14,715,231,46,438,66.7,84.4,67.3,58.6,62.1,3,2,1,0,0,41,11,6,10.3,23,2,66,43,65.2,540,12.6,233,47,1,1,3,89.2,6 (2),22,84,3,578,28,0,0,0,22
Cameron Mitchell,IND,2025,defense,43,CB,8,225,76,1,148,66.0,51.5,40.3,57.7,68.4,0,0,0,0,0,16,0,4,20.0,7,0,18,9,50.0,52,5.8,28,17,1,0,4,74.8,1 (1),3,20,1,14,187,0,0,0,3
Germaine Pratt,IND,2025,defense,53,LB,12,688,302,45,341,65.4,74.5,77.6,58.2,54.8,3,0,0,3,1,81,20,6,5.6,37,1,44,28,63.6,282,10.1,123,30,4,1,3,102.7,0 (0),73,587,0,23,5,0,0,0,73
Segun Olubi,IND,2025,defense,50,LB,2,6,4,0,2,64.4,61.3,-,-,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,6,0,0,0,0,0,0,0
Daniel Scott,IND,2025,defense,32,S,2,13,0,0,13,64.2,-,71.6,-,63.1,0,0,0,0,0,1,0,0,0.0,1,0,1,1,100.0,3,3.0,0,3,0,0,0,79.2,0 (0),0,0,12,1,0,0,0,0,0
Samson Ebukam,IND,2025,defense,52,ED,14,416,151,234,31,64.1,59.0,69.4,60.1,77.6,23,3,7,13,0,26,4,2,6.3,17,0,3,3,100.0,27,9.0,11,13,0,0,0,104.2,1 (0),413,3,0,0,0,0,3,13,397
JT Tuimoloau,IND,2025,defense,91,ED,12,215,78,130,7,60.6,60.2,61.8,63.3,52.5,14,0,6,8,0,5,5,2,16.7,4,0,1,1,100.0,17,17.0,0,17,0,0,0,118.8,1 (0),214,0,0,1,0,2,28,22,162
Chad Muma,IND,2025,defense,55,LB,4,32,15,2,15,60.1,63.4,73.3,59.6,56.9,0,0,0,0,0,1,0,0,0.0,0,0,1,1,100.0,11,11.0,5,11,0,0,0,112.5,0 (0),6,26,0,0,0,0,0,0,6
Alec Pierce,IND,2025,defense,14,WR,1,1,0,0,1,60.0,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,1,39.6,0,0,0,0 (0),0,0,1,0,0,0,0,0,0
Mike Hilton,IND,2025,defense,33,CB,2,70,29,2,39,60.0,60.6,63.9,73.6,56.6,1,0,0,1,0,4,1,1,16.7,1,0,3,2,66.7,7,3.5,1,5,0,0,0,70.1,1 (0),0,17,0,52,1,0,0,0,0
Nick Cross,IND,2025,defense,20,S,17,"1,111",410,60,641,59.8,72.0,60.5,69.0,50.4,16,3,3,10,0,97,16,15,11.7,38,1,69,50,72.5,567,11.3,240,53,4,1,3,110.0,2 (1),102,551,279,150,29,0,0,0,102
Ashton Dulin,IND,2025,defense,16,WR,1,1,0,1,0,59.8,-,-,59.4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
Kwity Paye,IND,2025,defense,51,ED,17,721,267,408,46,59.4,65.8,47.0,56.8,38.8,38,4,5,29,0,20,13,6,15.4,19,0,4,4,100.0,67,16.8,57,20,0,0,0,118.8,0 (0),719,2,0,0,0,0,15,25,679
Jaylon Carlies,IND,2025,defense,57,LB,1,2,0,1,1,58.4,-,-,59.4,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,1,0,0,0,0,0
Grover Stewart,IND,2025,defense,90,DI,17,683,324,354,5,57.3,56.8,49.4,59.5,63.7,18,1,5,12,3,36,19,4,6.8,22,1,0,0,0,0,0,1,0,0.0,0,0,0,3 (0),683,0,0,0,0,280,399,4,0
Neville Gallimore,IND,2025,defense,92,DI,17,467,207,259,1,56.6,45.8,34.9,70.2,58.6,17,4,3,10,3,22,11,5,13.2,17,0,1,1,100.0,3,3.0,4,3,0,0,0,79.2,1 (0),466,1,0,0,0,31,395,37,3
Chris Wormley,IND,2025,defense,96,DI,5,83,47,33,3,56.3,51.9,71.9,69.9,56.6,4,1,0,3,0,3,2,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),83,0,0,0,0,0,64,18,1
Durell Nchami,IND,2025,defense,74,ED,3,33,10,21,2,56.0,48.9,72.4,52.6,76.2,1,0,0,1,0,1,1,0,0.0,1,0,1,1,100.0,4,4.0,1,4,0,0,0,83.3,0 (0),33,0,0,0,0,0,0,1,32
Mekhi Blackmon,IND,2025,defense,29,CB,17,784,265,1,518,51.2,72.4,55.8,61.7,46.1,1,1,0,0,0,59,6,10,13.3,18,0,66,42,63.6,563,13.4,226,88,3,2,2,93.2,8 (2),7,79,0,69,629,0,0,0,7
Adetomiwa Adebawore,IND,2025,defense,95,DI,17,548,186,359,3,49.8,36.4,34.6,66.5,59.8,34,4,1,29,0,17,6,10,30.3,18,0,0,0,0,0,0,0,0,0.0,0,0,0,3 (0),548,0,0,0,0,21,394,122,11
Trey Washington,IND,2025,defense,41,S,2,36,14,0,22,48.1,66.2,41.8,-,46.4,0,0,0,0,0,1,2,1,25.0,0,0,3,3,100.0,28,9.3,22,14,0,0,0,105.6,1 (0),3,8,20,4,1,0,0,0,3
Eric Johnson,IND,2025,defense,98,DI,12,131,58,73,0,47.6,43.3,71.0,49.2,66.0,2,0,0,2,0,5,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),131,0,0,0,0,34,91,6,0
Tyquan Lewis,IND,2025,defense,94,ED,13,323,96,212,15,46.1,49.4,39.4,51.4,55.8,17,3,1,13,1,4,3,2,22.2,7,0,2,2,100.0,14,7.0,21,10,0,0,0,95.8,3 (1),323,0,0,0,0,6,29,85,203
Joe Bachie,IND,2025,defense,48,LB,5,157,68,10,79,45.4,52.5,72.8,72.4,46.6,0,0,0,0,1,15,6,2,8.7,8,0,17,17,100.0,166,9.8,75,29,0,0,0,107.4,2 (1),17,135,0,5,0,0,0,0,17
Jaylon Jones,IND,2025,defense,40,CB,9,205,79,2,124,42.2,74.3,56.9,53.8,37.6,0,0,0,0,0,12,2,2,12.5,2,0,26,15,57.7,176,11.7,59,37,2,0,2,104.0,3 (1),3,26,0,13,163,0,0,0,3
Austin Ajiake,IND,2025,defense,58,LB,14,157,35,9,113,40.7,59.9,40.9,69.5,34.0,3,1,1,1,0,9,5,3,17.6,4,0,13,9,69.2,69,7.7,39,14,1,0,0,107.5,0 (0),29,105,5,14,4,0,0,0,29
Johnathan Edwards,IND,2025,defense,35,CB,10,313,108,0,205,39.7,46.9,46.6,-,38.9,0,0,0,0,0,19,3,6,21.4,2,0,27,17,63.0,251,14.8,42,30,1,0,2,105.6,2 (2),0,25,2,13,273,0,0,0,0
Zaire Franklin,IND,2025,defense,44,LB,17,"1,112",410,113,589,38.0,54.9,47.3,57.5,29.8,19,3,4,12,1,80,50,21,13.9,39,1,75,58,77.3,610,10.5,337,42,2,0,3,109.3,3 (0),70,981,13,44,4,0,0,0,70
Xavien Howard,IND,2025,defense,04,CB,4,211,70,0,141,36.1,51.4,54.2,-,34.2,0,0,0,0,0,9,2,2,15.4,2,0,22,16,72.7,195,12.2,62,31,3,0,0,139.2,4 (0),1,22,0,12,176,0,0,0,1
Buddy Johnson,IND,2025,defense,59,LB,2,26,9,2,15,32.8,56.3,76.6,57.7,33.5,0,0,0,0,0,2,1,0,0.0,1,0,3,3,100.0,62,20.7,25,23,0,0,0,118.8,0 (0),3,22,0,1,0,0,0,0,3
Cameron McGrone,IND,2025,defense,59,LB,3,42,10,5,27,28.2,66.8,27.1,52.2,27.5,0,0,0,0,0,1,0,2,66.7,1,0,4,3,75.0,30,10.0,37,19,1,0,0,135.4,0 (0),11,28,0,2,1,0,0,0,11
