player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Quenton Nelson,IND,2025,offense,56,G,17,"1,039",0,637,0,402,84.7,-,73.2,-,84.5,2 (0)
Tanor Bortolini,IND,2025,offense,60,C,16,937,0,566,0,371,82.6,-,66.1,-,88.1,4 (0)
Josh Sills,IND,2025,offense,66,G,1,4,0,1,0,3,82.6,-,72.5,-,77.9,0 (0)
Bernhard Raimann,IND,2025,offense,79,T,16,986,1,590,0,395,82.0,60.0,78.9,-,78.8,8 (2)
Will Mallory,IND,2025,offense,86,TE,2,16,7,1,0,8,82.0,83.9,69.3,-,59.8,0 (0)
Alec Pierce,IND,2025,offense,14,WR,15,814,506,0,0,308,79.3,81.0,-,-,54.6,4 (0)
Jonathan Taylor,IND,2025,offense,28,HB,17,883,440,80,334,29,78.1,52.9,58.6,83.5,53.4,1 (0)
Josh Downs,IND,2025,offense,02,WR,16,595,405,0,1,189,77.1,77.4,-,56.6,61.8,1 (0)
Rigoberto Sanchez,IND,2025,offense,08,P,2,2,1,0,0,1,72.9,68.8,-,-,60.0,0 (0)
Anthony Richardson,IND,2025,offense,05,QB,2,14,2,0,4,8,72.4,65.9,-,66.7,60.0,0 (0)
Jalen Travis,IND,2025,offense,75,T,12,316,0,175,0,141,72.2,-,71.2,-,72.6,2 (0)
Daniel Jones,IND,2025,offense,17,QB,13,756,461,0,24,271,71.7,68.7,-,73.7,60.3,5 (0)
Ameer Abdullah,IND,2025,offense,26,HB,13,87,60,8,14,5,70.5,81.7,44.2,66.1,56.3,0 (0)
Michael Pittman Jr.,IND,2025,offense,11,WR,17,919,574,1,0,344,70.4,70.8,69.3,-,60.5,5 (2)
Tyler Warren,IND,2025,offense,84,TE,17,899,536,40,6,317,67.6,72.0,64.2,45.1,50.7,4 (1)
Mo Alie-Cox,IND,2025,offense,81,TE,17,421,124,77,0,220,67.4,58.0,81.3,-,64.6,1 (0)
Matt Goncalves,IND,2025,offense,71,G,16,"1,008",0,603,0,405,65.8,-,62.7,-,65.8,5 (0)
Riley Leonard,IND,2025,offense,15,QB,5,130,79,0,4,47,65.5,61.8,-,74.0,60.0,0 (0)
Braden Smith,IND,2025,offense,72,T,13,766,0,471,0,295,65.3,-,71.9,-,57.9,6 (2)
Rodney Thomas II,IND,2025,offense,25,S,2,2,1,0,1,0,63.4,56.8,-,63.1,-,0 (0)
Ashton Dulin,IND,2025,offense,16,WR,12,166,82,1,3,80,62.8,61.5,65.7,80.8,41.6,0 (0)
Adonai Mitchell,IND,2025,offense,10,WR,8,124,71,0,0,53,62.6,63.5,-,-,46.3,1 (0)
JT Tuimoloau,IND,2025,offense,91,ED,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Segun Olubi,IND,2025,offense,50,LB,2,2,0,1,0,1,60.0,-,62.7,-,60.0,0 (0)
Adetomiwa Adebawore,IND,2025,offense,95,DI,2,2,0,1,0,1,60.0,-,62.7,-,60.0,0 (0)
Buddy Johnson,IND,2025,offense,59,LB,2,2,0,1,0,1,60.0,-,62.7,-,60.0,0 (0)
Luke Rhodes,IND,2025,offense,46,LS,2,2,0,1,0,1,60.0,-,61.5,-,60.0,0 (0)
Drew Ogletree,IND,2025,offense,85,TE,15,227,59,40,0,128,58.1,55.5,85.2,-,52.0,0 (0)
Luke Tenuta,IND,2025,offense,67,T,2,28,0,14,0,14,57.7,-,81.3,-,43.1,0 (0)
Coleman Owen,IND,2025,offense,09,WR,1,1,1,0,0,0,57.6,59.4,-,-,-,0 (0)
Austin Ajiake,IND,2025,offense,58,LB,2,2,1,0,0,1,57.5,56.8,-,-,60.0,0 (0)
Danny Pinter,IND,2025,offense,63,C,6,139,0,78,0,61,56.5,-,60.9,-,53.9,0 (0)
Ulysses Bentley IV,IND,2025,offense,37,HB,1,2,1,0,1,0,55.5,59.9,-,58.5,-,0 (0)
Sean McKeon,IND,2025,offense,49,TE,1,8,3,2,0,3,55.0,54.0,45.1,-,60.6,0 (0)
Laquon Treadwell,IND,2025,offense,13,WR,7,36,18,0,0,18,52.5,53.0,-,-,54.5,0 (0)
Tyler Goodson,IND,2025,offense,31,HB,9,37,23,1,9,4,52.0,53.3,75.0,51.2,60.2,0 (0)
Anthony Gould,IND,2025,offense,06,WR,6,58,31,0,0,27,52.0,51.4,-,-,60.3,0 (0)
Philip Rivers,IND,2025,offense,17,QB,3,173,102,0,2,69,51.0,50.5,-,59.6,60.0,2 (0)
DJ Giddens,IND,2025,offense,21,HB,9,70,24,5,27,14,50.1,30.4,5.6,61.3,60.0,0 (0)
Dalton Tucker,IND,2025,offense,68,G,8,151,0,86,0,65,39.2,-,14.9,-,51.4,2 (0)
