player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Devin Lloyd,JAX,2025,defense,00,LB,15,706,249,98,359,88.6,83.2,57.4,82.2,80.2,25,1,9,15,0,43,24,12,15.2,24,0,51,43,84.3,429,10.0,263,32,1,5,2,68.7,1 (0),71,565,2,66,2,0,0,0,71
Antonio Johnson,JAX,2025,defense,26,S,16,660,187,20,453,87.3,72.0,84.8,75.5,88.3,7,2,0,5,0,41,13,3,5.3,14,0,31,21,67.7,192,9.1,69,48,1,5,3,55.5,1 (0),27,196,345,91,1,0,0,0,27
Josh Hines-Allen,JAX,2025,defense,41,ED,17,846,249,558,39,86.8,70.6,60.2,84.0,68.9,95,9,21,65,3,34,5,8,17.0,25,0,2,2,100.0,18,9.0,8,10,0,0,0,104.2,4 (0),844,0,1,1,0,0,9,30,805
Jarrian Jones,JAX,2025,defense,22,CB,15,517,125,9,383,78.4,68.8,84.2,58.4,78.7,1,0,1,0,0,37,7,2,4.3,14,0,53,31,58.5,285,9.2,154,54,2,3,7,62.2,7 (1),1,43,1,261,211,0,0,0,1
Foyesade Oluokun,JAX,2025,defense,23,LB,17,"1,037",330,113,594,73.9,75.8,66.6,47.2,75.7,10,1,1,8,0,104,42,15,9.3,61,2,74,62,83.8,518,8.4,280,33,0,1,6,90.2,2 (0),46,893,5,89,4,0,0,0,46
Travis Hunter,JAX,2025,defense,12,WR,7,162,42,0,120,73.2,69.0,69.6,-,72.7,0,0,0,0,0,14,0,1,6.7,1,0,15,9,60.0,96,10.7,37,17,0,0,2,78.8,2 (0),0,5,0,6,151,0,0,0,0
Montaric Brown,JAX,2025,defense,30,CB,14,736,231,3,502,72.7,55.7,68.5,58.5,75.5,2,0,0,2,0,40,5,7,13.5,15,0,63,34,54.0,360,10.6,88,30,3,2,9,73.5,3 (1),3,71,0,7,655,0,0,0,3
Ventrell Miller,JAX,2025,defense,51,LB,12,220,82,28,110,72.6,82.8,67.1,73.7,58.4,4,1,0,3,0,14,12,2,7.1,10,1,14,5,35.7,22,4.4,25,9,0,1,1,14.6,2 (0),32,173,0,14,1,0,0,0,32
Danny Striggow,JAX,2025,defense,92,ED,9,143,55,84,4,69.3,69.0,78.3,58.8,70.6,7,1,1,5,0,7,4,0,0.0,6,0,1,1,100.0,6,6.0,1,6,0,0,0,91.7,0 (0),143,0,0,0,0,0,3,17,123
Travon Walker,JAX,2025,defense,44,ED,14,526,154,345,27,67.7,64.2,68.7,68.2,51.1,42,4,9,29,1,23,12,3,7.9,18,0,3,3,100.0,39,13.0,31,14,0,0,0,118.8,1 (0),521,3,1,1,0,0,17,70,434
Christian Braswell,JAX,2025,defense,21,CB,10,160,29,0,131,67.2,65.8,70.7,-,66.5,0,0,0,0,0,12,1,1,7.1,3,0,23,12,52.2,92,7.7,22,31,0,0,1,62.2,0 (0),0,3,0,24,133,0,0,0,0
Jourdan Lewis,JAX,2025,defense,02,CB,12,612,189,17,406,67.2,61.5,44.3,63.7,69.0,4,0,1,3,0,30,8,9,19.1,20,0,61,41,67.2,310,7.6,183,25,5,2,4,92.9,9 (2),21,77,5,392,117,0,0,0,21
Eric Murray,JAX,2025,defense,29,S,12,603,203,21,379,61.3,65.9,65.8,65.2,60.4,5,1,1,3,1,44,9,7,11.7,13,1,24,18,75.0,197,10.9,75,27,2,1,4,109.2,3 (1),44,124,376,54,5,0,0,0,44
Rayuan Lane III,JAX,2025,defense,25,S,11,117,16,4,97,61.2,76.9,32.9,51.0,57.6,0,0,0,0,0,5,1,2,25.0,2,0,6,4,66.7,25,6.3,21,14,0,0,1,75.0,0 (0),3,19,87,8,0,0,0,0,3
Arik Armstead,JAX,2025,defense,91,DI,16,620,150,459,11,60.3,54.2,44.2,61.6,57.7,48,6,3,39,0,16,6,4,15.4,12,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),607,13,0,0,0,9,340,251,7
Yasir Abdullah,JAX,2025,defense,56,LB,1,2,2,0,0,60.1,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),2,0,0,0,0,0,0,0,2
B.J. Green II,JAX,2025,defense,95,ED,11,105,18,80,7,59.0,74.0,63.6,54.0,53.7,6,2,0,4,0,5,2,1,12.5,4,0,1,1,100.0,1,1.0,0,1,0,0,0,79.2,2 (2),105,0,0,0,0,0,0,2,103
Tyson Campbell,JAX,2025,defense,03,CB,5,324,96,1,227,58.8,87.7,75.4,60.0,53.5,1,0,0,1,0,24,8,2,5.9,7,1,36,18,50.0,302,16.8,81,50,3,0,2,106.5,2 (0),0,15,0,9,300,0,0,0,0
Andrew Wingard,JAX,2025,defense,42,S,16,962,300,54,608,58.1,81.2,58.9,57.0,48.1,11,0,1,10,1,64,21,16,15.8,17,0,43,28,65.1,293,10.5,111,61,2,1,4,90.6,2 (0),49,265,544,95,9,0,0,0,49
DaVon Hamilton,JAX,2025,defense,52,DI,17,486,210,269,7,58.1,61.1,50.7,54.3,52.2,11,1,2,8,0,24,11,4,10.3,19,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),486,0,0,0,0,90,390,6,0
Matt Dickerson,JAX,2025,defense,93,DI,8,196,88,108,0,57.3,60.8,72.8,55.7,60.0,4,0,2,2,1,5,3,0,0.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),196,0,0,0,0,1,172,22,1
