player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Trevor Lawrence,JAX,2025,offense,16,QB,17,"1,112",690,0,42,380,84.7,81.5,-,77.7,60.8,9 (0)
Parker Washington,JAX,2025,offense,11,WR,16,672,443,0,7,222,79.3,82.4,-,48.6,37.8,1 (1)
Cole Van Lanen,JAX,2025,offense,70,T,12,632,0,352,0,280,78.7,-,76.9,-,75.8,4 (0)
Brenton Strange,JAX,2025,offense,85,TE,12,591,332,30,0,229,77.6,77.6,58.4,-,73.4,5 (0)
Wyatt Milum,JAX,2025,offense,64,G,8,96,0,31,0,65,77.5,-,75.8,-,72.1,0 (0)
Jakobi Meyers,JAX,2025,offense,03,WR,9,463,302,0,5,156,73.3,74.8,-,48.8,55.1,3 (1)
Travis Etienne Jr.,JAX,2025,offense,01,HB,17,689,294,80,263,52,72.6,60.2,69.3,73.1,64.1,0 (0)
Anton Harrison,JAX,2025,offense,77,T,15,971,0,608,0,363,71.9,-,75.6,-,64.4,6 (0)
Nick Mullens,JAX,2025,offense,14,QB,5,36,3,0,12,21,70.6,71.2,-,62.8,60.0,0 (0)
Tim Jones,JAX,2025,offense,13,WR,2,20,6,1,0,13,69.9,69.9,62.4,-,54.3,0 (0)
Tank Bigsby,JAX,2025,offense,04,HB,1,14,8,0,6,0,68.5,54.5,-,69.9,-,0 (0)
Ezra Cleveland,JAX,2025,offense,76,G,16,"1,057",0,650,0,407,68.5,-,71.4,-,64.5,3 (2)
Brian Thomas Jr.,JAX,2025,offense,07,WR,14,740,500,0,3,237,65.5,66.7,-,54.2,50.6,2 (0)
Bhayshul Tuten,JAX,2025,offense,33,HB,15,215,95,15,85,20,65.0,59.5,52.1,66.4,52.7,0 (0)
Walker Little,JAX,2025,offense,72,T,15,967,0,585,0,382,62.7,-,63.5,-,63.6,10 (2)
Robert Hainsey,JAX,2025,offense,73,C,15,950,0,578,0,372,62.4,-,57.1,-,67.8,6 (0)
Travis Hunter,JAX,2025,offense,12,WR,7,323,238,0,1,84,62.2,62.7,-,58.5,57.9,1 (0)
Tim Patrick,JAX,2025,offense,17,WR,16,336,175,3,0,158,61.8,62.7,60.2,-,61.0,3 (1)
Johnny Mundt,JAX,2025,offense,86,TE,16,388,144,33,0,211,60.5,47.1,78.9,-,73.3,3 (0)
Jonah Monheim,JAX,2025,offense,60,C,11,205,0,119,0,86,59.2,-,61.7,-,56.6,0 (0)
LeQuint Allen,JAX,2025,offense,36,HB,17,259,155,61,23,20,58.8,50.3,80.8,60.6,44.7,0 (0)
Austin Trammell,JAX,2025,offense,81,WR,6,91,51,0,0,40,58.5,56.5,-,-,71.4,0 (0)
Hunter Long,JAX,2025,offense,84,TE,9,256,136,20,0,100,56.1,52.2,64.2,-,64.9,2 (0)
Dyami Brown,JAX,2025,offense,05,WR,14,355,219,0,6,130,55.5,58.0,-,44.2,45.0,2 (0)
DeeJay Dallas,JAX,2025,offense,20,HB,1,10,5,1,2,2,54.4,27.8,72.4,68.6,60.0,0 (0)
Quintin Morris,JAX,2025,offense,80,TE,12,213,79,16,0,118,54.2,54.9,46.0,-,54.9,1 (0)
Patrick Mekari,JAX,2025,offense,65,G,14,869,0,533,0,336,52.1,-,51.8,-,55.1,9 (1)
Chuma Edoga,JAX,2025,offense,55,T,10,98,1,31,0,66,33.6,59.7,68.0,-,46.5,5 (1)
