player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jeffrey Bassa,KC,2025,defense,31,LB,4,40,20,0,20,85.7,68.5,29.9,-,84.6,0,0,0,0,0,5,1,1,14.3,2,1,4,3,75.0,29,9.7,21,14,0,0,0,94.8,0 (0),1,36,0,2,0,0,0,0,1
Bryan Cook,KC,2025,defense,06,S,17,857,355,1,501,83.3,79.7,87.8,58.3,83.0,1,0,0,1,0,64,19,5,5.7,17,0,32,21,65.6,182,8.7,60,26,3,0,6,111.7,1 (0),15,258,478,102,4,0,0,0,15
Nick Bolton,KC,2025,defense,32,LB,17,"1,011",409,111,491,78.9,85.2,60.4,61.9,67.6,25,1,6,18,1,110,41,21,12.2,61,1,73,60,82.2,543,9.1,396,33,2,1,3,101.1,2 (1),36,936,3,35,1,0,0,0,36
Christian Roland-Wallace,KC,2025,defense,30,S,10,190,60,5,125,78.8,72.4,90.1,68.2,75.0,0,0,0,0,1,18,5,0,0.0,7,0,12,9,75.0,73,8.1,35,15,1,1,1,83.0,0 (0),9,65,60,56,0,0,0,0,9
Jack Cochrane,KC,2025,defense,43,LB,8,62,35,2,25,78.5,65.1,77.4,56.2,83.2,0,0,0,0,0,2,3,0,0.0,0,0,3,2,66.7,12,6.0,8,8,0,1,0,34.7,0 (0),19,40,0,2,0,0,0,0,19
Drue Tranquill,KC,2025,defense,23,LB,17,884,386,111,387,76.6,89.5,89.0,56.5,61.7,13,2,1,10,0,80,24,3,2.8,39,1,39,37,94.9,353,9.5,279,27,2,0,1,121.5,1 (1),99,697,10,77,1,0,0,0,99
George Karlaftis,KC,2025,defense,56,ED,16,762,286,462,14,76.2,70.4,53.8,75.9,49.6,66,7,16,43,1,33,9,6,12.5,28,0,3,2,66.7,14,7.0,9,8,0,0,0,77.1,3 (0),761,1,0,0,0,0,19,62,680
Joshua Williams,KC,2025,defense,02,CB,4,17,7,0,10,75.6,60.7,-,-,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,15,0,0,0,0
Trent McDuffie,KC,2025,defense,22,CB,13,688,257,27,404,75.6,78.5,83.1,50.3,74.7,4,1,0,3,0,53,11,4,5.9,20,1,55,37,67.3,342,9.2,130,46,3,1,4,94.7,5 (0),38,37,0,134,479,0,0,0,38
Leo Chenal,KC,2025,defense,54,LB,14,440,202,108,130,75.3,76.4,71.9,57.2,72.6,11,3,2,6,1,31,15,4,8.0,24,0,14,12,85.7,128,10.7,104,47,1,1,0,98.8,0 (0),161,267,0,12,0,6,0,1,154
Nohl Williams,KC,2025,defense,20,CB,14,458,178,8,272,74.5,74.8,69.5,73.9,75.6,3,1,0,2,0,29,7,4,10.0,14,0,35,19,54.3,223,11.7,90,53,1,0,4,83.4,6 (2),9,38,0,3,407,0,0,0,9
Jaylen Watson,KC,2025,defense,35,CB,15,867,341,15,511,74.1,83.5,77.1,79.9,68.4,5,2,0,3,0,53,12,4,5.8,19,0,59,35,59.3,447,12.8,173,39,0,2,3,69.0,5 (1),41,73,1,8,744,0,0,0,41
Chris Jones,KC,2025,defense,95,DI,17,761,266,494,1,70.5,43.4,34.0,90.7,56.3,63,7,19,37,2,19,4,6,20.7,23,0,0,0,0,0,0,0,0,0.0,0,0,0,9 (2),761,0,0,0,0,6,385,269,101
Jaden Hicks,KC,2025,defense,21,S,17,445,115,17,313,62.2,68.6,48.2,70.9,59.0,3,1,1,1,1,25,6,7,18.4,12,0,29,22,75.9,196,8.9,110,24,2,0,1,116.5,2 (0),18,228,98,98,2,0,0,0,18
Charles Omenihu,KC,2025,defense,90,ED,17,567,174,383,10,62.0,75.0,50.3,58.8,52.1,34,5,8,21,1,21,4,5,16.7,16,0,4,3,75.0,28,9.3,19,17,0,0,0,93.8,5 (0),567,0,0,0,0,46,95,113,313
Cooper McDonald,KC,2025,defense,59,ED,5,58,36,4,18,60.7,70.0,30.5,52.8,47.5,0,0,0,0,0,4,2,2,25.0,3,0,2,1,50.0,23,23.0,5,23,0,0,0,91.7,0 (0),32,22,0,3,0,0,0,0,32
Kristian Fulton,KC,2025,defense,08,CB,8,208,82,1,125,60.4,34.9,32.6,60.0,67.6,0,0,0,0,0,13,1,5,26.3,7,0,16,8,50.0,135,16.9,33,35,0,0,4,78.9,0 (0),5,26,0,0,177,0,0,0,5
Brashard Smith,KC,2025,defense,24,HB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Jared Wiley,KC,2025,defense,12,TE,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Cole Christiansen,KC,2025,defense,48,LB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Nazeeh Johnson,KC,2025,defense,13,CB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Ethan Downs,KC,2025,defense,40,ED,1,11,5,6,0,59.8,64.4,-,52.5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),11,0,0,0,0,0,0,0,11
Ashton Gillotte,KC,2025,defense,97,ED,17,485,196,267,22,58.5,66.7,59.9,48.7,59.0,24,3,5,16,0,24,8,3,8.6,16,0,2,2,100.0,41,20.5,40,34,0,1,0,79.2,1 (1),481,3,0,1,0,13,42,54,372
Mike Danna,KC,2025,defense,51,ED,15,389,184,192,13,57.4,55.0,64.4,56.7,59.7,9,1,3,5,0,11,13,2,7.7,9,0,3,3,100.0,26,8.7,24,15,0,1,0,63.2,0 (0),387,1,0,1,0,5,47,40,295
Mike Edwards,KC,2025,defense,34,S,6,119,41,1,77,54.9,62.7,38.6,58.3,53.7,1,0,0,1,0,10,3,5,27.8,4,0,5,4,80.0,24,6.0,4,14,0,0,1,86.7,0 (0),3,45,49,22,0,0,0,0,3
Kevin Knowles II,KC,2025,defense,38,CB,6,83,18,8,57,54.3,69.1,48.5,63.5,50.1,1,0,0,1,1,5,0,1,16.7,2,0,12,4,33.3,22,5.5,16,13,0,0,1,42.4,0 (0),3,3,1,74,1,0,0,0,3
Omarr Norman-Lott,KC,2025,defense,55,DI,5,72,23,48,1,54.3,50.9,41.3,59.5,59.6,6,1,0,5,0,3,1,1,20.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),72,0,0,0,0,10,61,1,0
Chamarri Conner,KC,2025,defense,27,S,17,"1,021",412,46,563,53.4,64.2,39.9,66.0,46.6,12,2,3,7,0,77,28,21,16.7,26,2,68,56,82.4,643,11.5,343,51,3,1,2,114.6,3 (1),47,405,175,391,3,0,0,0,47
Mike Pennel,KC,2025,defense,69,DI,8,175,97,77,1,51.7,53.5,73.5,51.4,59.5,2,0,0,2,0,6,4,0,0.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),175,0,0,0,0,37,137,1,0
Jerry Tillery,KC,2025,defense,99,DI,17,374,182,192,0,49.1,48.2,27.3,55.3,-,12,2,0,10,0,12,6,7,28.0,9,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),374,0,0,0,0,61,295,14,4
Malik Herring,KC,2025,defense,94,ED,2,6,4,2,0,44.1,50.7,-,57.1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),6,0,0,0,0,0,1,0,5
