player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Creed Humphrey,KC,2025,offense,52,C,17,"1,093",0,742,0,351,88.8,-,84.0,-,88.4,2 (1)
Rashee Rice,KC,2025,offense,04,WR,8,415,287,1,4,123,76.4,77.2,65.2,41.8,65.5,2 (0)
Patrick Mahomes,KC,2025,offense,15,QB,14,934,636,0,11,287,76.0,70.7,-,86.7,60.4,5 (0)
Kareem Hunt,KC,2025,offense,29,HB,17,529,296,50,164,19,72.2,53.2,63.6,78.3,57.2,2 (0)
Nikko Remigio,KC,2025,offense,81,WR,9,31,9,0,1,21,72.0,66.7,-,63.4,59.5,0 (0)
Travis Kelce,KC,2025,offense,87,TE,17,902,613,29,1,259,72.0,74.0,57.9,60.4,53.8,3 (0)
Marquise Brown,KC,2025,offense,05,WR,16,551,421,0,0,130,69.8,70.4,-,-,46.2,1 (0)
Trey Smith,KC,2025,offense,65,G,12,665,0,459,0,206,68.5,-,75.0,-,63.0,3 (0)
Brashard Smith,KC,2025,offense,24,HB,17,191,112,2,45,32,67.3,76.4,73.2,57.5,54.0,0 (0)
Xavier Worthy,KC,2025,offense,01,WR,14,645,455,0,9,181,67.0,66.3,-,61.1,60.7,1 (0)
Tyquan Thornton,KC,2025,offense,80,WR,14,368,275,0,0,93,66.2,68.4,-,-,35.9,1 (0)
Kingsley Suamataia,KC,2025,offense,76,G,17,"1,090",0,724,0,366,64.9,-,65.2,-,63.7,6 (1)
Jaylon Moore,KC,2025,offense,77,T,13,427,0,257,0,170,63.0,-,57.0,-,62.9,0 (0)
Josh Simmons,KC,2025,offense,71,T,8,526,0,367,0,159,62.6,-,75.4,-,48.1,8 (2)
Jared Wiley,KC,2025,offense,12,TE,4,28,12,3,0,13,61.7,55.9,73.6,-,63.0,0 (0)
Hunter Nourzad,KC,2025,offense,60,G,9,92,0,44,0,48,60.1,-,61.6,-,58.1,0 (0)
C.J. Hanson,KC,2025,offense,61,G,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Robert Tonyan,KC,2025,offense,85,TE,16,133,37,10,0,86,59.1,46.9,55.3,-,69.5,0 (0)
Clyde Edwards-Helaire,KC,2025,offense,26,HB,2,19,10,0,7,2,58.7,62.0,-,57.9,60.0,0 (0)
Isiah Pacheco,KC,2025,offense,10,HB,13,424,256,29,119,20,58.6,35.6,67.2,67.5,60.7,1 (0)
Elijah Mitchell,KC,2025,offense,25,HB,1,7,6,1,0,0,58.6,55.2,70.4,-,-,0 (0)
Jimmy Holiday,KC,2025,offense,82,WR,1,1,1,0,0,0,58.2,59.8,-,-,-,0 (0)
Chukwuebuka Godrick,KC,2025,offense,72,T,4,186,0,129,0,57,58.0,-,70.3,-,54.0,4 (0)
Noah Gray,KC,2025,offense,83,TE,16,545,275,47,0,223,57.7,52.4,72.6,-,65.3,1 (0)
Wanya Morris,KC,2025,offense,64,T,6,66,0,30,0,36,57.1,-,23.7,-,83.2,2 (0)
JuJu Smith-Schuster,KC,2025,offense,09,WR,17,620,410,3,0,207,56.7,60.5,72.8,-,31.1,4 (1)
Esa Pole,KC,2025,offense,79,T,5,275,0,186,0,89,56.4,-,60.7,-,56.9,3 (0)
Mike Caliendo,KC,2025,offense,66,G,13,423,0,259,0,164,54.5,-,42.4,-,63.7,4 (1)
Jawaan Taylor,KC,2025,offense,74,T,12,760,0,517,0,243,53.2,-,67.2,-,43.7,13 (3)
Jason Brownlee,KC,2025,offense,89,WR,4,26,18,0,0,8,52.5,52.6,-,-,60.3,0 (0)
Shane Buechele,KC,2025,offense,17,QB,1,29,20,0,0,9,51.2,54.2,-,55.3,60.0,0 (0)
Jalen Royals,KC,2025,offense,11,WR,7,86,38,0,0,48,49.9,52.5,-,-,41.5,0 (0)
Chris Oladokun,KC,2025,offense,19,QB,3,109,71,0,1,37,41.4,45.4,-,39.5,60.0,1 (0)
Dameon Pierce,KC,2025,offense,25,HB,1,5,0,0,4,1,40.6,-,-,46.0,60.0,0 (0)
Gardner Minshew,KC,2025,offense,17,QB,4,41,15,0,5,21,33.4,33.6,-,58.3,60.0,1 (0)
