player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Justin Herbert,LAC,2025,offense,10,QB,16,"1,042",646,0,35,361,83.2,78.5,-,83.2,60.0,4 (0)
Najee Harris,LAC,2025,offense,22,HB,3,43,19,5,16,3,81.4,70.3,26.2,83.9,60.0,0 (0)
Joe Alt,LAC,2025,offense,76,T,6,312,0,194,0,118,79.0,-,82.3,-,70.8,1 (0)
Keenan Allen,LAC,2025,offense,13,WR,17,630,493,1,0,136,77.6,77.6,64.9,-,45.1,0 (0)
Omarion Hampton,LAC,2025,offense,08,HB,9,384,195,40,131,18,77.4,67.7,15.7,84.8,66.6,0 (0)
Kimani Vidal,LAC,2025,offense,30,HB,13,480,223,85,159,13,74.0,61.3,51.2,77.3,71.4,1 (0)
Ladd McConkey,LAC,2025,offense,15,WR,16,838,591,1,0,246,67.6,69.1,38.3,-,42.3,3 (0)
Quentin Johnston,LAC,2025,offense,01,WR,14,723,512,0,2,209,67.6,67.8,-,63.0,51.6,1 (0)
Jaret Patterson,LAC,2025,offense,32,HB,6,116,50,15,42,9,65.9,56.8,45.2,70.5,40.9,0 (0)
Oronde Gadsden II,LAC,2025,offense,86,TE,15,627,419,21,0,187,64.1,71.5,70.2,-,32.5,2 (0)
Tre Harris,LAC,2025,offense,09,WR,17,554,301,2,2,249,63.7,67.0,67.7,50.5,41.8,2 (0)
Amar Johnson,LAC,2025,offense,34,HB,1,4,2,0,2,0,62.6,58.5,-,62.3,-,0 (0)
Jamaree Salyer,LAC,2025,offense,68,T,10,449,0,273,0,176,62.6,-,69.0,-,61.5,6 (0)
Trevor Penning,LAC,2025,offense,64,G,7,193,1,111,0,81,60.4,59.4,52.5,-,68.8,4 (1)
Will Dissly,LAC,2025,offense,89,TE,9,189,95,12,0,82,59.7,55.9,74.3,-,61.7,1 (0)
Hassan Haskins,LAC,2025,offense,28,HB,10,83,43,17,17,6,58.5,57.2,44.2,58.4,71.6,0 (0)
Zion Johnson,LAC,2025,offense,77,G,16,"1,071",0,663,0,408,57.2,-,61.1,-,53.5,4 (1)
KeAndre Lambert-Smith,LAC,2025,offense,84,WR,10,123,79,0,0,44,56.0,58.6,-,-,62.0,2 (0)
Trayveon Williams,LAC,2025,offense,38,HB,1,18,10,2,3,3,56.0,59.0,46.5,56.5,60.0,0 (0)
Derius Davis,LAC,2025,offense,12,WR,10,84,56,0,2,26,52.7,54.5,-,53.0,53.6,0 (0)
Scott Matlock,LAC,2025,offense,44,FB,16,333,39,68,0,226,52.5,49.8,59.1,-,52.1,1 (1)
Bradley Bozeman,LAC,2025,offense,75,C,16,"1,058",0,654,0,404,51.5,-,48.6,-,51.1,2 (1)
Nyheim Miller-Hines,LAC,2025,offense,31,HB,3,6,3,1,2,0,51.3,57.3,72.4,53.9,-,0 (0)
Bobby Hart,LAC,2025,offense,66,T,9,514,0,322,0,192,50.2,-,57.4,-,45.3,5 (0)
Trey Pipkins III,LAC,2025,offense,79,T,12,606,0,376,0,230,47.1,-,58.0,-,42.6,7 (0)
Tucker Fisk,LAC,2025,offense,42,TE,10,232,56,26,0,150,47.1,40.5,55.5,-,55.7,1 (0)
Andre James,LAC,2025,offense,78,C,2,84,0,64,0,20,46.6,-,68.6,-,33.8,0 (0)
Tyler Conklin,LAC,2025,offense,83,TE,10,169,91,6,1,71,43.3,44.7,73.6,62.6,46.8,1 (1)
Foster Sarell,LAC,2025,offense,67,G,4,176,0,102,0,74,42.9,-,32.6,-,46.7,0 (0)
Austin Deculus,LAC,2025,offense,74,T,13,516,0,342,0,174,36.5,-,33.1,-,46.9,5 (1)
Trey Lance,LAC,2025,offense,05,QB,4,100,72,0,10,18,36.0,31.3,-,66.5,60.0,1 (0)
Mekhi Becton,LAC,2025,offense,73,G,14,734,0,444,0,290,35.7,-,45.1,-,34.3,5 (1)
Branson Taylor,LAC,2025,offense,71,G,1,71,0,55,0,16,34.3,-,45.8,-,37.1,3 (1)
