player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Puka Nacua,LAR,2025,offense,12,WR,16,726,482,8,10,226,96.4,96.3,77.5,68.5,72.2,1 (0)
Matthew Stafford,LAR,2025,offense,09,QB,17,"1,116",663,0,23,430,93.5,93.3,-,30.8,60.0,5 (0)
Kevin Dotson,LAR,2025,offense,69,G,15,885,0,521,0,364,86.4,-,67.7,-,89.3,2 (0)
Davante Adams,LAR,2025,offense,17,WR,14,635,431,0,0,204,85.2,84.1,-,-,66.3,0 (0)
Warren McClendon Jr.,LAR,2025,offense,71,T,10,667,0,408,0,259,83.5,-,73.9,-,86.7,1 (0)
Kyren Williams,LAR,2025,offense,23,HB,17,772,364,118,268,22,83.5,57.9,65.8,87.0,57.7,1 (1)
Alaric Jackson,LAR,2025,offense,77,T,16,"1,050",0,618,0,432,82.9,-,74.8,-,84.3,4 (1)
Ronnie Rivers,LAR,2025,offense,20,HB,4,19,3,0,10,6,80.2,56.8,-,77.4,60.0,0 (0)
Blake Corum,LAR,2025,offense,22,HB,17,331,124,54,147,6,78.2,32.3,48.4,87.0,44.6,0 (0)
Steve Avila,LAR,2025,offense,73,G,13,835,0,475,0,360,76.8,-,70.6,-,74.1,1 (1)
Colby Parkinson,LAR,2025,offense,84,TE,15,621,255,76,0,290,74.9,75.5,54.3,-,67.4,3 (1)
Xavier Smith,LAR,2025,offense,19,WR,14,231,156,3,0,72,73.7,72.4,68.5,-,73.1,3 (1)
Coleman Shelton,LAR,2025,offense,65,C,17,"1,119",0,663,0,456,70.1,-,49.6,-,77.6,4 (1)
Tyler Higbee,LAR,2025,offense,89,TE,10,365,197,19,0,149,68.3,66.8,65.6,-,68.2,3 (0)
Terrance Ferguson,LAR,2025,offense,18,TE,13,356,182,4,1,169,68.0,64.4,74.0,60.0,72.9,2 (0)
Nick Vannett,LAR,2025,offense,38,TE,2,24,4,0,0,20,62.3,55.2,-,-,64.7,0 (0)
Justin Dedich,LAR,2025,offense,67,G,9,496,0,302,0,194,62.1,-,36.5,-,70.8,2 (1)
Davis Allen,LAR,2025,offense,87,TE,17,585,208,49,0,328,62.0,59.4,68.6,-,63.0,4 (0)
David Quessenberry,LAR,2025,offense,68,T,3,18,0,0,0,18,59.0,-,-,-,58.0,0 (0)
Tutu Atwell,LAR,2025,offense,05,WR,10,187,154,0,0,33,58.3,58.8,-,-,42.2,1 (1)
Rob Havenstein,LAR,2025,offense,79,T,7,461,0,255,0,206,56.4,-,45.2,-,63.5,1 (0)
Konata Mumpfield,LAR,2025,offense,15,WR,17,375,186,0,0,189,56.2,55.5,-,-,57.3,0 (0)
Jimmy Garoppolo,LAR,2025,offense,11,QB,3,18,0,0,9,9,55.6,-,-,62.3,60.0,1 (0)
Jordan Whittington,LAR,2025,offense,88,WR,16,443,229,9,3,202,54.5,57.4,43.2,31.5,58.0,2 (1)
Beaux Limmer,LAR,2025,offense,50,G,3,55,0,28,0,27,54.2,-,0.0,-,82.2,1 (0)
D.J. Humphries,LAR,2025,offense,72,T,5,84,0,45,0,39,41.9,-,54.1,-,36.7,2 (0)
