player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Maxx Crosby,LV,2025,defense,98,ED,15,935,410,515,10,79.7,78.7,55.6,77.1,59.0,53,10,12,31,4,46,19,9,12.2,46,1,2,1,50.0,5,5.0,0,5,0,1,0,16.7,8 (1),928,6,0,1,0,2,6,57,863
Decamerion Richardson,LV,2025,defense,25,CB,1,13,7,0,6,77.0,61.0,72.8,-,77.5,0,0,0,0,0,1,0,0,0.0,1,0,2,1,50.0,6,6.0,5,6,0,0,0,56.3,0 (0),1,1,0,1,10,0,0,0,1
Eric Stokes,LV,2025,defense,22,CB,16,"1,037",452,0,585,75.0,66.8,61.6,-,75.2,0,0,0,0,0,46,7,7,11.7,15,0,50,28,56.0,261,9.3,91,25,1,0,4,77.2,2 (0),57,79,1,4,896,0,0,0,57
Charles Snowden,LV,2025,defense,49,ED,14,324,196,52,76,70.5,62.3,76.2,68.3,72.3,11,3,1,7,0,18,6,1,4.0,18,0,9,8,88.9,51,6.4,39,13,0,1,0,50.7,0 (0),293,19,0,12,0,0,0,1,292
Jamal Adams,LV,2025,defense,33,LB,17,448,166,35,247,67.3,62.3,36.5,71.4,69.2,7,1,1,5,0,38,6,12,21.4,23,0,38,36,94.7,211,5.9,196,22,1,0,0,98.6,2 (0),66,254,2,124,2,0,0,0,66
Jeremy Chinn,LV,2025,defense,11,S,15,996,440,28,528,66.7,69.5,70.3,60.0,62.7,4,0,1,3,0,82,27,12,9.9,31,2,49,38,77.6,339,8.9,201,43,7,0,2,135.1,1 (0),164,359,184,282,7,0,0,0,164
Chris Smith II,LV,2025,defense,29,S,2,3,1,0,2,63.3,60.0,77.3,-,62.4,0,0,0,0,0,0,1,0,0.0,0,0,1,1,100.0,10,10.0,6,10,0,0,0,108.3,0 (0),0,0,3,0,0,0,0,0,0
Terrell Edmunds,LV,2025,defense,28,S,1,1,0,0,1,60.0,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
Malcolm Koonce,LV,2025,defense,51,ED,17,501,153,331,17,59.1,66.1,52.7,59.4,41.6,35,5,8,22,0,15,7,3,12.0,18,1,3,2,66.7,32,16.0,12,27,0,0,0,102.1,3 (1),500,1,0,0,0,0,0,17,483
Tommy Eichenberg,LV,2025,defense,44,LB,8,89,38,6,45,58.2,62.1,82.8,64.3,53.8,0,0,0,0,1,8,3,0,0.0,3,0,5,5,100.0,27,5.4,17,9,0,0,0,89.2,0 (0),27,54,0,8,0,0,0,0,27
