player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Kolton Miller,LV,2025,offense,74,T,4,250,0,152,0,98,86.5,-,89.8,-,75.8,0 (0)
Brock Bowers,LV,2025,offense,89,TE,12,606,423,14,2,167,78.8,82.2,79.2,48.5,50.6,0 (0)
Shedrick Jackson,LV,2025,offense,04,WR,5,23,19,0,1,3,73.8,73.4,-,59.7,59.8,0 (0)
Albert Okwuegbunam,LV,2025,offense,86,TE,1,31,25,0,0,6,72.2,72.7,-,-,56.0,0 (0)
Ashton Jeanty,LV,2025,offense,02,HB,17,770,378,88,274,30,70.4,66.7,34.1,73.1,53.6,2 (1)
Charles Grant,LV,2025,offense,60,T,5,59,0,26,0,33,70.1,-,77.7,-,63.6,0 (0)
Dalton Wagner,LV,2025,offense,78,T,1,2,0,0,0,2,66.5,-,-,-,70.1,0 (0)
Tre Tucker,LV,2025,offense,01,WR,17,942,618,0,10,314,65.9,65.7,-,60.9,59.0,4 (0)
Aidan O'Connell,LV,2025,offense,12,QB,1,51,25,0,0,26,65.7,66.9,-,55.7,60.0,0 (0)
Michael Mayer,LV,2025,offense,87,TE,13,465,238,41,0,186,64.6,69.8,54.7,-,52.0,2 (0)
Alex Bachman,LV,2025,offense,81,WR,11,49,18,0,0,31,64.6,66.5,-,-,68.7,1 (0)
Jackson Powers-Johnson,LV,2025,offense,58,G,7,354,0,210,0,144,63.8,-,59.6,-,66.6,3 (1)
Ian Thomas,LV,2025,offense,80,TE,15,318,90,68,0,160,63.8,67.1,58.7,-,56.7,0 (0)
Dylan Parham,LV,2025,offense,66,G,15,843,0,552,0,291,63.5,-,62.1,-,63.1,5 (0)
Jakobi Meyers,LV,2025,offense,16,WR,7,409,259,0,0,150,63.4,65.9,-,-,32.8,1 (0)
Geno Smith,LV,2025,offense,07,QB,15,862,557,0,23,282,60.9,58.2,-,70.3,60.0,4 (0)
DJ Glaze,LV,2025,offense,71,T,17,992,0,639,0,353,60.6,-,63.2,-,54.9,5 (2)
Justin Shorter,LV,2025,offense,88,WR,3,5,0,0,0,5,60.4,-,-,-,60.0,0 (0)
Cody Lindenberg,LV,2025,offense,55,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Tommy Eichenberg,LV,2025,offense,44,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Tristin McCollum,LV,2025,offense,27,S,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jon Rhattigan,LV,2025,offense,59,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
AJ Cole,LV,2025,offense,06,P,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jacob Bobenmoyer,LV,2025,offense,50,LS,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jack Bech,LV,2025,offense,18,WR,15,344,207,3,0,134,59.9,61.2,72.6,-,48.3,2 (0)
Caleb Rogers,LV,2025,offense,76,G,6,284,0,179,0,105,59.6,-,59.4,-,59.6,1 (0)
Jordan Meredith,LV,2025,offense,61,C,11,676,0,439,0,237,57.7,-,48.3,-,61.2,4 (2)
Raheem Mostert,LV,2025,offense,31,HB,12,138,86,24,22,6,56.9,66.8,45.9,52.4,60.0,0 (0)
Isaiah Pola-Mao,LV,2025,offense,20,S,1,1,0,0,1,0,55.9,-,-,57.0,-,0 (0)
Stone Forsythe,LV,2025,offense,70,T,16,704,0,465,0,239,55.3,-,53.7,-,56.1,5 (1)
Tyler Lockett,LV,2025,offense,17,WR,10,308,247,0,0,61,53.8,55.6,-,-,31.1,1 (0)
Alex Cappa,LV,2025,offense,65,C,13,538,1,349,0,188,53.5,58.1,57.6,-,53.0,3 (0)
Atonio Mafi,LV,2025,offense,56,G,3,151,0,91,0,60,52.1,-,52.8,-,55.1,2 (0)
Dont'e Thornton Jr.,LV,2025,offense,10,WR,15,398,267,0,0,131,51.7,52.7,-,-,45.9,1 (0)
Zamir White,LV,2025,offense,03,HB,5,63,35,12,12,4,51.6,58.4,57.7,48.8,60.0,0 (0)
Carter Runyon,LV,2025,offense,46,TE,10,46,8,10,0,28,50.2,54.6,70.3,-,49.5,0 (0)
Kenny Pickett,LV,2025,offense,15,QB,6,80,58,0,2,20,48.4,47.3,-,60.4,60.0,0 (0)
Dylan Laube,LV,2025,offense,23,HB,5,27,15,3,7,2,44.2,68.1,2.8,45.5,60.0,0 (0)
Will Putnam,LV,2025,offense,67,C,6,139,0,101,0,38,30.7,-,19.8,-,37.6,1 (0)
