player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
De'Von Achane,MIA,2025,offense,28,HB,16,697,395,34,229,39,88.9,75.0,34.5,91.0,57.6,1 (0)
Aaron Brewer,MIA,2025,offense,55,C,16,912,0,549,0,363,87.3,-,71.2,-,91.4,9 (3)
Jaylen Waddle,MIA,2025,offense,17,WR,16,722,443,0,2,277,84.0,85.2,-,68.1,48.8,2 (2)
Darren Waller,MIA,2025,offense,83,TE,9,233,170,1,1,61,82.8,87.6,62.4,56.9,36.8,1 (0)
Tyreek Hill,MIA,2025,offense,10,WR,4,154,112,0,0,42,82.2,81.1,-,-,67.3,0 (0)
Theo Wease Jr.,MIA,2025,offense,81,WR,3,55,41,0,0,14,80.1,79.8,-,-,74.7,1 (0)
Greg Dulcich,MIA,2025,offense,85,TE,10,245,151,5,0,89,77.4,80.6,28.3,-,57.4,0 (0)
Jaylen Wright,MIA,2025,offense,05,HB,10,127,43,1,72,11,69.4,39.5,5.3,74.7,60.0,0 (0)
D'Wayne Eskridge,MIA,2025,offense,82,WR,13,87,61,0,0,26,68.1,65.4,-,-,77.1,0 (0)
Patrick Paul,MIA,2025,offense,52,T,17,975,0,578,0,397,66.2,-,74.4,-,58.5,9 (2)
Austin Jackson,MIA,2025,offense,73,T,6,318,0,175,0,143,65.1,-,73.3,-,62.8,4 (1)
Ollie Gordon II,MIA,2025,offense,31,HB,17,223,96,30,70,27,62.4,53.0,23.6,70.0,45.0,1 (0)
Tua Tagovailoa,MIA,2025,offense,01,QB,14,776,466,0,7,303,61.7,65.8,-,26.3,60.0,4 (0)
Malik Washington,MIA,2025,offense,06,WR,17,563,384,0,14,165,60.9,62.9,-,59.5,43.9,2 (0)
Daniel Brunskill,MIA,2025,offense,64,G,11,176,10,51,0,115,60.7,49.2,53.3,-,62.2,1 (1)
Larry Borom,MIA,2025,offense,79,T,14,664,0,404,0,260,60.6,-,67.1,-,54.2,5 (0)
Andrew Meyer,MIA,2025,offense,60,C,1,56,0,29,0,27,59.8,-,74.9,-,56.0,1 (0)
James Daniels,MIA,2025,offense,78,G,1,3,0,1,0,2,59.6,-,71.0,-,59.4,0 (0)
Cedrick Wilson Jr.,MIA,2025,offense,19,WR,10,207,84,0,0,123,58.6,56.6,-,-,62.2,1 (0)
Jeff Wilson Jr.,MIA,2025,offense,34,HB,2,7,5,0,0,2,57.3,55.6,-,-,59.7,0 (0)
Hayden Rucci,MIA,2025,offense,87,TE,4,39,6,4,0,29,55.3,51.9,75.1,-,56.6,0 (0)
Cole Strange,MIA,2025,offense,69,G,14,808,0,457,0,351,54.8,-,42.2,-,56.9,1 (0)
Julian Hill,MIA,2025,offense,89,TE,14,441,142,66,0,233,53.8,56.3,66.8,-,49.9,2 (1)
Kendall Lamm,MIA,2025,offense,70,T,1,7,0,1,0,6,53.5,-,68.6,-,51.1,0 (0)
Tahj Washington,MIA,2025,offense,84,WR,6,45,40,0,0,5,53.0,53.1,-,-,60.0,0 (0)
Nick Westbrook-Ikhine,MIA,2025,offense,18,WR,15,385,231,4,0,150,51.5,49.4,70.7,-,63.8,0 (0)
Alec Ingold,MIA,2025,offense,30,FB,17,362,126,44,2,190,50.1,46.0,68.7,59.7,50.4,2 (1)
Zach Wilson,MIA,2025,offense,00,QB,4,26,12,0,2,12,49.1,49.1,-,57.9,60.0,0 (0)
Tanner Conner,MIA,2025,offense,80,TE,9,181,120,12,0,49,46.2,46.3,38.6,-,51.8,0 (0)
Quinn Ewers,MIA,2025,offense,14,QB,4,180,101,0,4,75,39.7,40.5,-,55.1,60.0,2 (0)
Kion Smith,MIA,2025,offense,71,G,5,146,0,105,0,41,34.0,-,50.3,-,29.8,2 (1)
Jonah Savaiinaea,MIA,2025,offense,72,G,17,982,0,579,0,403,28.4,-,14.1,-,37.2,5 (1)
