player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Austin Keys,MIN,2025,defense,56,LB,1,8,3,3,2,83.8,58.1,71.4,87.9,61.0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,5,0,2,0,0,0,0,1
Kobe King,MIN,2025,defense,41,LB,1,3,2,0,1,75.4,66.6,71.7,-,60.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,3,0,0,0,0,0,0,0
Tavierre Thomas,MIN,2025,defense,37,S,6,19,14,0,5,75.3,71.7,81.8,-,64.2,0,0,0,0,0,2,1,0,0.0,0,0,1,1,100.0,6,6.0,3,6,0,0,0,91.7,0 (0),1,5,11,1,0,0,0,0,1
Jonathan Greenard,MIN,2025,defense,58,ED,12,559,224,270,65,74.3,77.8,29.2,77.8,47.8,47,4,8,35,0,24,9,11,25.0,25,1,9,7,77.8,67,9.6,72,29,0,0,0,97.7,5 (1),551,5,0,3,0,0,0,23,528
Isaiah Rodgers,MIN,2025,defense,02,CB,17,963,440,3,520,73.8,66.8,37.6,53.3,74.1,0,0,0,0,0,59,9,13,16.0,23,2,65,42,64.6,495,11.8,237,79,2,1,3,91.5,0 (0),21,122,2,46,771,0,0,0,21
Jalen Redmond,MIN,2025,defense,61,DI,17,793,417,369,7,72.8,72.7,45.2,62.6,61.4,35,6,3,26,5,42,12,8,12.9,39,1,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),789,3,0,0,0,23,285,257,224
Fabian Moreau,MIN,2025,defense,23,CB,11,198,46,0,152,71.4,70.2,85.0,-,70.3,0,0,0,0,0,12,3,0,0.0,2,0,16,8,50.0,53,6.6,19,11,0,0,1,57.6,1 (0),0,18,1,22,157,0,0,0,0
Andrew Van Ginkel,MIN,2025,defense,43,ED,12,582,274,173,135,70.5,57.1,36.5,66.8,81.5,25,8,7,10,5,32,15,13,21.7,27,0,23,17,73.9,151,8.9,117,23,0,1,3,72.9,1 (0),538,9,0,35,0,0,0,0,538
Jay Ward,MIN,2025,defense,24,S,14,249,147,6,96,70.4,71.3,52.6,44.8,68.6,3,0,0,3,0,21,5,7,21.2,7,0,2,2,100.0,39,19.5,17,28,0,0,0,118.8,0 (0),14,93,72,40,29,0,0,0,14
Harrison Smith,MIN,2025,defense,22,S,15,793,361,44,388,69.1,61.7,46.5,71.5,69.2,10,1,1,8,4,43,8,12,19.0,14,0,28,21,75.0,230,11.0,104,30,1,2,3,81.0,2 (0),73,228,427,59,6,0,0,0,73
Tyler Batty,MIN,2025,defense,96,ED,6,42,32,10,0,68.7,70.4,29.8,53.2,-,0,0,0,0,0,2,0,1,33.3,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,1,0,10,30
Theo Jackson,MIN,2025,defense,26,S,13,529,216,11,302,68.4,65.3,64.6,73.5,65.7,2,2,0,0,0,31,15,7,13.2,9,1,10,7,70.0,89,12.7,51,31,0,0,0,97.5,0 (0),21,84,369,47,8,0,0,0,21
Javon Hargrave,MIN,2025,defense,97,DI,16,537,238,295,4,68.3,57.0,68.7,70.9,67.8,31,4,3,24,0,27,20,3,6.0,20,1,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),535,2,0,0,0,99,395,41,0
Dallas Turner,MIN,2025,defense,15,ED,17,702,321,288,93,65.5,66.9,56.9,70.2,48.2,42,9,6,27,1,35,16,8,13.6,29,4,18,13,72.2,78,6.0,45,16,0,0,1,80.3,5 (1),664,15,0,21,1,0,0,2,662
Blake Cashman,MIN,2025,defense,51,LB,13,789,375,119,295,63.5,75.3,83.2,58.9,48.6,19,3,1,15,1,95,48,8,5.3,35,1,31,23,74.2,283,12.3,187,30,0,0,1,101.9,2 (1),59,717,0,10,3,0,0,0,59
Eric Wilson,MIN,2025,defense,55,LB,17,965,484,180,301,62.0,72.9,47.6,70.2,36.5,37,6,4,27,0,79,24,23,18.3,52,3,51,38,74.5,354,9.3,174,27,1,0,0,99.6,1 (0),336,598,1,27,2,0,0,0,336
Chaz Chambliss,MIN,2025,defense,57,ED,4,25,16,2,7,61.5,63.8,72.4,72.9,49.0,1,1,0,0,0,1,0,0,0.0,1,0,1,1,100.0,4,4.0,5,4,1,0,0,122.9,0 (0),17,4,0,4,0,0,0,0,17
Bo Richter,MIN,2025,defense,98,ED,10,53,35,12,6,61.1,56.2,73.9,56.6,71.9,0,0,0,0,0,1,2,0,0.0,1,0,3,2,66.7,22,11.0,21,18,0,0,1,88.2,0 (0),51,0,0,1,0,0,0,0,51
Gabriel Murphy,MIN,2025,defense,59,ED,1,5,4,1,0,59.6,59.6,-,60.0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),5,0,0,0,0,0,0,0,5
Byron Murphy Jr.,MIN,2025,defense,07,CB,17,"1,045",498,13,534,58.5,61.3,52.1,46.7,59.8,2,0,0,2,0,61,10,12,14.5,22,0,56,40,71.4,424,10.6,169,30,3,2,4,96.1,9 (2),50,81,15,208,691,0,0,0,50
Tyrion Ingram-Dawkins,MIN,2025,defense,90,DI,14,250,174,72,4,58.3,58.3,42.6,58.8,61.2,6,1,0,5,1,9,4,3,18.8,7,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),249,0,0,0,0,1,16,135,97
Levi Drake Rodriguez,MIN,2025,defense,50,DI,16,461,283,175,3,57.8,56.0,31.4,59.5,65.8,11,2,2,7,0,28,11,7,15.2,22,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),459,1,0,0,0,71,367,21,0
Josh Metellus,MIN,2025,defense,44,S,14,867,396,23,448,55.6,68.9,73.4,72.6,46.8,8,1,2,5,1,60,20,8,9.1,17,0,47,31,66.0,350,11.3,130,40,5,2,3,105.8,2 (0),43,315,350,124,35,0,0,0,43
Elijah Williams,MIN,2025,defense,99,DI,7,42,28,14,0,53.7,52.8,42.3,60.0,-,1,0,0,1,0,3,2,1,16.7,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),42,0,0,0,0,0,31,5,6
Jonathan Allen,MIN,2025,defense,93,DI,17,809,393,411,5,53.2,45.4,39.2,65.0,59.6,34,4,8,22,0,44,20,11,14.7,33,0,1,1,100.0,4,4.0,9,4,0,0,0,83.3,2 (0),807,2,0,0,0,5,523,237,42
