player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Ryan Kelly,MIN,2025,offense,78,C,8,329,0,191,0,138,82.2,-,77.7,-,82.6,1 (0)
Brian O'Neill,MIN,2025,offense,75,T,14,734,0,446,0,288,81.6,-,76.4,-,84.4,6 (0)
Justin Jefferson,MIN,2025,offense,18,WR,17,941,591,1,0,349,80.5,80.2,69.0,-,66.3,1 (0)
Jordan Mason,MIN,2025,offense,27,HB,16,413,166,65,165,17,74.4,42.0,25.1,83.8,58.9,1 (1)
Zavier Scott,MIN,2025,offense,36,HB,9,105,62,12,31,0,71.4,85.0,74.3,60.0,-,0 (0)
Josh Oliver,MIN,2025,offense,84,TE,15,400,129,44,0,227,70.7,72.9,66.6,-,63.9,2 (0)
Jalen Nailor,MIN,2025,offense,01,WR,17,653,446,5,2,200,66.3,67.1,66.4,61.5,51.7,3 (0)
Christian Darrisaw,MIN,2025,offense,71,T,10,504,0,325,0,179,65.8,-,71.3,-,70.1,8 (1)
Justin Skule,MIN,2025,offense,67,T,12,578,0,356,0,222,65.7,-,63.2,-,61.2,3 (0)
Aaron Jones,MIN,2025,offense,33,HB,12,366,200,30,133,3,65.0,46.1,35.6,69.5,87.9,0 (0)
Jordan Addison,MIN,2025,offense,03,WR,14,714,473,0,2,239,64.9,61.7,-,91.2,66.9,0 (0)
J.J. McCarthy,MIN,2025,offense,09,QB,10,523,311,0,19,193,61.8,60.1,-,71.6,60.1,6 (0)
Ty Chandler,MIN,2025,offense,32,HB,2,42,17,5,18,2,61.8,67.5,66.0,59.8,60.0,0 (0)
Will Fries,MIN,2025,offense,76,G,17,989,0,612,0,377,61.7,-,62.9,-,60.1,3 (0)
C.J. Ham,MIN,2025,offense,30,FB,11,184,58,38,3,85,61.5,51.9,72.5,69.2,57.1,0 (0)
Blake Brandel,MIN,2025,offense,64,C,15,604,0,395,0,209,61.4,-,67.6,-,61.9,6 (1)
T.J. Hockenson,MIN,2025,offense,87,TE,15,691,445,35,1,210,61.2,62.6,55.4,59.7,57.8,4 (0)
Benjamin Yurosek,MIN,2025,offense,85,TE,12,116,25,14,0,77,60.5,56.0,79.6,-,62.6,1 (0)
Tai Felton,MIN,2025,offense,13,WR,6,46,23,0,0,23,60.0,59.3,-,-,62.8,0 (0)
Cam Akers,MIN,2025,offense,30,HB,2,8,3,0,5,0,59.6,26.3,-,64.6,-,0 (0)
Donovan Jackson,MIN,2025,offense,74,G,14,795,0,468,0,327,59.4,-,65.7,-,57.2,4 (0)
Myles Price,MIN,2025,offense,04,WR,5,17,3,0,0,14,57.2,55.4,-,-,60.9,0 (0)
Nick Vannett,MIN,2025,offense,81,TE,3,31,6,5,0,20,56.3,47.4,32.6,-,65.1,0 (0)
Walter Rouse,MIN,2025,offense,73,T,4,88,0,62,0,26,55.6,-,65.8,-,49.1,1 (0)
Ben Sims,MIN,2025,offense,89,TE,8,83,35,7,0,41,54.2,67.9,75.6,-,40.4,1 (0)
Michael Jurgens,MIN,2025,offense,65,C,9,309,0,177,0,132,54.1,-,61.3,-,62.0,5 (0)
Tim Jones,MIN,2025,offense,14,WR,2,6,4,0,0,2,53.8,54.9,-,-,60.0,0 (0)
Adam Thielen,MIN,2025,offense,19,WR,11,185,131,0,0,54,51.5,55.0,-,-,31.2,2 (1)
Carson Wentz,MIN,2025,offense,11,QB,5,300,212,0,1,87,50.4,50.0,-,62.7,60.3,3 (0)
Joe Huber,MIN,2025,offense,60,G,3,79,0,50,0,29,43.2,-,45.5,-,49.7,2 (0)
Max Brosmer,MIN,2025,offense,12,QB,7,178,93,0,5,80,28.0,27.4,-,62.3,60.3,0 (0)
