player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jaylinn Hawkins,NE,2025,defense,21,S,15,838,320,17,501,82.4,87.1,71.1,74.0,78.9,5,2,2,1,0,48,14,8,11.4,12,1,29,19,65.5,234,12.3,127,38,2,4,2,73.7,2 (0),18,201,524,93,1,0,0,0,18
Marte Mapu,NE,2025,defense,15,LB,15,119,9,3,107,80.5,61.1,84.4,72.1,79.7,1,0,0,1,0,11,2,0,0.0,5,0,22,17,77.3,185,10.9,147,21,0,1,3,82.6,0 (0),5,73,6,23,12,0,0,0,5
Dell Pettus,NE,2025,defense,24,S,11,113,32,4,77,78.6,74.0,51.7,67.1,73.9,2,1,0,1,0,12,2,3,17.6,6,1,13,8,61.5,84,10.5,28,24,0,0,1,80.3,0 (0),1,56,20,32,1,0,0,0,1
Robert Spillane,NE,2025,defense,14,LB,13,740,252,43,445,76.6,87.3,58.6,52.0,67.4,12,1,0,11,0,65,31,13,11.9,31,1,62,55,88.7,510,9.3,312,31,2,2,2,98.3,0 (0),19,652,5,59,4,0,0,0,19
Cory Durden,NE,2025,defense,94,DI,17,385,189,195,1,72.7,57.5,57.6,81.4,68.7,17,0,1,16,0,24,9,3,8.3,18,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),382,0,0,0,0,89,268,25,0
Chad Muma,NE,2025,defense,49,LB,2,24,12,1,11,71.9,71.5,78.4,56.3,64.8,0,0,0,0,0,2,2,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,21,0,3,0,0,0,0,0
Harold Landry III,NE,2025,defense,02,ED,15,676,223,405,48,71.0,60.9,62.3,60.4,81.4,48,9,10,29,0,26,7,4,10.8,24,1,3,2,66.7,15,7.5,3,9,0,0,0,78.5,3 (0),658,13,0,4,1,0,1,6,651
Marcus Jones,NE,2025,defense,25,CB,17,722,219,24,479,69.2,56.4,64.3,63.0,72.2,4,2,0,2,0,58,8,8,10.8,27,0,58,44,75.9,466,10.6,231,38,7,3,4,116.8,2 (1),8,119,29,513,51,0,0,0,8
Caleb Murphy,NE,2025,defense,45,ED,2,3,0,3,0,68.6,-,-,67.2,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),3,0,0,0,0,0,0,3,0
Eric Gregory,NE,2025,defense,55,DI,6,126,73,51,2,68.6,68.6,52.8,61.5,58.2,3,0,0,3,0,5,4,2,18.2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),126,0,0,0,0,30,84,8,4
Khyiris Tonga,NE,2025,defense,95,DI,14,337,159,177,1,67.9,54.6,40.1,75.6,75.3,14,0,2,12,2,15,9,3,11.1,13,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),337,0,0,0,0,131,200,6,0
Jahlani Tavai,NE,2025,defense,48,LB,12,231,122,22,87,67.8,75.8,73.5,44.8,59.5,0,0,0,0,0,30,8,3,7.3,12,1,14,13,92.9,95,7.3,54,18,0,0,0,94.9,1 (0),73,136,0,19,0,0,0,0,73
Carlton Davis III,NE,2025,defense,07,CB,17,925,346,7,572,67.8,77.8,73.5,45.9,65.1,5,0,1,4,0,54,16,8,10.3,19,0,68,42,61.8,427,10.2,129,36,4,0,10,99.3,9 (0),7,103,0,23,792,0,0,0,7
Miles Battle,NE,2025,defense,35,CB,2,32,15,0,17,67.7,54.1,76.5,-,71.1,0,0,0,0,0,3,0,0,0.0,0,0,4,2,50.0,14,7.0,0,8,0,0,0,58.3,0 (0),0,2,0,2,25,0,0,0,0
Christian Gonzalez,NE,2025,defense,00,CB,14,770,288,2,480,65.8,49.0,89.4,56.1,68.4,0,0,0,0,0,57,10,1,1.5,19,0,76,35,46.1,357,10.2,69,40,1,0,7,64.4,3 (1),1,58,1,34,676,0,0,0,1
Leonard Taylor III,NE,2025,defense,93,DI,3,52,29,23,0,65.2,57.9,72.1,70.6,60.0,4,0,1,3,0,5,3,0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),52,0,0,0,0,2,47,3,0
Milton Williams,NE,2025,defense,97,DI,12,429,130,293,6,64.9,48.4,54.0,71.4,61.1,36,4,5,27,1,16,8,3,11.1,17,0,1,1,100.0,17,17.0,11,17,0,0,0,118.8,0 (0),428,1,0,0,0,11,234,152,31
Jack Gibbens,NE,2025,defense,51,LB,17,494,238,30,226,64.3,62.5,71.5,66.3,63.9,6,1,1,4,0,54,24,7,8.2,25,1,35,29,82.9,218,7.5,146,24,1,0,3,102.1,2 (1),12,452,0,26,1,0,0,0,12
Kobee Minor,NE,2025,defense,19,CB,2,41,17,0,24,63.9,60.3,31.2,-,64.0,0,0,0,0,0,1,0,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,8,0,0,31,0,0,0,0
Craig Woodson,NE,2025,defense,31,S,17,949,353,28,568,63.8,78.6,73.4,63.4,56.1,6,0,1,5,0,56,17,10,12.0,20,0,33,26,78.8,229,8.8,81,23,6,0,2,135.2,1 (0),10,257,543,124,15,0,0,0,10
Christian Elliss,NE,2025,defense,53,LB,15,506,193,56,257,61.4,61.2,52.8,71.7,57.9,10,0,4,6,0,52,23,13,14.8,18,1,33,29,87.9,278,9.6,193,23,1,0,3,111.9,1 (0),17,450,1,34,4,0,0,0,17
Anfernee Jennings,NE,2025,defense,33,ED,14,280,130,148,2,60.5,62.8,37.8,61.1,39.3,15,2,5,8,0,13,4,5,22.7,12,0,1,0,0.0,0,0,0,0,0,39.6,0,0,1 (1),279,1,0,0,0,0,0,4,275
K'Lavon Chaisson,NE,2025,defense,44,ED,16,641,222,400,19,60.1,48.6,28.6,62.7,82.9,54,9,11,34,1,17,4,12,36.4,19,2,2,1,50.0,6,6.0,0,6,0,0,1,56.3,6 (2),634,4,0,0,0,0,2,6,626
Mack Hollins,NE,2025,defense,13,WR,1,1,0,0,1,60.0,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,1,0,0,0,0,0,0
Jeremiah Pharms Jr.,NE,2025,defense,98,DI,3,50,20,30,0,59.7,60.0,78.0,66.9,-,1,0,1,0,0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),47,0,0,0,0,0,20,21,6
Kyle Dugger,NE,2025,defense,23,S,7,184,63,4,117,58.0,73.6,58.8,78.3,50.7,1,0,0,1,0,10,4,2,12.5,4,0,7,6,85.7,78,13.0,26,53,0,0,0,113.1,0 (0),2,73,76,32,1,0,0,0,2
Bradyn Swinson,NE,2025,defense,43,ED,2,27,6,21,0,57.5,56.9,-,58.6,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),27,0,0,0,0,0,1,0,26
Charles Woods,NE,2025,defense,22,CB,11,118,40,0,78,57.1,50.5,59.3,-,58.3,0,0,0,0,0,7,1,1,11.1,2,0,10,7,70.0,90,12.9,48,22,0,0,1,97.9,0 (0),4,8,3,33,69,0,0,0,4
Elijah Ponder,NE,2025,defense,91,ED,15,215,70,134,11,54.4,52.3,61.0,56.9,54.9,15,4,2,9,0,7,3,1,9.1,8,0,1,1,100.0,17,17.0,6,17,0,0,0,118.8,0 (0),197,16,0,2,0,0,0,1,196
Christian Barmore,NE,2025,defense,90,DI,17,667,236,428,3,52.1,29.7,33.6,69.6,62.9,50,2,9,39,0,20,6,9,25.7,13,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),664,0,0,0,0,21,393,180,70
