player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Drake Maye,NE,2025,offense,10,QB,17,"1,049",638,0,43,368,90.1,87.8,-,75.6,60.4,2 (0)
Stefon Diggs,NE,2025,offense,08,WR,17,598,449,1,0,148,87.5,87.5,62.4,-,48.6,4 (0)
Demario Douglas,NE,2025,offense,03,WR,17,288,239,0,7,42,79.4,81.1,-,51.2,51.7,0 (0)
Mike Onwenu,NE,2025,offense,71,G,17,"1,080",0,648,0,432,78.3,-,78.2,-,74.3,3 (0)
Hunter Henry,NE,2025,offense,85,TE,17,868,488,57,0,323,76.4,80.4,62.5,-,54.1,3 (0)
Efton Chism III,NE,2025,offense,86,WR,8,91,37,2,0,52,74.1,72.0,71.8,-,68.3,0 (0)
Morgan Moses,NE,2025,offense,76,T,17,"1,032",0,621,0,411,74.0,-,69.8,-,77.2,8 (1)
Rhamondre Stevenson,NE,2025,offense,38,HB,14,533,278,86,132,37,73.7,65.7,67.6,74.2,70.1,1 (1)
Khyiris Tonga,NE,2025,offense,95,DI,5,14,0,2,0,12,73.3,-,78.0,-,72.2,0 (0)
Caedan Wallace,NE,2025,offense,70,G,1,8,0,2,0,6,72.9,-,77.8,-,69.1,0 (0)
Will Campbell,NE,2025,offense,66,T,13,782,0,476,0,306,72.5,-,76.1,-,67.6,7 (1)
Kayshon Boutte,NE,2025,offense,09,WR,14,607,395,2,0,210,70.9,71.8,74.5,-,48.1,3 (0)
Thayer Munford Jr.,NE,2025,offense,74,T,5,100,0,32,0,68,70.1,-,74.0,-,64.0,0 (0)
TreVeyon Henderson,NE,2025,offense,32,HB,17,500,250,40,186,24,68.8,56.8,23.6,75.0,60.2,3 (1)
Austin Hooper,NE,2025,offense,81,TE,16,511,205,36,0,270,68.5,71.9,63.8,-,57.8,2 (0)
Mack Hollins,NE,2025,offense,13,WR,15,656,360,3,1,292,67.5,68.9,72.2,56.2,55.3,2 (1)
Ben Brown,NE,2025,offense,77,G,8,329,0,166,0,163,67.1,-,59.0,-,66.4,3 (1)
Brenden Jaimes,NE,2025,offense,61,C,2,22,0,8,0,14,66.0,-,63.3,-,66.0,0 (0)
Terrell Jennings,NE,2025,offense,26,HB,5,38,4,3,23,8,65.2,75.6,74.6,62.1,60.0,0 (0)
Joshua Dobbs,NE,2025,offense,11,QB,4,43,12,0,9,22,64.0,66.5,-,56.1,60.0,0 (0)
Kyle Williams,NE,2025,offense,18,WR,17,335,190,1,2,142,61.9,61.7,65.7,56.7,67.2,1 (0)
Vederian Lowe,NE,2025,offense,59,T,10,317,0,176,0,141,61.4,-,67.1,-,56.8,2 (0)
Garrett Bradbury,NE,2025,offense,65,C,17,"1,070",0,642,0,428,60.2,-,63.1,-,56.2,0 (0)
Elijah Ponder,NE,2025,offense,91,ED,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Julian Ashby,NE,2025,offense,47,LS,1,1,0,1,0,0,60.0,-,61.5,-,-,0 (0)
Dell Pettus,NE,2025,offense,24,S,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
Christian Elliss,NE,2025,offense,53,LB,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Bryce Baringer,NE,2025,offense,17,P,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
K'Lavon Chaisson,NE,2025,offense,44,ED,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Jack Gibbens,NE,2025,offense,51,LB,1,1,0,1,0,0,60.0,60.0,63.8,-,-,0 (0)
Marte Mapu,NE,2025,offense,15,LB,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
Jahlani Tavai,NE,2025,offense,48,LB,1,1,0,1,0,0,60.0,-,62.7,-,-,0 (0)
Brenden Schooler,NE,2025,offense,41,S,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
D'Ernest Johnson,NE,2025,offense,34,HB,5,32,11,2,14,5,58.7,54.6,75.2,59.4,60.0,0 (0)
Antonio Gibson,NE,2025,offense,04,HB,5,52,19,4,25,4,55.1,51.9,78.2,56.4,60.0,0 (0)
CJ Dippre,NE,2025,offense,82,TE,2,20,5,1,0,14,52.3,51.8,72.7,-,54.9,0 (0)
Jared Wilson,NE,2025,offense,58,G,13,784,0,486,0,298,49.9,-,62.2,-,42.8,3 (0)
Marcus Bryant,NE,2025,offense,52,T,3,18,0,7,0,11,49.0,-,28.6,-,54.1,0 (0)
Jack Westover,NE,2025,offense,37,FB,17,236,55,12,0,169,44.3,40.4,71.6,-,49.7,1 (0)
