player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Chris Olave,NO,2025,offense,12,WR,16,887,625,0,0,262,78.0,79.7,-,-,57.5,7 (3)
Audric Estime,NO,2025,offense,30,HB,6,181,102,17,47,15,75.8,69.2,63.4,79.6,43.6,0 (0)
Tyler Shough,NO,2025,offense,06,QB,11,605,398,0,25,182,74.6,73.1,-,64.8,60.7,0 (0)
Ronnie Bell,NO,2025,offense,85,WR,2,38,22,0,0,16,74.5,71.8,-,-,74.2,0 (0)
Kendre Miller,NO,2025,offense,05,HB,7,113,35,19,46,13,73.8,72.9,57.4,72.6,49.0,0 (0)
Kelvin Banks Jr.,NO,2025,offense,71,T,17,"1,066",1,680,0,385,73.5,59.8,70.4,-,76.1,12 (2)
Devaughn Vele,NO,2025,offense,14,WR,13,437,262,5,0,170,72.7,74.3,72.3,-,45.0,1 (0)
Spencer Rattler,NO,2025,offense,02,QB,9,490,316,0,19,155,69.9,66.1,-,76.9,60.7,3 (0)
Erik McCoy,NO,2025,offense,78,C,7,449,0,276,0,173,67.9,-,84.1,-,62.2,3 (1)
Samori Toure,NO,2025,offense,89,WR,1,10,8,0,0,2,67.9,66.5,-,-,60.0,0 (0)
Rashid Shaheed,NO,2025,offense,22,WR,9,426,317,0,2,107,66.9,70.3,-,59.5,32.4,3 (0)
Luke Fortner,NO,2025,offense,79,C,15,678,0,442,0,236,66.5,-,72.5,-,65.3,3 (0)
Juwan Johnson,NO,2025,offense,83,TE,17,850,559,34,0,257,66.5,69.1,61.1,-,47.3,2 (0)
Dante Pettis,NO,2025,offense,11,WR,7,114,83,0,0,31,65.7,67.0,-,-,54.3,2 (0)
Taliese Fuaga,NO,2025,offense,75,T,13,814,0,530,0,284,64.5,-,66.2,-,63.6,7 (2)
Danny Stutsman,NO,2025,offense,28,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Kai Kroeger,NO,2025,offense,32,P,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jaylan Ford,NO,2025,offense,53,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Isaiah Stalbird,NO,2025,offense,44,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Pete Werner,NO,2025,offense,20,LB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Chris Rumph II,NO,2025,offense,58,ED,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Isaac Yiadom,NO,2025,offense,27,CB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Nyheim Miller-Hines,NO,2025,offense,19,HB,1,1,1,0,0,0,60.0,59.5,-,-,-,0 (0)
Velus Jones Jr.,NO,2025,offense,13,HB,2,2,0,0,0,2,60.0,-,-,-,60.0,0 (0)
Michael Davis,NO,2025,offense,43,CB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Zach Wood,NO,2025,offense,49,LS,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Zaire Mitchell-Paden,NO,2025,offense,84,TE,2,33,2,1,0,30,59.6,79.2,70.6,-,46.6,0 (0)
Devin Neal,NO,2025,offense,24,HB,9,268,147,34,58,29,58.8,58.8,57.8,58.7,55.8,0 (0)
Kevin Austin Jr.,NO,2025,offense,81,WR,8,242,159,2,0,81,57.9,56.9,77.4,-,70.9,1 (0)
Jack Stoll,NO,2025,offense,88,TE,15,210,50,30,0,130,57.5,59.0,68.9,-,53.4,0 (0)
Cesar Ruiz,NO,2025,offense,51,G,14,856,0,546,0,310,55.1,-,73.1,-,44.7,4 (0)
Brandin Cooks,NO,2025,offense,10,WR,10,422,300,0,0,122,54.8,54.9,-,-,49.1,1 (0)
Mason Tipton,NO,2025,offense,15,WR,13,297,186,0,4,107,53.7,54.2,-,40.7,68.9,0 (0)
Taysom Hill,NO,2025,offense,07,TE,13,211,94,5,52,60,53.5,50.7,41.0,54.7,59.2,2 (0)
Treyton Welch,NO,2025,offense,82,TE,3,16,7,2,0,7,53.3,49.8,80.5,-,57.1,0 (0)
Foster Moreau,NO,2025,offense,87,TE,11,253,72,29,0,152,51.7,55.5,70.7,-,50.1,1 (0)
Alvin Kamara,NO,2025,offense,41,HB,11,457,252,48,134,23,51.7,39.5,23.4,61.0,68.0,0 (0)
Evan Hull,NO,2025,offense,34,HB,6,77,40,9,20,8,51.5,49.9,27.5,55.9,60.3,0 (0)
Trevor Penning,NO,2025,offense,70,G,6,358,0,234,0,124,50.5,-,53.6,-,49.8,4 (0)
Dillon Radunz,NO,2025,offense,77,G,11,699,0,438,0,261,47.9,-,62.7,-,49.0,7 (1)
Asim Richards,NO,2025,offense,72,T,9,363,1,218,0,144,47.1,58.8,53.2,-,43.9,3 (1)
Moliki Matavao,NO,2025,offense,80,TE,6,83,24,8,0,51,45.3,50.1,74.7,-,49.9,1 (0)
Will Sherman,NO,2025,offense,66,G,6,181,0,120,0,61,44.1,-,43.7,-,42.7,0 (0)
Torricelli Simpkins III,NO,2025,offense,68,G,4,179,0,108,0,71,37.5,-,9.6,-,59.7,3 (0)
