player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Andrew Thomas,NYG,2025,offense,78,T,13,802,0,449,0,353,90.3,-,87.3,-,84.5,3 (1)
Zach Davidson,NYG,2025,offense,39,TE,1,7,0,1,0,6,81.1,-,67.2,-,72.8,0 (0)
Cam Skattebo,NYG,2025,offense,44,HB,8,295,143,21,107,24,80.5,82.7,11.6,81.0,83.1,1 (0)
Gunner Olszewski,NYG,2025,offense,80,WR,10,118,79,0,0,39,76.7,78.2,-,-,50.8,1 (0)
Jameis Winston,NYG,2025,offense,19,QB,3,156,77,0,6,73,74.0,66.3,-,72.2,60.3,1 (0)
Chris Manhertz,NYG,2025,offense,85,TE,17,209,16,43,0,150,72.7,47.0,69.7,-,69.9,1 (0)
Malik Nabers,NYG,2025,offense,01,WR,4,216,146,0,0,70,71.8,71.2,-,-,60.1,0 (0)
Devin Singletary,NYG,2025,offense,26,HB,17,311,127,44,123,17,71.1,58.7,67.6,72.2,47.8,1 (0)
Austin Schlottmann,NYG,2025,offense,65,C,8,363,0,212,0,151,70.9,-,77.0,-,70.0,3 (0)
Wan'Dale Robinson,NYG,2025,offense,17,WR,16,973,588,1,3,381,70.2,69.7,39.6,54.9,67.2,4 (1)
Tyrone Tracy,NYG,2025,offense,29,HB,15,548,284,61,177,26,69.5,66.0,45.5,72.5,54.1,2 (0)
Jaxson Dart,NYG,2025,offense,06,QB,14,774,450,0,49,275,68.1,64.2,-,77.6,60.2,9 (1)
Greg Van Roten,NYG,2025,offense,74,G,17,"1,151",0,679,0,472,65.3,-,70.2,-,61.3,3 (0)
Jermaine Eluemunor,NYG,2025,offense,72,T,16,"1,088",0,639,0,449,63.9,-,76.8,-,55.3,14 (2)
Russell Wilson,NYG,2025,offense,03,QB,6,220,152,0,6,62,63.3,63.5,-,56.5,60.0,4 (2)
Aaron Stinnie,NYG,2025,offense,64,G,6,61,0,25,0,36,62.7,-,58.1,-,68.5,3 (1)
Daniel Bellinger,NYG,2025,offense,82,TE,16,556,224,51,0,281,62.5,63.0,68.2,-,61.0,3 (0)
John Michael Schmitz Jr.,NYG,2025,offense,61,C,13,788,0,467,0,321,60.8,-,60.9,-,63.2,4 (0)
Eric Gray,NYG,2025,offense,20,HB,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Bryan Hudson,NYG,2025,offense,60,C,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Jamie Gillan,NYG,2025,offense,12,P,1,1,0,0,1,0,60.0,-,-,60.0,-,0 (0)
D.J. Davidson,NYG,2025,offense,98,DI,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Younghoe Koo,NYG,2025,offense,37,K,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Casey Kreiter,NYG,2025,offense,59,LS,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Darius Slayton,NYG,2025,offense,18,WR,14,755,466,1,0,288,58.0,59.3,65.9,-,46.7,4 (0)
Theo Johnson,NYG,2025,offense,84,TE,15,872,464,67,0,341,57.9,62.0,41.0,-,51.0,3 (0)
Dalen Cambre,NYG,2025,offense,83,WR,5,16,6,0,0,10,56.9,56.8,-,-,60.1,0 (0)
Isaiah Hodgins,NYG,2025,offense,89,WR,7,363,223,1,0,139,54.6,56.3,67.5,-,43.7,1 (1)
Elijah Chatman,NYG,2025,offense,94,DI,2,3,0,0,0,3,54.3,-,-,-,53.7,0 (0)
Marcus Mbow,NYG,2025,offense,71,T,9,325,1,209,0,115,54.0,59.6,47.8,-,62.4,3 (1)
Lil'Jordan Humphrey,NYG,2025,offense,89,WR,3,160,97,1,0,62,53.9,53.8,65.6,-,62.3,1 (0)
Jon Runyan,NYG,2025,offense,76,G,16,"1,095",0,654,0,441,53.0,-,60.7,-,49.2,6 (1)
Thomas Fidone II,NYG,2025,offense,86,TE,2,14,11,1,0,2,51.9,51.2,74.1,-,60.3,0 (0)
Beaux Collins,NYG,2025,offense,81,WR,8,84,56,0,0,28,47.6,50.3,-,-,31.7,1 (0)
Jalin Hyatt,NYG,2025,offense,13,WR,7,171,118,0,0,53,46.5,47.3,-,-,43.7,0 (0)
Ray-Ray McCloud III,NYG,2025,offense,88,WR,2,72,53,0,0,19,46.0,50.1,-,-,38.9,1 (0)
James Hudson III,NYG,2025,offense,55,T,3,85,0,61,0,24,33.0,-,46.7,-,49.9,5 (0)
