player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Quinnen Williams,NYJ,2025,defense,95,DI,8,365,150,215,0,79.6,90.8,36.5,57.1,60.2,19,1,2,16,0,24,8,7,17.9,24,2,0,0,0,0,0,0,0,0.0,0,0,0,3 (0),365,0,0,0,0,3,289,71,2
Mykal Walker,NYJ,2025,defense,53,LB,12,195,125,9,61,75.6,76.1,85.6,50.9,68.7,0,0,0,0,0,12,10,0,0.0,7,0,6,4,66.7,30,7.5,31,17,0,0,1,78.5,0 (0),30,147,0,17,0,0,0,0,30
Samuel Womack III,NYJ,2025,defense,39,CB,1,73,43,0,30,75.5,71.9,80.6,-,74.3,0,0,0,0,0,7,0,0,0.0,4,0,4,3,75.0,30,10.0,13,18,0,0,1,95.8,0 (0),1,7,0,2,63,0,0,0,1
Mark Robinson,NYJ,2025,defense,45,LB,1,4,3,0,1,74.0,64.8,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,4,0,0,0,0,0,0,0
Jowon Briggs,NYJ,2025,defense,91,DI,17,588,268,320,0,73.5,55.4,56.4,85.6,64.2,38,4,6,28,0,28,10,3,7.3,25,1,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),588,0,0,0,0,19,442,124,3
Harrison Phillips,NYJ,2025,defense,97,DI,17,692,349,343,0,72.7,76.4,61.1,56.2,57.7,11,2,1,8,1,34,21,3,5.2,29,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),692,0,0,0,0,87,583,22,0
Sauce Gardner,NYJ,2025,defense,01,CB,7,410,181,4,225,71.3,81.0,74.1,38.3,68.7,1,0,0,1,0,15,4,2,9.5,4,0,22,10,45.5,170,17.0,39,43,2,0,5,102.5,4 (1),3,31,0,8,368,0,0,0,3
Brandon Stephens,NYJ,2025,defense,21,CB,16,"1,047",459,5,583,67.1,75.7,72.2,62.0,63.0,1,0,0,1,0,59,12,7,9.0,24,1,70,47,67.1,509,10.8,164,46,8,0,6,126.4,3 (0),18,101,1,46,881,0,0,0,18
Jamien Sherwood,NYJ,2025,defense,44,LB,17,"1,110",498,65,547,66.2,82.0,85.9,70.5,46.1,13,2,3,8,2,110,39,9,5.7,49,0,64,51,79.7,578,11.3,390,42,4,0,3,125.1,2 (0),33,995,0,74,8,0,0,0,33
Cam Jones,NYJ,2025,defense,43,LB,4,5,3,0,2,66.2,61.8,-,-,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,4,0,0,0,0,0,0,0
Kobe King,NYJ,2025,defense,45,LB,1,1,1,0,0,65.2,61.9,68.4,-,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Leonard Taylor III,NYJ,2025,defense,93,DI,2,47,26,21,0,63.7,59.8,71.8,64.7,-,0,0,0,0,1,3,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),47,0,0,0,0,2,38,7,0
Tony Adams,NYJ,2025,defense,22,S,10,467,197,8,262,63.7,51.6,53.2,61.7,67.1,1,1,0,0,0,36,13,9,15.5,17,0,21,13,61.9,156,12.0,84,30,1,0,5,100.5,3 (1),17,165,218,56,11,0,0,0,17
Andre Cisco,NYJ,2025,defense,08,S,8,499,223,11,265,61.3,75.7,43.6,50.0,54.5,0,0,0,0,0,34,6,9,18.4,10,0,17,14,82.4,189,13.5,106,28,3,0,1,152.6,0 (0),22,136,293,39,9,0,0,0,22
Jermaine Johnson,NYJ,2025,defense,11,ED,14,678,275,392,11,61.1,58.4,44.8,59.4,66.8,35,3,4,28,0,26,17,7,14.0,18,0,2,1,50.0,10,10.0,5,10,0,0,0,64.6,1 (0),673,4,0,0,1,0,9,8,656
Isaiah Davis,NYJ,2025,defense,32,HB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Isaiah Williams,NYJ,2025,defense,18,WR,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Andrew Beck,NYJ,2025,defense,47,FB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Khalil Herbert,NYJ,2025,defense,31,HB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Micheal Clemons,NYJ,2025,defense,72,ED,16,578,251,323,4,59.9,58.5,28.7,59.8,61.7,22,2,4,16,2,12,7,7,26.9,12,0,1,1,100.0,8,8.0,1,8,0,0,0,100.0,2 (0),573,5,0,0,0,1,21,116,435
Will McDonald IV,NYJ,2025,defense,09,ED,15,648,245,385,18,59.2,41.6,27.9,71.0,50.7,42,8,12,22,0,16,8,10,29.4,19,0,2,2,100.0,20,10.0,8,12,0,0,0,108.3,1 (1),641,6,0,0,1,3,8,4,626
Malachi Moore,NYJ,2025,defense,27,S,17,949,420,15,514,58.9,70.1,65.9,40.2,54.0,1,0,0,1,0,70,22,11,10.7,17,1,31,20,64.5,288,14.4,179,40,2,0,2,116.1,2 (1),32,326,374,200,17,0,0,0,32
Payton Page,NYJ,2025,defense,69,DI,4,61,41,20,0,58.0,55.2,71.5,62.7,60.0,1,0,0,1,0,4,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),61,0,0,0,0,8,47,6,0
Khalen Saunders,NYJ,2025,defense,99,DI,7,141,76,65,0,56.9,59.4,73.1,51.8,-,1,1,0,0,0,5,3,0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),141,0,0,0,0,14,126,1,0
Azareye'h Thomas,NYJ,2025,defense,23,CB,8,311,151,1,159,55.1,52.3,33.5,60.0,55.5,0,0,0,0,0,16,2,5,21.7,4,0,25,12,48.0,177,14.8,59,44,1,0,3,84.9,3 (0),1,31,4,15,260,0,0,0,1
Eric Watts,NYJ,2025,defense,95,ED,4,103,48,52,3,54.3,67.5,77.2,50.8,34.7,1,0,0,1,0,6,3,0,0.0,2,0,2,2,100.0,29,14.5,5,22,1,0,0,158.3,0 (0),103,0,0,0,0,0,3,0,100
Dean Clark,NYJ,2025,defense,35,S,4,180,69,0,111,54.2,33.3,35.5,-,61.5,0,0,0,0,0,8,1,3,25.0,3,0,6,4,66.7,31,7.8,25,13,1,0,0,118.8,0 (0),5,40,117,15,3,0,0,0,5
Tyler Baron,NYJ,2025,defense,94,ED,6,95,46,48,1,53.7,55.6,34.1,56.7,53.7,4,0,0,4,0,7,2,2,18.2,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),95,0,0,0,0,0,1,1,93
Qwan'tez Stiggers,NYJ,2025,defense,37,CB,6,247,89,1,157,53.6,79.1,67.0,58.7,47.1,0,0,0,0,0,16,2,1,5.3,4,0,23,13,56.5,176,13.5,50,31,0,0,4,81.1,5 (2),0,32,0,15,200,0,0,0,0
Kingsley Jonathan,NYJ,2025,defense,57,ED,1,17,11,6,0,53.0,55.0,24.3,55.4,-,0,0,0,0,0,0,1,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),17,0,0,0,0,0,0,0,17
Jay Tufele,NYJ,2025,defense,78,DI,12,229,100,129,0,51.0,55.8,28.3,51.1,60.0,6,0,0,6,0,11,1,4,25.0,7,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),228,1,0,0,0,1,164,57,6
Keidron Smith,NYJ,2025,defense,46,S,2,70,42,0,28,50.4,60.3,49.2,-,53.8,0,0,0,0,0,10,4,2,12.5,2,0,3,2,66.7,25,12.5,4,18,0,0,0,92.4,1 (0),0,25,33,10,1,0,0,0,0
Jarvis Brownlee Jr.,NYJ,2025,defense,29,CB,7,279,95,4,180,48.4,67.7,70.6,50.4,45.9,0,0,0,0,0,31,4,4,10.3,17,1,34,26,76.5,229,8.8,141,26,1,0,1,103.7,6 (1),5,36,0,177,61,0,0,0,5
Marcelino McCrary-Ball,NYJ,2025,defense,41,LB,4,106,60,8,38,47.0,63.6,84.6,59.3,45.6,3,0,0,3,0,10,4,0,0.0,4,0,5,4,80.0,40,10.0,30,12,0,0,0,100.0,2 (1),10,85,0,10,1,0,0,0,10
Jordan Clark,NYJ,2025,defense,33,CB,5,139,38,1,100,46.4,42.9,36.4,59.0,50.6,0,0,0,0,0,9,1,3,23.1,3,0,20,16,80.0,140,8.8,70,30,3,0,0,135.4,1 (1),3,16,0,112,8,0,0,0,3
Quincy Williams,NYJ,2025,defense,56,LB,13,783,347,54,382,45.6,57.4,50.7,66.9,35.2,9,4,1,4,0,61,14,14,15.7,42,0,56,46,82.1,538,11.7,372,45,5,0,4,136.5,2 (0),40,680,0,58,5,0,0,0,40
Isaiah Oliver,NYJ,2025,defense,26,S,13,322,147,8,167,44.6,40.7,49.9,63.9,49.1,1,0,0,1,0,36,6,8,16.0,11,0,22,19,86.4,222,11.7,131,33,0,0,3,108.7,4 (3),23,144,78,67,10,0,0,0,23
Jarius Monroe,NYJ,2025,defense,25,S,2,4,1,0,3,44.5,60.0,-,-,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,1,0,1,0,0,0,0
Michael Carter II,NYJ,2025,defense,30,CB,5,145,49,8,88,43.5,59.1,45.6,65.2,38.2,2,0,0,2,0,10,3,2,13.3,5,0,13,9,69.2,123,13.7,85,31,0,0,0,99.2,1 (0),11,18,2,113,1,0,0,0,11
Tre Brown,NYJ,2025,defense,30,CB,2,55,33,1,21,43.0,29.0,30.1,66.0,60.4,0,0,0,0,0,7,1,2,20.0,2,0,3,2,66.7,14,7.0,15,14,0,0,0,77.1,0 (0),2,21,0,25,6,0,0,0,2
Kiko Mauigoa,NYJ,2025,defense,51,LB,12,328,176,32,120,42.7,59.3,41.0,59.8,31.7,2,0,0,2,0,24,16,8,16.7,11,0,14,10,71.4,83,8.3,54,13,1,0,0,110.1,2 (1),39,265,0,22,2,0,0,0,39
Braiden McGregor,NYJ,2025,defense,55,ED,12,265,147,115,3,41.9,33.2,27.4,58.9,53.1,8,0,1,7,2,9,3,4,25.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),265,0,0,0,0,0,0,9,256
Mazi Smith,NYJ,2025,defense,58,DI,3,54,28,26,0,40.2,38.1,21.9,60.6,60.0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),54,0,0,0,0,5,40,9,0
Ja'Sir Taylor,NYJ,2025,defense,36,CB,5,122,61,0,61,38.0,28.0,36.8,-,47.4,0,0,0,0,0,8,3,3,21.4,4,0,8,5,62.5,34,6.8,13,17,3,0,1,111.5,0 (0),2,19,1,28,71,0,0,0,2
