player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Breece Hall,NYJ,2025,offense,20,HB,16,640,269,80,247,44,83.5,75.2,45.8,83.7,68.1,1 (0)
Quentin Skinner,NYJ,2025,offense,88,WR,1,16,10,0,0,6,82.8,81.9,-,-,48.2,0 (0)
Malachi Moore,NYJ,2025,offense,27,S,2,2,1,0,0,1,73.6,90.3,-,-,60.0,0 (0)
Armand Membou,NYJ,2025,offense,70,T,17,"1,045",0,639,0,406,72.8,-,73.8,-,72.2,11 (3)
Garrett Wilson,NYJ,2025,offense,05,WR,7,381,242,0,0,139,72.5,72.1,-,-,58.1,2 (1)
Max Mitchell,NYJ,2025,offense,61,T,14,73,2,19,0,52,69.6,53.5,27.8,-,78.9,1 (0)
Austin McNamara,NYJ,2025,offense,14,P,3,4,1,0,0,3,69.5,66.9,-,-,59.7,0 (0)
Olumuyiwa Fashanu,NYJ,2025,offense,74,T,17,"1,038",0,634,0,404,69.2,-,74.5,-,57.1,3 (1)
Isaiah Davis,NYJ,2025,offense,32,HB,16,288,165,62,43,18,69.0,72.0,56.6,69.4,57.6,0 (0)
Justin Fields,NYJ,2025,offense,07,QB,9,499,278,0,45,176,67.3,65.5,-,65.8,60.0,3 (0)
Andrew Beck,NYJ,2025,offense,47,FB,17,112,30,6,1,75,66.1,72.5,20.3,62.4,57.7,0 (0)
Joe Tippmann,NYJ,2025,offense,66,G,17,"1,045",0,639,0,406,66.0,-,69.0,-,66.8,7 (0)
Kene Nwangwu,NYJ,2025,offense,34,HB,4,30,13,2,13,2,63.6,52.1,6.1,70.0,60.0,0 (0)
Khalil Herbert,NYJ,2025,offense,31,HB,3,50,19,12,16,3,61.8,31.9,77.0,67.3,60.0,0 (0)
Josh Reynolds,NYJ,2025,offense,83,WR,5,271,172,0,0,99,61.6,61.8,-,-,50.8,0 (0)
Isaiah Williams,NYJ,2025,offense,18,WR,11,328,219,1,3,105,61.3,61.6,62.4,62.8,57.5,1 (0)
Tyrod Taylor,NYJ,2025,offense,02,QB,6,251,178,0,5,68,60.7,58.2,-,65.9,60.0,2 (0)
Qwan'tez Stiggers,NYJ,2025,offense,37,CB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Kobe King,NYJ,2025,offense,45,LB,2,3,0,1,0,2,60.0,-,62.7,-,60.0,0 (0)
Jarius Monroe,NYJ,2025,offense,25,S,1,2,0,1,0,1,60.0,-,63.8,-,60.0,0 (0)
Cam Jones,NYJ,2025,offense,43,LB,1,2,0,1,0,1,60.0,-,62.7,-,60.0,0 (0)
Mykal Walker,NYJ,2025,offense,53,LB,2,3,0,1,0,2,60.0,-,62.7,-,60.0,0 (0)
Isaiah Oliver,NYJ,2025,offense,26,S,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Thomas Hennessy,NYJ,2025,offense,42,LS,2,3,0,1,0,2,60.0,-,61.5,-,60.0,0 (0)
Mason Taylor,NYJ,2025,offense,85,TE,13,653,374,46,0,233,59.6,60.0,35.7,-,63.1,5 (3)
Adonai Mitchell,NYJ,2025,offense,15,WR,8,373,252,0,1,120,58.5,58.5,-,56.6,56.8,0 (0)
Tyler Johnson,NYJ,2025,offense,16,WR,12,292,174,2,0,116,58.4,60.0,24.4,-,55.8,1 (0)
John Metchie III,NYJ,2025,offense,03,WR,9,413,247,1,3,162,57.1,58.1,68.1,48.4,50.9,1 (0)
John Simpson,NYJ,2025,offense,76,G,17,"1,014",0,618,0,396,56.9,-,62.0,-,56.7,10 (0)
Jeremy Ruckert,NYJ,2025,offense,89,TE,17,496,195,50,0,251,56.5,55.0,51.6,-,59.0,3 (0)
Stone Smartt,NYJ,2025,offense,84,TE,8,84,56,7,0,21,56.0,60.3,22.4,-,49.6,0 (0)
Brandon Smith,NYJ,2025,offense,87,WR,1,8,3,0,0,5,55.8,56.0,-,-,60.6,0 (0)
Josh Myers,NYJ,2025,offense,71,C,17,"1,046",0,640,0,406,52.9,-,62.9,-,51.7,7 (1)
Braelon Allen,NYJ,2025,offense,00,HB,4,58,22,6,20,10,50.1,41.9,83.9,49.8,69.1,0 (0)
Allen Lazard,NYJ,2025,offense,10,WR,10,250,171,2,0,77,49.8,52.0,76.2,-,38.0,2 (0)
Arian Smith,NYJ,2025,offense,82,WR,16,378,257,1,4,116,48.4,48.8,65.6,61.5,54.3,2 (1)
Jelani Woods,NYJ,2025,offense,86,TE,4,60,20,4,0,36,47.3,49.7,73.0,-,48.7,0 (0)
Xavier Newman,NYJ,2025,offense,65,G,4,31,0,21,0,10,46.0,-,28.5,-,53.2,0 (0)
Brady Cook,NYJ,2025,offense,04,QB,5,295,184,0,7,104,32.4,32.7,-,50.4,60.0,1 (0)
