player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Joshua Uche,PHI,2025,defense,00,ED,9,244,87,142,15,86.0,69.5,73.9,84.3,73.7,23,1,1,21,0,15,6,1,4.5,12,0,2,1,50.0,5,5.0,1,5,0,0,0,56.3,1 (0),242,0,0,2,0,0,1,12,229
Zack Baun,PHI,2025,defense,53,LB,16,"1,039",403,76,560,82.7,70.7,62.7,80.4,83.9,16,4,2,10,0,83,31,15,11.6,41,1,61,40,65.6,281,7.0,164,20,2,2,4,73.2,1 (0),77,784,2,170,5,0,0,0,77
Jeremiah Trotter Jr.,PHI,2025,defense,54,LB,6,88,47,5,36,82.1,74.7,40.8,90.8,68.5,3,0,2,1,0,9,5,3,17.6,6,0,3,3,100.0,10,3.3,20,5,0,0,0,80.6,0 (0),0,81,0,7,0,0,0,0,0
Michael Carter II,PHI,2025,defense,35,CB,8,106,52,1,53,78.9,86.0,82.0,57.9,69.0,0,0,0,0,0,3,7,0,0.0,3,0,5,3,60.0,36,12.0,37,16,0,0,0,82.1,0 (0),9,29,15,52,1,0,0,0,9
Za'Darius Smith,PHI,2025,defense,52,ED,5,131,38,92,1,77.7,69.5,49.0,74.4,52.4,10,2,2,6,0,7,1,2,20.0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),131,0,0,0,0,0,4,8,119
Jaelan Phillips,PHI,2025,defense,50,ED,8,417,156,231,30,77.5,68.3,40.4,71.5,74.9,41,2,7,32,2,17,11,7,20.0,15,0,1,1,100.0,4,4.0,7,4,0,0,0,83.3,0 (0),408,2,0,7,0,0,7,7,394
Cooper DeJean,PHI,2025,defense,33,CB,16,"1,038",402,24,612,77.0,71.8,65.4,59.3,78.6,6,0,1,5,0,68,20,11,11.1,25,1,83,52,62.7,579,11.1,293,50,1,2,13,77.3,6 (4),27,126,1,657,226,0,0,0,27
Jihaad Campbell,PHI,2025,defense,30,LB,16,711,286,57,368,76.1,69.6,76.8,60.2,78.6,14,0,2,12,0,62,13,6,7.4,21,1,32,24,75.0,271,11.3,185,72,1,1,2,97.3,2 (0),150,514,2,41,3,0,0,0,150
Quinyon Mitchell,PHI,2025,defense,27,CB,16,986,376,0,610,74.4,65.3,56.3,-,74.5,0,0,0,0,0,36,7,7,14.0,7,0,82,36,43.9,389,10.8,98,34,0,0,7,58.4,6 (0),0,75,6,5,900,0,0,0,0
Moro Ojomo,PHI,2025,defense,97,DI,17,741,286,454,1,72.9,64.5,29.0,70.3,72.0,49,6,4,39,1,21,12,8,19.5,20,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),736,4,0,0,0,24,477,195,40
Jordan Davis,PHI,2025,defense,90,DI,17,686,306,380,0,72.7,71.6,45.1,62.6,61.7,27,5,1,21,6,51,19,9,11.4,41,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),685,1,0,0,0,187,494,4,0
Jalyx Hunt,PHI,2025,defense,58,ED,17,694,284,346,64,68.6,59.0,53.6,65.9,79.6,55,7,17,31,0,34,14,8,14.3,27,2,8,3,37.5,18,6.0,17,8,0,3,0,6.3,2 (0),664,2,0,27,0,0,8,56,600
Nolan Smith,PHI,2025,defense,03,ED,12,452,188,226,38,68.0,66.9,69.4,67.5,59.4,33,2,7,24,0,20,10,2,6.3,17,1,6,5,83.3,50,10.0,40,18,0,0,0,101.4,2 (0),440,3,0,8,0,0,4,20,416
Azeez Ojulari,PHI,2025,defense,13,ED,3,67,28,31,8,62.5,69.3,60.4,49.4,65.1,3,0,1,2,0,4,4,1,11.1,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),65,0,0,2,0,0,0,0,65
Nakobe Dean,PHI,2025,defense,17,LB,9,403,156,30,217,62.0,43.4,52.0,92.3,62.0,10,4,2,4,0,44,10,10,15.6,23,1,26,17,65.4,201,11.8,128,60,0,0,1,88.8,2 (0),2,388,0,12,1,0,0,0,2
Jalen Carter,PHI,2025,defense,98,DI,11,640,237,403,0,60.1,41.2,24.4,78.9,55.1,41,3,8,30,6,18,10,13,31.7,17,0,0,0,0,0,0,0,0,0.0,0,0,0,3 (0),635,4,0,0,0,29,402,145,59
Andre Sam,PHI,2025,defense,31,S,1,3,3,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,1,1,0,0,0,0,0
Sydney Brown,PHI,2025,defense,21,S,12,249,125,2,122,60.0,62.8,67.6,57.7,58.1,0,0,0,0,0,17,4,3,12.5,5,0,9,6,66.7,52,8.7,30,19,0,0,0,81.7,0 (0),2,71,164,12,0,0,0,0,2
Xavier Gipson,PHI,2025,defense,87,WR,1,1,1,0,0,59.9,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,0,0,0,0,0
Brandon Graham,PHI,2025,defense,55,ED,9,113,46,67,0,58.3,59.8,29.8,59.0,60.0,11,3,0,8,0,3,2,3,37.5,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),112,0,0,1,0,0,17,33,62
Andrew Mukuba,PHI,2025,defense,24,S,11,672,238,2,432,57.6,81.0,51.4,78.4,46.9,1,1,0,0,0,31,10,6,12.8,14,0,21,16,76.2,308,19.3,197,77,3,2,2,117.7,1 (1),0,119,487,66,0,0,0,0,0
Brandon Johnson,PHI,2025,defense,49,S,2,28,12,0,16,57.5,64.7,27.9,-,55.3,0,0,0,0,0,1,0,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,6,18,4,0,0,0,0,0
Parry Nickerson,PHI,2025,defense,34,CB,3,12,3,0,9,56.6,60.0,75.7,-,56.0,0,0,0,0,0,2,0,0,0.0,2,0,3,3,100.0,32,10.7,20,18,0,0,0,111.1,0 (0),0,2,2,7,1,0,0,0,0
Marcus Epps,PHI,2025,defense,39,S,7,250,101,0,149,56.3,77.6,82.1,-,49.4,0,0,0,0,0,17,2,1,5.0,6,0,6,6,100.0,79,13.2,29,36,0,0,0,118.8,1 (0),3,51,178,16,2,0,0,0,3
Kelee Ringo,PHI,2025,defense,07,CB,11,312,115,0,197,55.3,80.8,56.2,-,49.2,0,0,0,0,0,23,1,4,14.3,5,1,22,12,54.5,186,15.5,41,34,0,0,1,82.8,7 (0),2,25,1,3,280,0,0,0,2
Adoree' Jackson,PHI,2025,defense,08,CB,14,588,208,0,380,54.4,53.6,39.5,-,54.1,0,0,0,0,0,50,5,12,17.9,10,0,68,43,63.2,504,11.7,155,40,2,1,6,89.3,1 (0),3,28,0,3,553,0,0,0,3
Ty Robinson,PHI,2025,defense,95,DI,9,104,57,47,0,52.4,55.2,26.3,51.3,-,2,0,1,1,1,2,3,2,28.6,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),104,0,0,0,0,1,72,28,3
Byron Young,PHI,2025,defense,94,DI,17,338,197,141,0,49.0,48.0,59.8,57.6,63.1,11,3,2,6,0,20,15,3,7.9,13,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),338,0,0,0,0,37,256,40,5
Reed Blankenship,PHI,2025,defense,32,S,16,"1,009",393,3,613,46.6,73.9,69.2,67.8,33.0,0,0,0,0,1,66,14,11,12.1,20,1,38,27,71.1,317,11.7,70,49,3,1,1,111.4,1 (0),2,175,772,56,3,0,0,0,2
Patrick Johnson,PHI,2025,defense,48,ED,7,115,55,49,11,39.4,44.0,29.0,56.2,29.3,5,1,1,3,0,2,0,3,60.0,2,0,2,2,100.0,36,18.0,32,18,1,0,0,158.3,1 (0),113,0,0,2,0,0,2,9,102
Ogbo Okoronkwo,PHI,2025,defense,45,ED,1,4,2,2,0,39.1,60.0,25.0,56.5,60.0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),4,0,0,0,0,0,0,1,3
Mac McWilliams,PHI,2025,defense,22,CB,2,28,12,0,16,36.9,66.9,23.2,-,29.9,0,0,0,0,0,0,0,1,100.0,0,0,2,1,50.0,2,2.0,0,2,1,0,0,95.8,1 (0),1,4,0,16,7,0,0,0,1
Smael Mondon Jr.,PHI,2025,defense,42,LB,3,14,9,1,4,34.0,62.0,-,56.8,32.5,0,0,0,0,0,0,0,0,0,0,1,1,100.0,34,34.0,8,34,0,0,0,118.8,0,0 (0),0,11,0,3,0,0,0,0,0
Jakorian Bennett,PHI,2025,defense,23,CB,6,101,44,0,57,34.0,60.3,80.2,-,29.8,0,0,0,0,0,7,0,0,0.0,0,0,11,7,63.6,61,8.7,29,12,0,0,1,78.2,4 (0),1,15,0,2,83,0,0,0,1
Gabe Hall,PHI,2025,defense,96,DI,2,13,8,5,0,28.6,29.8,-,54.3,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),13,0,0,0,0,0,4,8,1
