player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Cameron Heyward,PIT,2025,defense,97,DI,17,822,311,507,4,90.4,84.3,75.3,84.9,67.4,50,4,6,40,5,52,20,2,2.7,41,1,0,0,0,0,0,0,0,0.0,0,0,0,4 (1),820,2,0,0,0,26,415,334,45
Nick Herbig,PIT,2025,defense,51,ED,15,610,208,352,50,86.8,71.4,48.3,87.2,68.7,47,8,13,26,0,14,6,7,25.9,20,2,10,8,80.0,89,11.1,44,24,0,1,2,64.2,3 (0),583,18,0,9,0,0,1,4,578
James Pierre,PIT,2025,defense,42,CB,10,377,142,0,235,85.4,59.1,34.4,-,88.1,0,0,0,0,0,21,6,7,20.6,8,0,33,14,42.4,142,10.1,73,25,1,1,9,52.8,0 (0),3,10,1,5,357,0,0,0,3
Alex Highsmith,PIT,2025,defense,56,ED,13,634,240,327,67,82.9,82.1,68.1,79.6,56.4,44,10,9,25,1,34,10,6,12.0,32,1,13,9,69.2,80,8.9,47,26,0,0,2,85.4,3 (0),625,5,0,4,0,0,0,2,623
T.J. Watt,PIT,2025,defense,90,ED,14,811,302,466,43,74.2,69.3,47.3,75.5,61.1,46,8,13,25,6,27,19,8,14.8,28,2,5,5,100.0,42,8.4,35,17,0,2,0,62.1,6 (0),805,3,0,3,0,0,0,2,803
Daniel Ekuale,PIT,2025,defense,96,DI,7,72,28,43,1,73.3,66.6,32.9,70.2,60.0,6,0,1,5,1,4,3,1,12.5,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),72,0,0,0,0,14,43,11,4
Cole Holcomb,PIT,2025,defense,55,LB,8,198,95,18,85,72.6,74.7,64.3,54.1,65.6,2,0,0,2,0,24,5,3,9.4,11,1,8,8,100.0,79,9.9,37,24,0,0,0,107.8,0 (0),12,174,0,9,3,0,0,0,12
Brandin Echols,PIT,2025,defense,26,CB,16,523,146,12,365,72.1,58.4,53.2,60.2,73.3,3,1,1,1,0,41,4,8,15.1,21,1,64,45,70.3,446,9.9,227,58,2,2,3,87.1,2 (0),12,40,3,321,146,0,0,0,12
Chuck Clark,PIT,2025,defense,21,S,12,437,156,3,278,70.3,83.1,71.1,56.5,63.4,1,0,1,0,0,35,8,6,12.2,12,1,23,18,78.3,235,13.1,98,42,2,0,3,138.2,1 (1),15,103,261,53,5,0,0,0,15
DeShon Elliott,PIT,2025,defense,25,S,5,281,84,13,184,68.0,79.0,69.1,78.3,60.7,3,1,2,0,0,24,12,4,10.0,6,1,18,13,72.2,173,13.3,113,59,1,1,1,97.7,1 (0),18,109,113,36,5,0,0,0,18
Joey Porter Jr.,PIT,2025,defense,24,CB,14,894,330,2,562,67.6,39.4,54.3,59.5,74.1,2,1,0,1,0,45,5,8,13.8,11,0,60,29,48.3,299,10.3,81,21,0,1,11,56.2,9 (3),3,89,0,41,761,0,0,0,3
Asante Samuel Jr.,PIT,2025,defense,22,CB,6,222,76,0,146,67.2,72.9,55.6,-,65.0,0,0,0,0,0,10,0,2,16.7,2,0,9,7,77.8,80,11.4,39,27,2,1,0,103.7,0 (0),1,12,0,2,207,0,0,0,1
