player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jaylen Warren,PIT,2025,offense,30,HB,16,489,220,37,215,17,81.4,84.4,70.7,76.6,54.1,0 (0)
Dylan Cook,PIT,2025,offense,60,T,5,291,0,187,0,104,76.0,-,80.7,-,67.4,1 (0)
Connor Heyward,PIT,2025,offense,83,TE,16,90,20,7,14,49,74.8,61.7,57.7,82.1,55.3,0 (0)
Isaac Seumalo,PIT,2025,offense,73,G,14,770,0,465,0,305,74.8,-,78.5,-,68.2,0 (0)
Kenneth Gainwell,PIT,2025,offense,14,HB,17,516,351,26,114,25,73.7,73.1,68.7,74.5,56.6,2 (0)
Zach Frazier,PIT,2025,offense,54,C,17,"1,028",0,634,0,394,73.5,-,74.7,-,71.6,3 (0)
D.K. Metcalf,PIT,2025,offense,04,WR,15,777,494,0,1,282,72.6,74.8,-,56.6,49.7,8 (0)
Darnell Washington,PIT,2025,offense,80,TE,16,546,224,55,0,267,71.0,65.1,68.4,-,73.1,1 (0)
Mason McCormick,PIT,2025,offense,66,G,17,"1,031",0,634,0,397,71.0,-,71.5,-,66.6,1 (0)
Ryan McCollum,PIT,2025,offense,62,C,3,8,0,2,0,6,69.0,-,72.7,-,67.6,0 (0)
Aaron Rodgers,PIT,2025,offense,08,QB,16,918,574,0,9,335,68.7,69.5,-,42.7,60.6,5 (0)
Pat Freiermuth,PIT,2025,offense,88,TE,17,522,353,10,0,159,67.4,68.5,76.7,-,53.8,3 (0)
Ben Skowronek,PIT,2025,offense,15,WR,16,159,58,4,0,97,67.4,61.9,76.0,-,78.2,0 (0)
Troy Fautanu,PIT,2025,offense,76,T,17,"1,031",0,634,0,397,66.6,-,70.9,-,56.3,3 (1)
Trey Sermon,PIT,2025,offense,37,HB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Jalen Ramsey,PIT,2025,offense,05,S,6,10,0,0,0,10,60.0,-,-,-,60.0,0 (0)
Cameron Heyward,PIT,2025,offense,97,DI,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Roman Wilson,PIT,2025,offense,10,WR,13,253,164,0,0,89,59.8,58.7,-,-,64.6,0 (0)
Scott Miller,PIT,2025,offense,13,WR,13,158,109,0,0,49,58.3,60.8,-,-,32.0,0 (0)
Adam Thielen,PIT,2025,offense,16,WR,5,202,132,1,0,69,58.2,60.2,62.3,-,34.6,0 (0)
Broderick Jones,PIT,2025,offense,77,T,11,632,0,380,0,252,57.7,-,59.0,-,50.6,1 (0)
Spencer Anderson,PIT,2025,offense,74,G,16,381,12,182,0,187,56.8,46.3,60.7,-,59.6,2 (0)
Calvin Anderson,PIT,2025,offense,67,T,1,23,0,15,0,8,56.1,-,42.8,-,62.5,0 (0)
Calvin Austin III,PIT,2025,offense,19,WR,14,446,326,0,0,120,54.8,55.7,-,-,53.9,2 (0)
Ke'Shawn Williams,PIT,2025,offense,85,WR,4,9,7,0,0,2,54.2,55.0,-,-,60.0,0 (0)
Mason Rudolph,PIT,2025,offense,02,QB,5,113,60,0,6,47,52.5,50.3,-,69.1,60.5,1 (0)
Andrus Peat,PIT,2025,offense,71,T,6,149,0,81,0,68,50.4,-,59.1,-,52.8,3 (0)
Marquez Valdes-Scantling,PIT,2025,offense,11,WR,5,198,153,0,0,45,47.4,49.2,-,-,34.6,1 (0)
Jonnu Smith,PIT,2025,offense,81,TE,17,536,327,18,9,182,46.9,49.7,54.5,68.0,42.7,5 (1)
Kaleb Johnson,PIT,2025,offense,20,HB,10,51,16,2,29,4,40.2,38.9,8.4,49.5,60.0,1 (0)
