player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Trent Williams,SF,2025,offense,71,T,16,996,0,593,0,403,91.5,-,79.9,-,92.8,4 (0)
George Kittle,SF,2025,offense,85,TE,11,554,301,30,1,222,90.8,91.2,72.2,56.6,71.2,1 (1)
Brock Purdy,SF,2025,offense,13,QB,9,576,336,0,15,225,90.0,86.1,-,83.3,60.0,3 (1)
Colton McKivitz,SF,2025,offense,68,T,17,"1,116",0,665,0,451,83.5,-,72.2,-,90.3,5 (0)
Christian McCaffrey,SF,2025,offense,23,HB,17,931,535,54,311,31,78.3,91.2,40.6,69.1,55.1,0 (0)
Mac Jones,SF,2025,offense,10,QB,11,545,329,0,28,188,77.1,76.0,-,65.5,60.1,3 (0)
Jake Tonges,SF,2025,offense,88,TE,16,398,245,19,0,134,75.7,72.7,57.1,-,73.8,1 (0)
Ricky Pearsall,SF,2025,offense,01,WR,9,480,302,0,2,176,73.5,75.3,-,54.4,47.6,1 (0)
Ben Bartch,SF,2025,offense,78,G,6,200,0,100,0,100,71.7,-,65.4,-,69.7,0 (0)
Jake Brendel,SF,2025,offense,64,C,15,950,0,577,0,373,70.4,-,59.0,-,74.1,4 (1)
Dominick Puni,SF,2025,offense,77,G,17,"1,119",0,664,0,455,70.2,-,63.8,-,69.1,4 (0)
Brian Robinson,SF,2025,offense,03,HB,17,190,71,6,93,20,69.9,63.0,41.3,69.4,60.6,0 (0)
Matt Hennessy,SF,2025,offense,61,C,6,172,0,88,0,84,68.8,-,63.4,-,68.3,0 (0)
Jauan Jennings,SF,2025,offense,15,WR,15,794,486,3,0,305,68.3,70.6,62.4,-,43.3,4 (0)
Skyy Moore,SF,2025,offense,09,WR,14,110,72,0,2,36,67.5,66.9,-,59.1,65.3,0 (0)
Luke Farrell,SF,2025,offense,89,TE,17,404,133,33,0,238,65.2,53.7,43.5,-,74.7,1 (0)
Demarcus Robinson,SF,2025,offense,05,WR,14,419,277,0,1,141,64.0,62.8,-,56.6,70.9,0 (0)
Kendrick Bourne,SF,2025,offense,84,WR,16,593,374,0,0,219,63.8,65.5,-,-,46.3,3 (1)
Jordan Watkins,SF,2025,offense,17,WR,4,25,15,0,0,10,61.3,60.8,-,-,60.3,0 (0)
Kyle Juszczyk,SF,2025,offense,44,FB,17,510,228,20,3,259,61.3,63.0,84.1,61.3,51.8,1 (0)
Jordan James,SF,2025,offense,29,HB,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Adrian Martinez,SF,2025,offense,04,QB,1,1,0,0,1,0,60.0,-,-,60.0,-,0 (0)
Spencer Burford,SF,2025,offense,74,G,10,458,0,266,0,192,58.9,-,48.5,-,62.6,2 (1)
Austen Pleasants,SF,2025,offense,62,T,5,125,0,72,0,53,56.7,-,48.7,-,59.0,0 (0)
Marquez Valdes-Scantling,SF,2025,offense,83,WR,5,141,89,0,0,52,55.7,55.9,-,-,52.4,0 (0)
Malik Turner,SF,2025,offense,81,WR,3,17,6,0,0,11,54.6,54.9,-,-,58.3,0 (0)
Brayden Willis,SF,2025,offense,82,TE,6,13,5,1,0,7,53.6,53.4,66.5,-,60.0,0 (0)
Russell Gage,SF,2025,offense,14,WR,1,28,20,0,0,8,51.2,51.6,-,-,58.2,0 (0)
Connor Colby,SF,2025,offense,75,G,10,451,0,281,0,170,50.7,66.9,33.7,-,62.5,4 (0)
Nick Zakelj,SF,2025,offense,63,G,2,23,0,19,0,4,39.8,-,26.5,-,48.6,0 (0)
