player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jamel Dean,TB,2025,defense,35,CB,14,661,214,4,443,80.6,63.5,73.7,99.9,75.9,2,1,1,0,0,38,6,4,8.3,10,2,54,25,46.3,311,12.4,105,56,1,3,1,47.7,4 (1),3,46,0,26,586,0,0,0,3
Antoine Winfield Jr.,TB,2025,defense,31,S,17,"1,038",353,65,620,74.4,60.5,90.4,82.4,74.3,15,1,3,11,0,74,17,4,4.2,20,1,34,23,67.6,308,13.4,95,53,2,2,6,91.3,0 (0),47,305,593,91,2,0,0,0,47
Yaya Diaby,TB,2025,defense,00,ED,17,783,263,453,67,72.1,67.2,44.6,76.9,42.8,62,9,10,43,1,30,13,11,20.4,33,1,10,9,90.0,73,8.1,62,20,0,0,0,97.1,3 (0),768,4,0,11,0,2,11,16,739
Vita Vea,TB,2025,defense,50,DI,17,764,246,502,16,71.8,60.8,30.0,77.0,56.9,51,4,8,39,3,22,11,9,21.4,21,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (1),761,3,0,0,0,118,576,63,4
Mohamed Kamara,TB,2025,defense,59,ED,3,5,2,2,1,69.1,60.0,-,68.4,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),5,0,0,0,0,0,0,0,5
Jacob Parrish,TB,2025,defense,25,CB,17,747,217,30,500,68.5,78.5,45.5,60.2,65.7,9,2,1,6,0,57,8,14,17.7,28,0,77,60,77.9,665,11.1,351,52,3,2,3,104.8,3 (0),3,119,1,496,127,0,0,0,3
John Bullock,TB,2025,defense,57,LB,2,6,6,0,0,68.1,63.3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,5,0,0,0,0,0,0,0
Kaevon Merriweather,TB,2025,defense,26,S,7,18,13,1,4,67.7,64.7,70.6,59.2,64.9,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),10,4,1,0,2,0,0,0,10
Logan Hall,TB,2025,defense,90,DI,17,611,245,361,5,66.8,66.0,34.6,65.5,63.2,32,2,4,26,1,25,11,9,20.0,17,1,0,0,0,0,0,0,0,0.0,0,0,0,4 (0),611,0,0,0,0,5,221,268,117
Tykee Smith,TB,2025,defense,23,S,16,892,278,34,580,65.8,72.6,68.9,87.9,56.8,7,2,2,3,3,73,22,11,10.4,24,0,38,27,71.1,382,14.1,190,63,3,1,6,118.5,1 (1),53,318,390,108,23,0,0,0,53
Anthony Nelson,TB,2025,defense,98,ED,15,387,145,184,58,65.5,51.9,50.5,71.9,59.1,23,3,1,19,1,19,13,4,11.1,12,1,10,9,90.0,106,11.8,73,26,1,1,0,104.6,0 (0),369,6,0,11,0,0,2,8,359
Zyon McCollum,TB,2025,defense,27,CB,13,766,267,4,495,63.9,69.9,64.8,51.4,61.9,0,0,0,0,0,57,3,7,10.4,20,1,70,40,57.1,446,11.2,112,54,5,1,6,94.1,1 (0),6,53,3,55,648,0,0,0,6
Anthony Walker Jr.,TB,2025,defense,03,LB,1,1,0,0,1,62.0,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
Rashad Wisdom,TB,2025,defense,38,S,1,3,0,0,3,61.3,-,-,-,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,3,0,0,0,0,0,0
Elijah Simmons,TB,2025,defense,92,DI,9,91,56,35,0,60.1,59.9,43.2,67.0,-,3,0,0,3,0,4,1,1,16.7,2,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (1),91,0,0,0,0,36,53,2,0
