player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Tristan Wirfs,TB,2025,offense,78,T,12,778,1,474,0,303,92.7,90.4,85.0,-,91.6,5 (1)
Rachaad White,TB,2025,offense,01,HB,17,575,328,80,134,33,80.9,67.1,58.2,87.2,63.4,0 (0)
Ko Kieft,TB,2025,offense,41,TE,3,29,4,3,0,22,80.1,54.6,73.1,-,83.6,0 (0)
Luke Goedeke,TB,2025,offense,67,T,11,676,0,416,0,260,75.7,-,78.9,-,72.8,7 (1)
Baker Mayfield,TB,2025,offense,06,QB,17,"1,100",681,0,12,407,70.0,64.8,-,86.8,60.1,5 (0)
Mike Evans,TB,2025,offense,13,WR,8,357,252,0,0,105,69.8,71.2,-,-,37.9,3 (0)
Chris Godwin,TB,2025,offense,14,WR,9,428,290,4,0,134,68.9,68.8,77.5,-,54.4,0 (0)
Bucky Irving,TB,2025,offense,07,HB,10,421,204,33,173,11,67.8,68.2,22.6,69.2,60.0,0 (0)
Emeka Egbuka,TB,2025,offense,02,WR,17,887,582,1,2,302,67.3,68.5,65.7,53.5,50.8,4 (1)
Jalen McMillan,TB,2025,offense,11,WR,4,138,86,0,1,51,66.3,67.5,-,59.2,50.5,0 (0)
Sean Tucker,TB,2025,offense,44,HB,15,177,60,15,91,11,66.1,50.3,23.0,70.8,60.4,0 (0)
Tez Johnson,TB,2025,offense,15,WR,16,496,317,1,5,173,63.5,64.3,62.4,50.9,58.4,1 (0)
Cody Mauch,TB,2025,offense,69,G,2,138,0,90,0,48,63.2,-,66.4,-,58.8,1 (0)
Ben Chukwuma,TB,2025,offense,70,T,5,151,0,97,0,54,62.4,-,59.9,-,64.8,1 (0)
Ryan Miller,TB,2025,offense,81,WR,12,124,33,3,0,88,62.3,59.7,75.2,-,64.0,1 (0)
Graham Barton,TB,2025,offense,62,C,17,"1,135",0,701,0,434,61.9,-,53.5,-,66.0,9 (4)
Sterling Shepard,TB,2025,offense,17,WR,13,495,379,3,4,109,61.6,62.8,78.1,66.8,38.0,2 (0)
Payne Durham,TB,2025,offense,87,TE,17,354,79,41,0,234,59.5,41.1,51.4,-,74.5,3 (0)
Vita Vea,TB,2025,offense,50,DI,2,2,0,0,0,2,59.5,-,-,-,58.9,0 (0)
Cade Otton,TB,2025,offense,88,TE,16,994,566,59,0,369,57.4,58.1,71.3,-,56.1,5 (0)
Kameron Johnson,TB,2025,offense,19,WR,14,105,44,0,2,59,56.1,55.8,-,59.7,55.6,0 (0)
Devin Culp,TB,2025,offense,82,TE,10,56,29,0,0,27,55.9,57.4,-,-,52.6,0 (0)
Dan Feeney,TB,2025,offense,65,G,11,668,0,399,0,269,54.1,-,60.1,-,49.2,1 (1)
Ben Bredeson,TB,2025,offense,68,G,11,622,0,384,0,238,53.4,-,76.0,-,44.2,3 (0)
Luke Haggard,TB,2025,offense,72,G,6,251,0,152,0,99,53.0,-,58.2,-,51.9,2 (0)
Owen Wright,TB,2025,offense,49,HB,3,7,1,1,3,2,51.0,60.0,73.0,52.8,60.0,0 (0)
Josh Williams,TB,2025,offense,18,HB,2,8,1,0,5,2,50.0,59.7,-,51.9,58.6,0 (0)
Michael Jordan,TB,2025,offense,60,G,11,718,0,464,0,254,49.6,-,71.1,-,39.2,2 (1)
Charlie Heck,TB,2025,offense,77,T,14,473,0,289,0,184,45.2,-,48.0,-,44.0,2 (0)
Teddy Bridgewater,TB,2025,offense,10,QB,4,35,20,0,2,13,43.8,44.0,-,57.5,60.0,0 (0)
Elijah Klein,TB,2025,offense,79,G,3,87,0,44,0,43,37.8,-,80.6,-,29.9,2 (0)
