player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Peter Skoronski,TEN,2025,offense,77,G,17,"1,055",0,694,0,361,79.0,-,84.5,-,73.2,4 (1)
Jeffery Simmons,TEN,2025,offense,98,DI,2,2,1,0,0,1,78.7,81.5,-,-,60.0,1 (0)
Tyjae Spears,TEN,2025,offense,02,HB,13,373,226,61,73,13,75.3,90.2,49.2,69.6,35.1,2 (1)
Kevin Zeitler,TEN,2025,offense,70,G,16,909,0,590,0,319,74.5,-,75.4,-,70.7,4 (0)
David Martin-Robinson,TEN,2025,offense,88,TE,15,133,30,8,0,95,73.0,77.8,57.2,-,62.9,0 (0)
Xavier Restrepo,TEN,2025,offense,87,WR,2,30,24,0,0,6,71.5,70.9,-,-,53.5,0 (0)
Corey Levin,TEN,2025,offense,62,C,14,195,2,109,0,84,71.3,54.9,74.0,-,69.0,0 (0)
Calvin Ridley,TEN,2025,offense,00,WR,7,250,171,0,0,79,67.8,66.7,-,-,66.4,1 (0)
Tony Pollard,TEN,2025,offense,20,HB,17,657,320,73,249,15,67.0,51.8,58.0,70.5,75.9,2 (1)
Gunnar Helm,TEN,2025,offense,84,TE,16,532,253,45,0,234,66.5,69.3,55.7,-,58.5,3 (1)
Kalel Mullings,TEN,2025,offense,31,HB,4,12,3,2,3,4,65.8,57.0,77.0,64.4,60.0,0 (0)
JC Latham,TEN,2025,offense,55,T,13,790,0,511,0,279,65.5,-,68.0,-,71.3,14 (1)
Jackson Slater,TEN,2025,offense,64,G,1,34,0,22,0,12,63.5,-,79.2,-,56.0,0 (0)
Dan Moore Jr.,TEN,2025,offense,75,T,16,948,0,621,0,327,62.0,-,62.5,-,59.1,7 (4)
Chimere Dike,TEN,2025,offense,17,WR,17,630,441,0,10,179,61.4,65.1,24.1,49.9,35.7,4 (1)
Elic Ayomanor,TEN,2025,offense,05,WR,16,787,533,0,0,254,61.0,63.4,-,-,32.2,2 (0)
Julius Chestnut,TEN,2025,offense,36,HB,10,40,19,3,11,7,60.8,52.2,26.3,71.1,40.4,0 (0)
Mason Kinsey,TEN,2025,offense,12,WR,10,67,46,0,0,21,60.5,60.2,-,-,58.3,0 (0)
Brandon Crenshaw-Dickson,TEN,2025,offense,78,T,3,18,0,7,0,11,60.5,-,16.8,-,69.7,0 (0)
Chigoziem Okonkwo,TEN,2025,offense,85,TE,17,666,452,35,0,179,59.9,67.1,60.5,-,27.9,3 (0)
Van Jefferson,TEN,2025,offense,11,WR,16,582,399,0,0,183,59.1,60.5,-,-,34.4,1 (0)
Cam Ward,TEN,2025,offense,01,QB,17,"1,006",662,0,15,329,58.4,56.4,-,70.1,60.4,3 (0)
Lloyd Cushenberry III,TEN,2025,offense,79,C,15,921,0,608,0,313,55.2,-,65.5,-,51.2,5 (1)
Olisaemeka Udoh,TEN,2025,offense,72,T,14,341,0,211,0,130,55.0,-,55.0,-,59.9,6 (1)
James Proche II,TEN,2025,offense,13,WR,9,172,120,0,0,52,54.4,55.8,-,-,52.0,2 (1)
Bryce Oliver,TEN,2025,offense,80,WR,3,30,22,0,0,8,52.8,52.9,-,-,60.9,0 (0)
Blake Hance,TEN,2025,offense,73,G,4,89,1,64,0,24,52.2,59.6,63.5,-,59.9,2 (1)
Tyler Lockett,TEN,2025,offense,04,WR,7,190,149,0,0,41,49.8,48.6,-,-,71.9,0 (0)
John Ojukwu,TEN,2025,offense,61,T,2,97,0,64,0,33,42.8,-,45.8,-,51.6,2 (0)
Brandon Allen,TEN,2025,offense,10,QB,1,49,32,0,0,17,36.4,37.1,-,-,60.0,0 (0)
