player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jacoby Jones,WAS,2025,offense,84,WR,1,11,3,0,0,8,92.1,88.1,-,-,86.4,0 (0)
Terry McLaurin,WAS,2025,offense,17,WR,10,433,284,0,0,149,86.5,87.0,-,-,54.8,2 (0)
Laremy Tunsil,WAS,2025,offense,78,T,14,802,0,491,0,311,84.7,-,88.9,-,75.3,8 (3)
Sam Cosmi,WAS,2025,offense,76,G,9,545,0,325,0,220,76.3,-,73.0,-,72.3,1 (0)
Jayden Daniels,WAS,2025,offense,05,QB,7,405,267,0,20,118,74.8,73.8,-,65.5,60.1,3 (0)
Chris Rodriguez Jr.,WAS,2025,offense,36,HB,13,255,94,23,112,26,73.4,54.3,47.7,78.4,42.9,1 (0)
Luke McCaffrey,WAS,2025,offense,11,WR,8,174,120,0,0,54,72.4,71.9,-,-,57.6,1 (0)
Marcus Mariota,WAS,2025,offense,08,QB,11,510,285,0,32,193,71.4,72.3,-,55.8,61.0,4 (0)
Tyler Biadasz,WAS,2025,offense,63,C,16,954,0,572,0,382,70.8,-,67.1,-,71.3,3 (0)
Tay Martin,WAS,2025,offense,13,WR,3,30,17,0,0,13,69.9,69.2,-,-,59.9,0 (0)
Jacory Croskey-Merritt,WAS,2025,offense,22,HB,17,406,151,39,181,35,69.6,43.4,44.3,75.4,50.1,0 (0)
Deebo Samuel,WAS,2025,offense,01,WR,16,713,479,1,18,215,69.3,70.2,61.8,58.8,53.6,5 (1)
Jeremy McNichols,WAS,2025,offense,26,HB,17,337,213,56,47,21,66.0,60.5,51.0,77.3,67.9,5 (2)
Brandon Coleman,WAS,2025,offense,74,T,12,390,1,221,0,168,64.6,60.0,60.9,-,69.0,5 (0)
Ben Sinnott,WAS,2025,offense,82,TE,16,341,113,15,0,213,62.9,62.9,41.1,-,63.6,3 (0)
Treylon Burks,WAS,2025,offense,13,WR,8,292,168,0,0,124,62.9,64.6,-,-,44.8,1 (0)
Robbie Chosen,WAS,2025,offense,12,WR,3,72,48,0,0,24,62.3,62.1,-,-,57.2,0 (0)
Trent Scott,WAS,2025,offense,73,T,8,82,0,18,0,64,61.7,-,75.4,-,61.4,1 (0)
Zach Ertz,WAS,2025,offense,86,TE,13,551,404,5,0,142,60.7,63.2,30.9,-,56.8,5 (0)
Lawrence Cager,WAS,2025,offense,89,TE,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Josh Conerly Jr.,WAS,2025,offense,72,T,17,"1,054",0,625,0,429,59.9,-,57.8,-,63.5,13 (4)
Jaylin Lane,WAS,2025,offense,83,WR,15,348,222,0,1,125,59.5,59.7,-,63.1,54.0,3 (2)
Chase Edmonds,WAS,2025,offense,38,HB,1,1,1,0,0,0,58.8,60.0,-,-,-,0 (0)
Noah Brown,WAS,2025,offense,85,WR,4,102,77,0,0,25,58.8,61.5,-,-,42.4,1 (0)
John Bates,WAS,2025,offense,87,TE,15,479,140,69,0,270,57.4,55.5,61.8,-,57.8,2 (0)
River Cracraft,WAS,2025,offense,88,WR,1,7,2,0,0,5,57.1,57.7,-,-,59.7,0 (0)
Austin Ekeler,WAS,2025,offense,30,HB,2,69,42,10,14,3,56.2,59.5,67.0,56.6,58.8,1 (0)
Chris Moore,WAS,2025,offense,19,WR,14,429,257,0,0,172,55.9,57.3,-,-,38.9,1 (1)
Ja'Corey Brooks,WAS,2025,offense,88,WR,1,7,3,0,0,4,54.7,57.1,-,-,55.8,0 (0)
Josh Johnson,WAS,2025,offense,14,QB,5,138,72,0,4,62,52.9,55.4,-,47.3,60.3,0 (0)
Chris Paul,WAS,2025,offense,75,G,16,926,0,536,0,390,49.5,-,77.4,-,38.2,2 (0)
Andrew Wylie,WAS,2025,offense,71,G,12,362,0,195,0,167,47.8,-,63.6,-,45.0,3 (1)
Nick Allegretti,WAS,2025,offense,67,G,7,260,0,160,0,100,42.3,-,46.6,-,45.1,3 (0)
Colson Yankoff,WAS,2025,offense,80,TE,14,108,48,3,0,57,41.6,49.3,19.7,-,47.0,2 (1)
