team,season,through,wins,losses,pf,pa,grade_overall,grade_off,grade_pass,grade_passblock,grade_recv,grade_run,grade_runblock,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_cov,grade_special
Arizona Cardinals,2026,wk01,1,0,26,14,76.3,75.9,81.5,68.7,73.0,66.6,64.3,65.2,42.6,50.3,67.8,71.0,81.6
Atlanta Falcons,2026,wk01,0,1,13,20,64.1,56.6,42.8,57.7,62.9,72.0,48.2,69.5,58.2,55.3,69.1,68.1,63.3
Baltimore Ravens,2026,wk01,1,0,41,23,82.3,81.1,75.9,40.1,76.8,72.4,82.8,71.9,43.6,71.2,63.2,85.0,52.6
Buffalo Bills,2026,wk01,2,0,77,62,74.1,80.8,76.4,67.6,77.0,75.1,70.2,55.3,53.7,52.0,79.1,41.6,87.4
Carolina Panthers,2026,wk01,0,1,37,59,69.0,82.6,78.0,84.4,75.2,72.9,75.1,50.6,35.0,42.9,68.0,61.1,52.1
Chicago Bears,2026,wk01,1,0,59,37,67.6,80.0,64.0,56.9,71.8,89.2,74.1,40.9,36.7,28.6,51.9,50.2,86.3
Cincinnati Bengals,2026,wk01,1,0,33,27,68.9,70.7,62.6,67.4,74.6,69.9,52.3,61.9,63.5,44.0,63.1,63.2,59.7
Cleveland Browns,2026,wk01,0,1,10,34,53.6,58.6,33.7,71.3,66.0,61.0,68.4,44.2,51.1,36.0,52.7,45.0,65.0
Dallas Cowboys,2026,wk01,0,1,20,28,58.8,66.4,77.6,58.0,58.3,67.3,64.0,52.4,57.8,50.6,64.9,48.5,45.0
Denver Broncos,2026,wk01,0,1,10,31,47.3,47.9,45.5,48.6,54.4,55.0,50.6,48.1,38.9,26.8,66.6,53.4,65.4
Detroit Lions,2026,wk01,1,1,62,71,71.9,73.3,76.7,54.5,72.4,71.6,63.3,61.7,61.8,89.9,74.5,51.0,72.4
Green Bay Packers,2026,wk01,0,1,22,39,60.0,64.3,53.0,37.7,78.6,62.1,58.7,53.6,59.4,76.9,72.3,50.4,58.6
Houston Texans,2026,wk01,0,1,31,36,72.3,73.7,65.6,71.3,70.4,79.8,63.8,63.3,77.9,55.7,67.0,49.8,49.9
Indianapolis Colts,2026,wk01,0,1,23,41,56.1,68.2,56.9,68.1,60.3,74.0,74.7,40.4,38.2,65.6,75.6,31.1,58.6
Jacksonville Jaguars,2026,wk01,1,0,34,10,83.5,89.3,87.1,84.7,86.4,85.0,62.9,64.1,64.1,49.4,62.5,60.4,59.0
Kansas City Chiefs,2026,wk01,1,0,31,10,75.8,68.8,56.2,54.1,58.4,90.1,63.1,79.4,67.3,64.9,76.5,75.4,41.3
Las Vegas Raiders,2026,wk01,1,0,27,13,73.1,67.3,47.0,80.5,67.7,66.8,65.7,72.1,70.0,47.2,77.6,62.5,60.3
Los Angeles Chargers,2026,wk01,0,1,14,26,59.8,59.3,53.2,70.1,67.0,59.8,50.6,61.1,61.4,54.4,60.9,57.5,54.5
Los Angeles Rams,2026,wk01,0,1,7,27,63.6,63.5,41.0,49.6,60.3,72.5,79.7,63.1,51.0,75.0,60.1,71.2,63.7
Miami Dolphins,2026,wk01,0,1,13,27,63.5,56.6,62.0,46.8,61.6,58.2,58.1,68.4,60.9,74.7,62.7,72.7,71.7
Minnesota Vikings,2026,wk01,1,0,39,22,67.8,66.0,55.4,66.4,72.3,65.0,56.2,60.9,72.1,64.5,80.5,35.9,72.4
New England Patriots,2026,wk01,0,1,10,13,65.1,63.9,50.7,83.7,61.9,62.6,62.0,59.3,58.1,64.9,75.5,49.8,70.4
New Orleans Saints,2026,wk01,0,1,30,31,73.8,73.4,76.1,51.0,78.0,58.2,53.0,63.2,50.6,60.9,65.8,72.8,74.6
New York Giants,2026,wk01,1,0,28,20,66.6,70.4,68.5,70.7,72.0,65.0,60.3,54.3,54.3,43.2,66.4,49.6,79.1
New York Jets,2026,wk01,1,0,23,10,80.1,76.8,88.4,81.6,64.3,67.7,72.8,72.8,69.9,79.1,62.1,73.4,74.9
Philadelphia Eagles,2026,wk01,1,0,24,22,75.9,76.0,75.6,71.5,70.1,75.0,65.9,65.1,58.4,60.5,57.4,69.1,72.8
Pittsburgh Steelers,2026,wk01,1,0,20,13,68.9,61.7,78.2,63.0,53.4,61.7,58.9,72.8,84.1,36.2,84.0,49.3,78.0
San Francisco 49ers,2026,wk01,1,0,27,7,69.3,67.9,58.4,74.5,64.2,73.4,62.0,65.4,50.5,79.2,64.8,71.7,72.6
Seattle Seahawks,2026,wk01,1,0,13,10,76.4,76.0,81.4,40.4,80.7,60.2,76.5,69.6,64.1,66.9,50.4,78.3,53.1
Tampa Bay Buccaneers,2026,wk01,0,1,27,33,63.3,59.6,55.1,73.5,61.4,68.5,50.0,65.7,61.9,61.1,62.2,69.1,56.5
Tennessee Titans,2026,wk01,0,1,10,23,54.6,60.2,52.8,65.3,60.6,63.9,58.1,51.1,48.5,62.2,52.0,56.0,67.3
Washington Commanders,2026,wk01,0,1,22,24,52.6,59.3,70.5,55.9,58.7,56.6,59.2,42.8,42.4,44.5,57.4,42.1,65.8
