player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jacoby Brissett,ARZ,2026-wk01,offense,07,QB,1,75,42,0,5,28,86.1,81.5,-,75.1,60.0,0 (0)
Kendrick Bourne,ARZ,2026-wk01,offense,17,WR,1,50,33,0,0,17,83.7,80.1,-,-,71.9,0 (0)
Trey McBride,ARZ,2026-wk01,offense,85,TE,1,60,37,1,0,22,81.6,81.8,69.8,-,57.3,0 (0)
Paris Johnson Jr.,ARZ,2026-wk01,offense,70,T,1,75,0,42,0,33,74.9,-,81.7,-,82.0,2 (0)
Simi Fehoko,ARZ,2026-wk01,offense,80,WR,1,6,1,0,0,5,69.6,59.0,-,-,66.7,0 (0)
Jon Gaines II,ARZ,2026-wk01,offense,71,G,1,75,0,42,0,33,69.6,-,76.5,-,64.2,0 (0)
Michael Wilson,ARZ,2026-wk01,offense,14,WR,1,64,39,0,0,25,69.3,68.7,-,-,59.5,0 (0)
Hunter Long,ARZ,2026-wk01,offense,89,TE,1,26,5,3,0,18,65.8,52.1,71.8,-,76.4,1 (0)
Jeremiyah Love,ARZ,2026-wk01,offense,04,HB,1,32,15,3,11,3,60.6,37.4,51.2,69.9,60.0,0 (0)
Hayden Conner,ARZ,2026-wk01,offense,58,G,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Bam Knight,ARZ,2026-wk01,offense,20,HB,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Jalen Brooks,ARZ,2026-wk01,offense,86,WR,1,4,1,0,0,3,59.6,59.7,-,-,60.0,0 (0)
Hjalte Froholdt,ARZ,2026-wk01,offense,72,C,1,75,0,42,0,33,56.5,-,42.1,-,59.5,1 (0)
Tyler Allgeier,ARZ,2026-wk01,offense,22,HB,1,44,16,10,17,1,56.2,57.7,75.4,54.7,60.0,0 (0)
Marvin Harrison Jr.,ARZ,2026-wk01,offense,18,WR,1,59,37,0,0,22,54.6,54.2,-,-,60.3,0 (0)
Jayden Williams,ARZ,2026-wk01,offense,66,T,1,7,0,4,0,3,53.4,-,73.6,-,51.4,0 (0)
Isaac Seumalo,ARZ,2026-wk01,offense,73,G,1,72,0,42,0,30,51.4,-,38.6,-,55.5,0 (0)
Elijah Wilkinson,ARZ,2026-wk01,offense,65,T,1,75,0,42,0,33,50.3,-,65.6,-,44.9,1 (0)
Elijah Higgins,ARZ,2026-wk01,offense,84,TE,1,20,4,1,0,15,49.1,53.4,70.2,-,51.5,0 (0)
