player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
CJ Henderson,ATL,2026-wk01,defense,26,CB,1,6,0,0,6,90.4,-,72.8,-,89.7,0,0,0,0,0,1,0,0,0.0,0,0,2,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),0,0,0,0,5,0,0,0,0
Za'Darius Smith,ATL,2026-wk01,defense,55,ED,1,16,1,14,1,83.9,64.8,73.0,65.1,60.0,2,2,0,0,0,1,0,0,0.0,3,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),16,0,0,0,0,0,0,0,16
Sydney Brown,ATL,2026-wk01,defense,29,S,1,30,11,2,17,72.7,74.3,80.2,57.6,67.8,1,0,1,0,0,6,1,0,0.0,4,0,3,3,100.0,10,3.3,17,9,0,0,0,80.6,0 (0),0,10,0,19,0,0,0,0,0
Gervon Dexter Sr.,ATL,2026-wk01,defense,95,DI,1,40,14,25,1,72.1,66.5,69.6,67.1,60.0,2,0,0,2,0,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),39,0,0,0,0,0,27,12,0
Cameron Thomas,ATL,2026-wk01,defense,99,ED,1,34,15,18,1,72.1,55.5,35.4,60.5,88.5,2,0,1,1,0,1,0,1,50.0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,0,0,0,34
Harold Perkins Jr.,ATL,2026-wk01,defense,56,LB,1,24,1,6,17,71.3,60.0,73.2,49.5,75.1,0,0,0,0,0,1,0,0,0.0,1,0,1,1,100.0,2,2.0,2,2,0,0,0,79.2,0 (0),1,20,0,2,0,0,0,0,1
Brandon Dorlus,ATL,2026-wk01,defense,54,DI,1,42,16,26,0,70.8,65.1,37.8,67.0,-,3,0,0,3,0,3,0,1,25.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,0,6,23,12
Kendal Daniels,ATL,2026-wk01,defense,53,LB,1,45,20,2,23,70.5,66.5,27.6,58.2,67.6,0,0,0,0,0,4,0,2,33.3,2,0,1,1,100.0,4,4.0,9,4,0,0,0,83.3,0 (0),9,36,0,0,0,0,0,0,9
Yasir Abdullah,ATL,2026-wk01,defense,22,LB,1,2,0,2,0,69.2,-,-,68.3,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),2,0,0,0,0,0,0,0,2
Jessie Bates III,ATL,2026-wk01,defense,03,S,1,67,21,1,45,68.1,41.9,85.0,59.1,72.8,0,0,0,0,0,3,3,0,0.0,1,0,2,2,100.0,8,4.0,17,7,0,0,0,83.3,0 (0),0,26,34,7,0,0,0,0,0
Avieon Terrell,ATL,2026-wk01,defense,12,CB,1,23,1,0,22,68.0,60.0,73.0,-,68.1,0,0,0,0,0,1,0,0,0.0,1,0,2,1,50.0,4,4.0,10,4,0,0,0,56.3,0 (0),0,0,0,23,0,0,0,0,0
Jared Ivey,ATL,2026-wk01,defense,51,ED,1,18,5,13,0,67.6,71.9,71.2,56.1,-,0,0,0,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,0,0,4,14
LaCale London,ATL,2026-wk01,defense,94,DI,1,35,11,24,0,66.5,66.0,69.0,60.4,-,1,0,0,1,0,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,9,24,1,0
