player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Bijan Robinson,ATL,2026-wk01,offense,07,HB,1,46,22,1,22,1,76.4,84.1,73.0,68.4,60.0,0 (0)
Drake London,ATL,2026-wk01,offense,05,WR,1,59,27,0,1,31,71.5,70.0,-,62.8,61.4,0 (0)
Chris Lindstrom,ATL,2026-wk01,offense,63,G,1,51,0,26,0,25,70.6,-,49.3,-,72.3,1 (0)
Brian Robinson,ATL,2026-wk01,offense,15,HB,1,15,3,2,9,1,70.4,57.0,78.0,69.0,60.0,0 (0)
Austin Hooper,ATL,2026-wk01,offense,81,TE,1,14,6,0,0,8,63.7,52.9,-,-,67.5,0 (0)
Matthew Bergeron,ATL,2026-wk01,offense,65,G,1,60,0,28,0,32,63.6,-,59.0,-,68.8,2 (1)
Chris Blair,ATL,2026-wk01,offense,19,WR,1,10,3,0,0,7,62.8,56.8,-,-,71.6,0 (0)
Jahan Dotson,ATL,2026-wk01,offense,04,WR,1,38,20,0,0,18,60.2,60.4,-,-,55.5,0 (0)
Mike Jerrell,ATL,2026-wk01,offense,72,T,1,2,0,0,0,2,59.7,-,-,-,57.3,0 (0)
Kyle Hinton,ATL,2026-wk01,offense,68,G,1,9,0,2,0,7,56.9,-,75.1,-,55.6,0 (0)
Olamide Zaccheaus,ATL,2026-wk01,offense,14,WR,1,18,10,1,0,7,56.3,55.7,62.3,-,57.9,0 (0)
Zachariah Branch,ATL,2026-wk01,offense,17,WR,1,18,7,0,0,11,54.5,54.6,-,-,58.4,0 (0)
Nick Muse,ATL,2026-wk01,offense,87,TE,1,5,0,1,0,4,54.3,-,70.2,-,54.0,0 (0)
Charlie Woerner,ATL,2026-wk01,offense,89,TE,1,37,12,3,0,22,52.7,49.6,76.8,-,54.5,0 (0)
Ryan Neuzil,ATL,2026-wk01,offense,64,C,1,60,0,28,0,32,51.2,-,59.6,-,49.8,0 (0)
Cooper Rush,ATL,2026-wk01,offense,13,QB,1,60,28,0,0,32,43.7,42.8,-,-,60.0,0 (0)
Jawaan Taylor,ATL,2026-wk01,offense,71,T,1,60,0,28,0,32,43.3,-,67.6,-,29.7,1 (1)
Kyle Pitts,ATL,2026-wk01,offense,08,TE,1,38,22,0,0,16,41.0,49.8,-,-,31.3,0 (0)
Jake Matthews,ATL,2026-wk01,offense,70,T,1,60,0,28,0,32,40.9,-,40.3,-,40.0,1 (0)
