player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Zay Flowers,BAL,2026-wk01,offense,04,WR,1,20,11,0,0,9,93.7,94.0,-,-,58.6,0 (0)
Lamar Jackson,BAL,2026-wk01,offense,08,QB,1,68,33,0,4,31,83.1,75.9,-,81.0,60.0,0 (0)
Chris Moore,BAL,2026-wk01,offense,17,WR,1,25,8,0,0,17,81.8,79.6,-,-,69.4,0 (0)
Matthew Hibner,BAL,2026-wk01,offense,88,TE,1,23,6,0,0,17,81.0,77.5,-,-,70.5,0 (0)
Carson Vinson,BAL,2026-wk01,offense,76,T,1,7,0,2,0,5,74.2,-,71.0,-,69.0,0 (0)
Vega Ioane,BAL,2026-wk01,offense,71,G,1,68,0,33,0,35,73.0,-,44.2,-,76.0,2 (0)
Derrick Henry,BAL,2026-wk01,offense,22,HB,1,37,5,6,25,1,71.7,74.3,78.6,68.2,60.0,0 (0)
Roger Rosengarten,BAL,2026-wk01,offense,70,T,1,68,0,33,0,35,69.2,-,61.1,-,70.7,0 (0)
Mark Andrews,BAL,2026-wk01,offense,89,TE,1,49,26,2,0,21,69.0,66.7,73.1,-,75.0,1 (0)
John Simpson,BAL,2026-wk01,offense,74,G,1,68,0,33,0,35,67.8,-,47.1,-,70.0,1 (1)
Durham Smythe,BAL,2026-wk01,offense,80,TE,1,42,9,4,0,29,67.4,53.0,77.3,-,71.7,0 (0)
Jovaughn Gwyn,BAL,2026-wk01,offense,54,C,1,68,0,33,0,35,66.4,-,0.0,-,88.2,1 (0)
Ja'Kobi Lane,BAL,2026-wk01,offense,06,WR,1,27,18,0,0,9,61.7,61.6,-,-,57.6,0 (0)
Rashod Bateman,BAL,2026-wk01,offense,07,WR,1,53,29,0,0,24,58.7,58.6,-,-,56.9,0 (0)
Ronnie Stanley,BAL,2026-wk01,offense,79,T,1,68,0,33,0,35,56.3,-,69.6,-,53.9,2 (0)
LaJohntay Wester,BAL,2026-wk01,offense,10,WR,1,20,14,0,0,6,55.9,56.1,-,-,58.6,0 (0)
Josh Cuevas,BAL,2026-wk01,offense,85,TE,1,6,3,0,0,3,55.6,55.6,-,-,60.0,0 (0)
Justice Hill,BAL,2026-wk01,offense,43,HB,1,31,18,4,6,3,52.3,61.1,32.7,57.2,60.0,2 (1)
