player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jalen Coker,CAR,2026-wk01,offense,18,WR,1,57,42,0,0,15,89.3,88.9,-,-,74.4,1 (0)
Jonathon Brooks,CAR,2026-wk01,offense,25,HB,1,13,5,3,5,0,87.3,93.1,78.2,67.9,-,0 (0)
Damien Lewis,CAR,2026-wk01,offense,68,G,1,66,0,45,0,21,82.3,-,80.7,-,78.7,0 (0)
Rasheed Walker,CAR,2026-wk01,offense,63,T,1,68,0,46,0,22,82.1,-,88.6,-,81.8,1 (0)
Bryce Young,CAR,2026-wk01,offense,09,QB,1,61,44,0,0,17,80.7,78.0,-,66.4,60.0,0 (0)
Darren Waller,CAR,2026-wk01,offense,88,TE,1,24,19,1,0,4,78.5,76.9,68.4,-,59.9,1 (0)
Tommy Tremble,CAR,2026-wk01,offense,82,TE,1,38,19,2,0,17,75.8,69.9,70.2,-,71.7,0 (0)
AJ Dillon,CAR,2026-wk01,offense,28,HB,1,7,2,0,5,0,74.1,57.8,-,72.3,-,0 (0)
Corey Bullock,CAR,2026-wk01,offense,67,G,1,9,0,3,0,6,71.9,-,74.2,-,68.8,0 (0)
Kenny Pickett,CAR,2026-wk01,offense,12,QB,1,7,2,0,0,5,68.9,60.0,-,63.3,60.0,0 (0)
Luke Fortner,CAR,2026-wk01,offense,77,C,1,61,0,44,0,17,68.6,-,65.7,-,69.1,0 (0)
Chuba Hubbard,CAR,2026-wk01,offense,30,HB,1,48,27,9,12,0,65.9,67.8,83.0,61.5,-,0 (0)
Monroe Freeling,CAR,2026-wk01,offense,57,T,1,61,0,44,0,17,65.8,-,62.0,-,77.5,1 (0)
Mitchell Evans,CAR,2026-wk01,offense,84,TE,1,27,11,4,0,12,64.7,64.9,76.8,-,57.0,0 (0)
Tetairoa McMillan,CAR,2026-wk01,offense,04,WR,1,56,41,0,0,15,60.8,60.3,-,-,62.5,0 (0)
Sam Hecht,CAR,2026-wk01,offense,75,C,1,7,0,2,0,5,59.4,-,70.0,-,58.4,0 (0)
Stone Forsythe,CAR,2026-wk01,offense,73,T,1,10,0,3,0,7,59.4,-,44.7,-,60.9,0 (0)
Brycen Tremayne,CAR,2026-wk01,offense,87,WR,1,12,7,0,0,5,54.6,54.8,-,-,60.8,0 (0)
Robert Hunt,CAR,2026-wk01,offense,50,G,1,61,0,44,0,17,54.3,-,78.4,-,50.3,1 (0)
Jimmy Horn Jr.,CAR,2026-wk01,offense,15,WR,1,14,7,0,0,7,52.9,53.2,-,-,59.0,0 (0)
Feleipe Franks,CAR,2026-wk01,offense,81,TE,1,5,2,0,0,3,50.5,56.4,-,-,54.7,0 (0)
Xavier Legette,CAR,2026-wk01,offense,17,WR,1,36,28,0,0,8,41.6,45.8,-,-,33.0,0 (0)
