player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Cam Lewis,CHI,2026-wk01,defense,21,S,1,65,20,4,41,71.6,71.4,82.3,54.9,67.9,0,0,0,0,0,6,0,0,0.0,3,0,2,2,100.0,20,10.0,3,14,0,0,0,108.3,0 (0),1,15,35,13,1,0,0,0,1
Malik Muhammad,CHI,2026-wk01,defense,24,CB,1,52,13,0,39,65.0,47.2,25.3,-,69.4,0,0,0,0,0,2,1,3,50.0,0,0,9,5,55.6,67,13.4,48,18,0,1,1,39.8,0 (0),0,8,0,36,8,0,0,0,0
Elijah Hicks,CHI,2026-wk01,defense,22,S,1,9,3,0,6,65.0,60.0,-,-,64.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),3,2,2,1,1,0,0,0,3
Grady Jarrett,CHI,2026-wk01,defense,50,DI,1,44,14,29,1,65.0,65.2,37.3,62.2,59.5,4,0,1,3,0,2,1,1,25.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),44,0,0,0,0,2,31,11,0
Skyler Thomas,CHI,2026-wk01,defense,38,S,1,3,2,0,1,63.3,60.0,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),3,0,0,0,0,0,0,0,3
Dillon Thieneman,CHI,2026-wk01,defense,31,S,1,68,22,2,44,60.2,61.4,62.4,55.6,59.9,1,0,1,0,0,6,1,1,12.5,1,0,3,2,66.7,22,11.0,9,11,0,0,0,88.2,0 (0),3,20,37,7,1,0,0,0,3
Devin Bush,CHI,2026-wk01,defense,12,LB,1,65,20,9,36,56.4,42.0,50.4,50.3,69.2,2,0,1,1,0,3,3,1,14.3,0,0,2,1,50.0,3,3.0,3,3,0,0,0,56.3,0 (0),5,49,0,10,1,0,0,0,5
Daniel Hardy,CHI,2026-wk01,defense,92,ED,1,7,2,5,0,54.7,60.0,-,53.3,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),7,0,0,0,0,0,0,1,6
Austin Booker,CHI,2026-wk01,defense,94,ED,1,40,9,29,2,54.5,56.5,71.2,53.9,61.5,3,0,0,3,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),40,0,0,0,0,0,0,2,38
Kentavius Street,CHI,2026-wk01,defense,93,DI,1,29,13,16,0,51.8,50.1,70.5,60.3,-,1,1,0,0,0,1,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,5,21,3,0
Dayo Odeyingbo,CHI,2026-wk01,defense,55,ED,1,43,13,30,0,47.4,58.2,69.2,62.9,-,5,0,1,4,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),43,0,0,0,0,0,5,11,27
Montez Sweat,CHI,2026-wk01,defense,98,ED,1,43,14,28,1,45.0,44.7,71.4,59.5,60.0,5,1,0,4,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),43,0,0,0,0,0,0,2,41
Jaylon Johnson,CHI,2026-wk01,defense,01,CB,1,65,20,1,44,44.8,66.7,36.7,60.0,41.5,0,0,0,0,0,2,1,1,25.0,0,1,7,5,71.4,127,25.4,38,48,0,0,0,113.7,0 (0),0,1,0,2,62,0,0,0,0
D'Marco Jackson,CHI,2026-wk01,defense,48,LB,1,20,11,4,5,41.5,39.8,73.5,54.6,63.8,0,0,0,0,0,2,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),10,8,0,2,0,0,0,0,10
Neville Gallimore,CHI,2026-wk01,defense,90,DI,1,29,11,17,1,40.0,43.6,68.7,52.9,59.5,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,8,19,2,0
Jordan van den Berg,CHI,2026-wk01,defense,96,DI,1,22,10,12,0,39.3,50.1,26.3,54.3,60.0,0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),22,0,0,0,0,6,15,1,0
Tyrique Stevenson,CHI,2026-wk01,defense,29,CB,1,54,16,1,37,36.8,38.4,30.0,60.0,39.1,0,0,0,0,0,7,1,3,27.3,1,0,5,4,80.0,77,19.3,20,51,2,0,0,158.3,0 (0),0,3,0,3,48,0,0,0,0
James Lynch,CHI,2026-wk01,defense,97,DI,1,22,7,15,0,36.6,48.9,71.4,50.8,60.0,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),22,0,0,0,0,0,1,8,13
T.J. Edwards,CHI,2026-wk01,defense,53,LB,1,68,22,9,37,32.2,48.3,22.3,49.8,36.1,0,0,0,0,0,0,1,4,80.0,0,0,4,4,100.0,45,11.3,36,29,1,0,0,153.1,0 (0),1,67,0,0,0,0,0,0,1
