player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
D'Andre Swift,CHI,2026-wk01,offense,04,HB,1,43,10,9,21,3,90.7,65.1,22.0,90.9,60.0,0 (0)
Kalif Raymond,CHI,2026-wk01,offense,14,WR,1,45,23,0,0,22,90.2,86.8,-,-,84.2,0 (0)
Jonah Jackson,CHI,2026-wk01,offense,73,G,1,75,0,40,0,35,85.7,-,88.7,-,79.1,0 (0)
Cole Kmet,CHI,2026-wk01,offense,85,TE,1,43,19,2,0,22,84.6,80.3,39.5,-,75.4,0 (0)
Darnell Wright,CHI,2026-wk01,offense,58,T,1,75,0,40,0,35,84.0,-,69.5,-,88.5,0 (0)
Kyle Monangai,CHI,2026-wk01,offense,25,HB,1,32,16,5,10,1,74.1,63.6,46.2,76.2,60.0,0 (0)
Theo Benedet,CHI,2026-wk01,offense,79,T,1,19,0,6,0,13,69.1,-,81.4,-,64.7,0 (0)
Caleb Williams,CHI,2026-wk01,offense,18,QB,1,75,40,0,3,32,64.6,64.0,-,64.8,60.3,1 (0)
Braxton Jones,CHI,2026-wk01,offense,70,T,1,56,0,34,0,22,63.3,-,51.9,-,67.9,0 (0)
Jahdae Walker,CHI,2026-wk01,offense,09,WR,1,34,17,0,0,17,62.8,60.6,-,-,66.9,0 (0)
Luther Burden III,CHI,2026-wk01,offense,10,WR,1,55,29,0,1,25,62.3,64.5,-,56.6,54.9,0 (0)
Joe Thuney,CHI,2026-wk01,offense,62,G,1,75,0,40,0,35,60.2,-,63.8,-,57.7,0 (0)
Rome Odunze,CHI,2026-wk01,offense,15,WR,1,36,23,0,0,13,59.2,65.0,-,-,30.3,1 (0)
Kaden Davis,CHI,2026-wk01,offense,81,WR,1,10,2,0,0,8,57.7,57.8,-,-,60.3,0 (0)
Sam Roush,CHI,2026-wk01,offense,87,TE,1,12,5,2,0,5,53.8,54.5,39.5,-,61.0,0 (0)
Colston Loveland,CHI,2026-wk01,offense,84,TE,1,65,36,2,0,27,51.6,47.4,23.7,-,66.5,1 (0)
Garrett Bradbury,CHI,2026-wk01,offense,67,C,1,75,0,40,0,35,49.9,-,43.5,-,51.3,1 (0)
