player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Boye Mafe,CIN,2026-wk01,defense,53,ED,1,37,9,26,2,86.5,87.0,36.0,70.0,62.9,4,1,0,3,0,0,0,1,100.0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),37,0,0,0,0,0,0,0,37
Barrett Carter,CIN,2026-wk01,defense,49,LB,1,57,18,3,36,80.5,58.9,35.6,68.8,81.2,1,1,0,0,0,8,1,3,25.0,4,1,3,3,100.0,25,8.3,41,22,0,0,0,101.4,0 (0),1,52,0,4,0,0,0,0,1
Dexter Lawrence,CIN,2026-wk01,defense,97,DI,1,35,10,25,0,77.6,69.6,22.5,71.1,-,3,0,1,2,0,0,0,2,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),35,0,0,0,0,22,11,2,0
Jalen Davis,CIN,2026-wk01,defense,35,CB,1,45,13,1,31,70.6,91.1,62.7,60.0,60.9,0,0,0,0,0,2,3,1,16.7,2,0,6,5,83.3,40,8.0,16,13,0,0,1,94.4,0 (0),0,2,0,42,1,0,0,0,0
Cedric Johnson,CIN,2026-wk01,defense,52,ED,1,19,8,11,0,67.6,73.5,70.5,52.5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),19,0,0,0,0,0,0,0,19
Bryan Cook,CIN,2026-wk01,defense,06,S,1,57,18,0,39,66.1,53.6,61.2,-,67.0,0,0,0,0,0,6,0,1,14.3,1,1,1,1,100.0,11,11.0,11,11,0,0,0,112.5,0 (0),0,15,40,1,1,0,0,0,0
Dax Hill,CIN,2026-wk01,defense,23,CB,1,57,18,0,39,66.0,84.4,80.8,-,58.4,0,0,0,0,0,7,0,0,0.0,2,0,4,3,75.0,29,9.7,11,16,0,0,0,94.8,0 (0),0,8,0,6,43,0,0,0,0
DJ Ivey,CIN,2026-wk01,defense,38,CB,1,6,2,0,4,64.1,60.0,-,-,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,1,0,4,0,0,0,0
Kris Jenkins,CIN,2026-wk01,defense,90,DI,1,8,4,4,0,63.7,58.1,66.8,66.6,-,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),8,0,0,0,0,0,6,1,1
Oren Burks,CIN,2026-wk01,defense,42,LB,1,3,0,0,3,62.6,-,-,-,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,3,0,0,0,0,0,0,0
DJ Turner II,CIN,2026-wk01,defense,00,CB,1,56,18,0,38,61.2,54.5,79.2,-,62.3,0,0,0,0,0,3,1,0,0.0,1,0,3,2,66.7,21,10.5,21,17,0,0,0,86.8,0 (0),0,6,0,2,48,0,0,0,0
Demetrius Knight Jr.,CIN,2026-wk01,defense,44,LB,1,51,18,2,31,57.2,44.9,27.3,54.8,66.8,0,0,0,0,0,6,1,3,30.0,1,0,6,5,83.3,38,7.6,39,13,0,0,0,93.1,0 (0),2,43,0,5,1,0,0,0,2
Cashius Howell,CIN,2026-wk01,defense,55,ED,1,25,9,16,0,55.3,65.2,-,60.8,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),25,0,0,0,0,0,0,0,25
T.J. Slaton,CIN,2026-wk01,defense,98,DI,1,21,7,14,0,50.6,59.9,66.8,52.6,61.1,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),21,0,0,0,0,8,12,1,0
Myles Murphy,CIN,2026-wk01,defense,99,ED,1,34,10,23,1,48.5,37.4,72.8,60.3,60.0,2,1,1,0,0,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,0,0,0,34
Jonathan Allen,CIN,2026-wk01,defense,93,DI,1,32,8,24,0,39.6,58.6,38.2,57.5,60.0,2,1,0,1,0,1,2,1,25.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,2 (0),32,0,0,0,0,0,24,8,0
Jordan Battle,CIN,2026-wk01,defense,27,S,1,56,18,0,38,39.3,39.0,57.3,-,47.6,0,0,0,0,0,5,1,1,14.3,1,0,4,4,100.0,52,13.0,31,30,0,0,0,118.8,0 (0),0,13,34,8,1,0,0,0,0
B.J. Hill,CIN,2026-wk01,defense,92,DI,1,24,9,15,0,33.1,43.3,-,56.8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1 (0),24,0,0,0,0,1,16,6,1
Tacario Davis,CIN,2026-wk01,defense,20,CB,1,4,1,0,3,30.2,60.0,-,-,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1 (0),0,2,0,1,1,0,0,0,0
