player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Mike Gesicki,CIN,2026-wk01,offense,88,TE,1,21,17,0,0,4,90.1,87.5,-,-,60.5,0 (0)
Tee Higgins,CIN,2026-wk01,offense,05,WR,1,46,31,0,0,15,76.8,73.9,-,-,77.6,0 (0)
Dohnte Meyers,CIN,2026-wk01,offense,81,WR,1,10,6,0,1,3,74.6,69.5,-,63.1,60.0,0 (0)
Chase Brown,CIN,2026-wk01,offense,30,HB,1,46,20,6,16,4,71.9,75.8,80.2,68.2,60.0,0 (0)
Samaje Perine,CIN,2026-wk01,offense,34,HB,1,18,7,3,5,3,66.6,90.7,26.0,56.9,60.0,0 (0)
Joe Burrow,CIN,2026-wk01,offense,09,QB,1,64,38,0,4,22,66.2,62.6,-,69.6,60.0,0 (0)
Amarius Mims,CIN,2026-wk01,offense,71,T,1,64,0,38,0,26,65.9,-,84.1,-,49.8,0 (0)
Drew Sample,CIN,2026-wk01,offense,89,TE,1,42,14,6,0,22,61.0,68.2,31.4,-,58.0,0 (0)
Jacob Bayer,CIN,2026-wk01,offense,69,C,1,1,0,0,0,1,60.0,-,-,-,64.4,0 (0)
Tahj Brooks,CIN,2026-wk01,offense,25,HB,1,2,1,1,0,0,60.0,59.9,72.4,-,-,0 (0)
Orlando Brown Jr.,CIN,2026-wk01,offense,75,T,1,64,0,38,0,26,59.4,-,68.4,-,48.8,0 (0)
Ted Karras,CIN,2026-wk01,offense,64,C,1,64,0,38,0,26,59.4,-,60.9,-,58.1,0 (0)
Dalton Risner,CIN,2026-wk01,offense,66,G,1,64,0,38,0,26,59.1,-,83.9,-,49.5,0 (0)
Andrei Iosivas,CIN,2026-wk01,offense,80,WR,1,39,27,0,0,12,57.2,56.9,-,-,60.6,0 (0)
Tanner Hudson,CIN,2026-wk01,offense,87,TE,1,6,4,0,0,2,56.4,57.0,-,-,60.0,0 (0)
Ja'Marr Chase,CIN,2026-wk01,offense,01,WR,1,60,37,0,0,23,55.7,55.3,-,-,60.7,0 (0)
Colbie Young,CIN,2026-wk01,offense,86,WR,1,9,3,0,0,6,53.7,55.0,-,-,55.4,0 (0)
Dylan Fairchild,CIN,2026-wk01,offense,63,G,1,64,0,38,0,26,52.7,-,28.9,-,61.0,0 (0)
Erick All,CIN,2026-wk01,offense,83,TE,1,20,6,1,0,13,48.3,50.4,69.6,-,45.1,0 (0)
