player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Denzel Ward,CLE,2026-wk01,defense,21,CB,1,57,32,0,25,90.5,72.7,78.7,-,90.8,0,0,0,0,0,4,1,0,0.0,1,1,2,2,100.0,4,2.0,3,4,1,0,0,118.8,0 (0),3,9,0,0,45,0,0,0,3
Derek Barnett,CLE,2026-wk01,defense,97,ED,1,17,8,8,1,76.3,69.8,-,67.8,60.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),17,0,0,0,0,0,0,0,17
Emmanuel McNeil-Warren,CLE,2026-wk01,defense,28,S,1,14,9,0,5,69.2,67.4,79.2,-,62.4,0,0,0,0,0,2,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,5,8,1,0,0,0,0,0
Sam Williams,CLE,2026-wk01,defense,54,ED,1,23,14,8,1,69.1,85.3,73.0,51.8,60.0,0,0,0,0,0,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),23,0,0,0,0,0,1,1,21
Mason Graham,CLE,2026-wk01,defense,94,DI,1,34,19,15,0,63.0,65.9,35.5,59.1,62.8,1,1,0,0,0,3,0,1,25.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),34,0,0,0,0,1,32,1,0
Winston Reid,CLE,2026-wk01,defense,59,LB,1,1,1,0,0,61.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
Jared Verse,CLE,2026-wk01,defense,08,ED,1,37,21,16,0,57.6,64.7,28.3,60.4,-,0,0,0,0,0,3,0,1,25.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),37,0,0,0,0,0,3,0,34
Isaiah McGuire,CLE,2026-wk01,defense,57,ED,1,37,21,16,0,55.7,67.9,29.9,42.0,-,1,0,0,1,0,2,0,1,33.3,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),37,0,0,0,0,0,2,1,34
Grant Delpit,CLE,2026-wk01,defense,09,S,1,57,32,0,25,54.3,44.3,42.3,-,62.1,0,0,0,0,0,3,0,1,25.0,0,0,3,1,33.3,8,8.0,12,8,0,0,1,42.4,0 (0),4,18,24,11,0,0,0,0,4
Carson Schwesinger,CLE,2026-wk01,defense,49,LB,1,57,32,2,23,52.2,57.5,52.3,55.8,51.7,1,0,1,0,0,6,4,2,16.7,2,0,2,2,100.0,36,18.0,27,22,1,0,0,158.3,0 (0),0,52,0,5,0,0,0,0,0
Tyson Campbell,CLE,2026-wk01,defense,07,CB,1,57,32,0,25,52.0,50.1,40.9,-,54.0,0,0,0,0,0,7,1,2,20.0,1,0,3,3,100.0,43,14.3,0,18,0,0,0,118.8,0 (0),0,10,0,0,47,0,0,0,0
Maliek Collins,CLE,2026-wk01,defense,96,DI,1,22,11,11,0,43.9,38.2,21.9,66.5,-,2,0,1,1,0,0,0,2,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),22,0,0,0,0,0,18,4,0
Ronnie Hickman Jr.,CLE,2026-wk01,defense,33,S,1,57,32,0,25,41.2,75.2,84.8,-,30.1,0,0,0,0,0,4,4,0,0.0,1,0,1,1,100.0,32,32.0,0,32,1,0,0,158.3,0 (0),2,16,36,3,0,0,0,0,2
Myles Harden,CLE,2026-wk01,defense,26,CB,1,25,9,0,16,37.7,39.3,29.0,-,42.2,0,0,0,0,0,1,1,1,33.3,0,0,4,4,100.0,54,13.5,11,30,1,0,0,158.3,0 (0),1,3,0,21,0,0,0,0,1
Adin Huntington,CLE,2026-wk01,defense,98,DI,1,29,19,10,0,34.0,32.4,23.0,60.4,-,2,0,0,2,0,0,2,1,33.3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,0,26,3,0
Easton Mascarenas-Arnold,CLE,2026-wk01,defense,42,LB,1,19,14,1,4,30.3,55.7,71.7,57.8,29.5,0,0,0,0,0,1,0,0,0.0,1,0,1,1,100.0,9,9.0,0,9,0,0,0,104.2,0 (0),1,17,0,1,0,0,0,0,1
Michael Hall Jr.,CLE,2026-wk01,defense,51,DI,1,29,15,14,0,30.1,30.0,67.3,52.3,-,1,0,1,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,2,21,5,1
Quincy Williams,CLE,2026-wk01,defense,05,LB,1,55,31,2,22,29.9,49.2,47.6,56.5,29.3,0,0,0,0,0,3,1,1,20.0,1,0,5,4,80.0,59,14.8,8,22,0,0,0,115.8,0 (0),4,48,0,3,0,0,0,0,4
