player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Austin Barber,CLE,2026-wk01,offense,58,G,1,51,0,33,0,18,82.6,-,83.2,-,78.2,0 (0)
KC Concepcion,CLE,2026-wk01,offense,01,WR,1,35,21,0,3,11,68.1,61.8,-,68.3,79.3,0 (0)
Denzel Boston,CLE,2026-wk01,offense,12,WR,1,47,31,0,0,16,67.6,67.6,-,-,52.2,0 (0)
Elgton Jenkins,CLE,2026-wk01,offense,74,C,1,51,0,33,0,18,65.2,-,84.6,-,58.7,0 (0)
Harold Fannin Jr.,CLE,2026-wk01,offense,44,TE,1,42,26,1,0,15,63.9,66.3,66.9,-,53.5,0 (0)
Zion Johnson,CLE,2026-wk01,offense,77,G,1,50,0,32,0,18,62.1,-,69.9,-,66.9,2 (0)
Tylan Wallace,CLE,2026-wk01,offense,16,WR,1,15,5,0,0,10,61.2,56.4,-,-,72.8,0 (0)
Tytus Howard,CLE,2026-wk01,offense,71,T,1,51,0,33,0,18,60.8,-,56.2,-,73.4,1 (0)
Zak Zinter,CLE,2026-wk01,offense,70,G,1,1,0,1,0,0,60.0,-,68.7,-,-,0 (0)
Blake Whiteheart,CLE,2026-wk01,offense,86,TE,1,20,9,3,0,8,59.9,69.6,72.9,-,59.8,1 (0)
Raheim Sanders,CLE,2026-wk01,offense,23,HB,1,18,15,1,1,1,59.1,67.2,68.5,55.7,60.0,0 (0)
Jerry Jeudy,CLE,2026-wk01,offense,03,WR,1,32,26,0,0,6,59.0,59.0,-,-,58.0,0 (0)
Spencer Fano,CLE,2026-wk01,offense,55,T,1,51,0,33,0,18,58.8,-,59.8,-,54.9,0 (0)
Michael Burton,CLE,2026-wk01,offense,34,FB,1,6,1,2,0,3,57.8,60.0,73.2,-,54.0,0 (0)
Quinshon Judkins,CLE,2026-wk01,offense,10,HB,1,33,13,4,12,4,55.9,66.5,55.3,54.0,59.7,0 (0)
Isaiah Bond,CLE,2026-wk01,offense,00,WR,1,7,7,0,0,0,54.6,55.5,-,-,-,0 (0)
Deshaun Watson,CLE,2026-wk01,offense,04,QB,1,51,33,0,2,16,37.0,33.7,-,67.9,60.0,2 (0)
