player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Donovan Ezeiruaku,DAL,2026-wk01,defense,06,ED,1,42,19,20,3,86.5,74.5,77.4,64.9,92.5,2,0,1,1,0,7,1,0,0.0,3,1,1,1,100.0,16,16.0,0,16,0,0,0,118.8,1 (0),42,0,0,0,0,0,0,1,41
Otito Ogbonnia,DAL,2026-wk01,defense,91,DI,1,40,25,15,0,82.7,75.8,70.0,72.3,-,1,0,0,1,0,3,0,0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),40,0,0,0,0,7,24,8,1
Quinnen Williams,DAL,2026-wk01,defense,92,DI,1,53,27,26,0,78.0,87.5,28.3,59.7,-,1,0,1,0,0,1,1,1,33.3,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),52,1,0,0,0,2,33,15,2
Jaishawn Barham,DAL,2026-wk01,defense,55,LB,1,34,19,2,13,75.9,73.2,45.4,55.9,80.6,0,0,0,0,0,4,1,1,16.7,2,0,1,1,100.0,-7,-7.0,2,-7,0,0,0,79.2,1 (0),8,26,0,0,0,0,0,0,8
Cobie Durant,DAL,2026-wk01,defense,02,CB,1,50,24,0,26,73.7,58.0,45.2,-,77.2,0,0,0,0,0,2,0,0,0.0,0,1,3,1,33.3,18,18.0,0,18,0,0,1,54.9,0 (0),0,2,0,1,47,0,0,0,0
Caleb Downs,DAL,2026-wk01,defense,13,S,1,61,30,2,29,68.9,72.9,58.5,81.1,59.4,1,1,0,0,0,5,1,1,14.3,2,1,1,1,100.0,5,5.0,2,5,0,0,0,87.5,0 (0),0,18,9,34,0,0,0,0,0
Shemar James,DAL,2026-wk01,defense,50,LB,1,1,1,0,0,60.2,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,0,0,0,0,0,0,0
DaRon Bland,DAL,2026-wk01,defense,26,CB,1,69,35,0,34,60.1,62.8,81.1,-,58.5,0,0,0,0,0,6,2,0,0.0,5,0,5,4,80.0,38,9.5,2,15,1,0,0,137.9,0 (0),0,11,0,0,58,0,0,0,0
LT Overton,DAL,2026-wk01,defense,99,ED,1,18,11,7,0,58.2,55.2,66.8,64.0,-,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,0,9,8,1
Von Miller,DAL,2026-wk01,defense,40,ED,1,11,6,4,1,57.8,60.3,-,54.5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),10,0,0,1,0,0,0,0,10
