player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Dak Prescott,DAL,2026-wk01,offense,04,QB,1,58,41,0,0,17,79.7,77.6,-,64.1,60.0,1 (0)
Javonte Williams,DAL,2026-wk01,offense,33,HB,1,41,22,5,13,1,78.9,86.1,79.8,76.4,60.0,1 (0)
Tyler Booker,DAL,2026-wk01,offense,52,G,1,58,0,41,0,17,78.4,-,68.4,-,79.5,0 (0)
KaVontae Turpin,DAL,2026-wk01,offense,09,WR,1,8,7,0,0,1,70.3,68.3,-,-,60.0,0 (0)
Jonathan Mingo,DAL,2026-wk01,offense,18,WR,1,11,7,0,0,4,69.7,68.2,-,-,60.3,0 (0)
Tyler Guyton,DAL,2026-wk01,offense,60,T,1,58,0,41,0,17,68.7,-,49.2,-,84.8,0 (0)
Cooper Beebe,DAL,2026-wk01,offense,56,C,1,58,0,41,0,17,68.6,-,74.1,-,66.0,0 (0)
CeeDee Lamb,DAL,2026-wk01,offense,88,WR,1,47,34,0,1,12,66.1,67.4,-,56.2,60.0,0 (0)
Luke Schoonmaker,DAL,2026-wk01,offense,86,TE,1,13,7,1,0,5,57.1,70.4,70.2,-,39.5,1 (0)
Brevyn Spann-Ford,DAL,2026-wk01,offense,89,TE,1,13,8,1,0,4,56.3,57.3,70.2,-,57.0,0 (0)
T.J. Bass,DAL,2026-wk01,offense,66,G,1,58,0,41,0,17,54.4,-,53.2,-,54.1,0 (0)
Hunter Luepke,DAL,2026-wk01,offense,30,FB,1,15,7,5,1,2,53.4,55.8,84.0,56.2,57.0,0 (0)
Emari Demercado,DAL,2026-wk01,offense,31,HB,1,5,3,0,2,0,51.4,56.9,-,53.6,-,0 (0)
George Pickens,DAL,2026-wk01,offense,03,WR,1,49,37,0,0,12,51.3,51.4,-,-,61.2,0 (0)
Drew Shelton,DAL,2026-wk01,offense,67,T,1,3,0,0,0,3,50.2,-,-,-,50.9,0 (0)
Terence Steele,DAL,2026-wk01,offense,78,T,1,58,0,41,0,17,50.1,-,45.2,-,62.7,1 (0)
Jake Ferguson,DAL,2026-wk01,offense,87,TE,1,44,30,3,0,11,49.8,49.0,72.1,-,57.6,0 (0)
Ryan Flournoy,DAL,2026-wk01,offense,19,WR,1,41,28,0,0,13,46.0,47.9,-,-,48.4,0 (0)
